4:26:001:1	The Second Registration of Israel 's Troops
4:26:001:0	After the plague had ended , the Lord said to Moses and to Eleazar son of Aaron the priest ,
4:26:002:0	“ From the whole community of Israel , record the names of all the warriors by their families . List all the men twenty years old or older who are able to go to war . ”
4:26:003:0	So there on the plains of Moab beside the Jordan River , across from Jericho , Moses and Eleazar the priest issued these instructions to the leaders of Israel :
4:26:002:1	The Tribe of Reuben
4:26:004:0	“ List all the men of Israel twenty years old and older , just as the Lord commanded Moses. ” This is the record of all the descendants of Israel who came out of Egypt .
4:26:005:0	These were the clans descended from the sons of Reuben , Jacob 's oldest son : The Hanochite clan , named after their ancestor Hanoch.The Palluite clan , named after their ancestor Pallu .
4:26:006:0	The Hezronite clan , named after their ancestor Hezron.The Carmite clan , named after their ancestor Carmi .
4:26:007:0	These were the clans of Reuben . Their registered troops numbered 43,730 .
4:26:008:0	Pallu was the ancestor of Eliab ,
4:26:009:0	and Eliab was the father of Nemuel , Dathan , and Abiram . This Dathan and Abiram are the same community leaders who conspired with Korah against Moses and Aaron , rebelling against the Lord .
4:26:010:0	But the earth opened up its mouth and swallowed them with Korah , and fire devoured 250 of their followers . This served as a warning to the entire nation of Israel .
4:26:003:1	The Tribe of Simeon
4:26:011:0	However , the sons of Korah did not die that day .
4:26:012:0	These were the clans descended from the sons of Simeon : The Jemuelite clan , named after their ancestor Jemuel.The Jaminite clan , named after their ancestor Jamin.The Jakinite clan , named after their ancestor Jakin .
4:26:013:0	The Zoharite clan , named after their ancestor Zohar.The Shaulite clan , named after their ancestor Shaul .
4:26:004:1	The Tribe of Gad
4:26:014:0	These were the clans of Simeon . Their registered troops numbered 22,200 .
4:26:015:0	These were the clans descended from the sons of Gad : The Zephonite clan , named after their ancestor Zephon.The Haggite clan , named after their ancestor Haggi.The Shunite clan , named after their ancestor Shuni .
4:26:016:0	The Oznite clan , named after their ancestor Ozni.The Erite clan , named after their ancestor Eri .
4:26:017:0	The Arodite clan , named after their ancestor Arodi.The Arelite clan , named after their ancestor Areli .
4:26:005:1	The Tribe of Judah
4:26:018:0	These were the clans of Gad . Their registered troops numbered 40,500 .
4:26:019:0	Judah had two sons , Er and Onan , who had died in the land of Canaan .
4:26:020:0	These were the clans descended from Judah 's surviving sons : The Shelanite clan , named after their ancestor Shelah.The Perezite clan , named after their ancestor Perez.The Zerahite clan , named after their ancestor Zerah .
4:26:021:0	These were the subclans descended from the Perezites : The Hezronites , named after their ancestor Hezron.The Hamulites , named after their ancestor Hamul .
4:26:006:1	The Tribe of Issachar
4:26:022:0	These were the clans of Judah . Their registered troops numbered 76,500 .
4:26:023:0	These were the clans descended from the sons of Issachar : The Tolaite clan , named after their ancestor Tola.The Puite clan , named after their ancestor Puah .
4:26:024:0	The Jashubite clan , named after their ancestor Jashub.The Shimronite clan , named after their ancestor Shimron .
4:26:007:1	The Tribe of Zebulun
