4:28:001:1	The Daily Offerings
4:28:001:0	The Lord said to Moses ,
4:28:002:0	“ Give these instructions to the people of Israel : The offerings you present as special gifts are a pleasing aroma to me ; they are my food . See to it that they are brought at the appointed times and offered according to my instructions .
4:28:003:0	“ Say to the people : This is the special gift you must present to the Lord as your daily burnt offering . You must offer two one-year-old male lambs with no defects .
4:28:004:0	Sacrifice one lamb in the morning and the other in the evening .
4:28:005:0	With each lamb you must offer a grain offering of two quarts of choice flour mixed with one quart of pure oil of pressed olives .
4:28:006:0	This is the regular burnt offering instituted at Mount Sinai as a special gift , a pleasing aroma to the Lord .
4:28:007:0	Along with it you must present the proper liquid offering of one quart of alcoholic drink with each lamb , poured out in the Holy Place as an offering to the Lord .
4:28:002:1	The Sabbath Offerings
4:28:008:0	Offer the second lamb in the evening with the same grain offering and liquid offering . It , too , is a special gift , a pleasing aroma to the Lord .
4:28:009:0	“ On the Sabbath day , sacrifice two one-year-old male lambs with no defects . They must be accompanied by a grain offering of four quarts of choice flour moistened with olive oil , and a liquid offering .
4:28:003:1	The Monthly Offerings
4:28:010:0	This is the burnt offering to be presented each Sabbath day , in addition to the regular burnt offering and its accompanying liquid offering .
4:28:011:0	“ On the first day of each month , present an extra burnt offering to the Lord of two young bulls , one ram , and seven one-year-old male lambs , all with no defects .
4:28:012:0	These must be accompanied by grain offerings of choice flour moistened with olive oil—six quarts with each bull , four quarts with the ram ,
4:28:013:0	and two quarts with each lamb . This burnt offering will be a special gift , a pleasing aroma to the Lord .
4:28:014:0	You must also present a liquid offering with each sacrifice : two quarts of wine for each bull , a third of a gallon for the ram , and one quart for each lamb . Present this monthly burnt offering on the first day of each month throughout the year .
4:28:004:1	Offerings for the Passover
4:28:015:0	“ On the first day of each month , you must also offer one male goat for a sin offering to the Lord . This is in addition to the regular burnt offering and its accompanying liquid offering .
4:28:016:0	“ On the fourteenth day of the first month , you must celebrate the Lord 's Passover .
4:28:017:0	On the following day—the fifteenth day of the month—a joyous , seven-day festival will begin , but no bread made with yeast may be eaten .
4:28:018:0	The first day of the festival will be an official day for holy assembly , and no ordinary work may be done on that day .
4:28:019:0	As a special gift you must present a burnt offering to the Lord—two young bulls , one ram , and seven one-year-old male lambs , all with no defects .
4:28:020:0	These will be accompanied by grain offerings of choice flour moistened with olive oil—six quarts with each bull , four quarts with the ram ,
4:28:021:0	and two quarts with each of the seven lambs .
4:28:022:0	You must also offer a male goat as a sin offering to purify yourselves and make yourselves right with the Lord .
4:28:023:0	Present these offerings in addition to your regular morning burnt offering .
4:28:024:0	On each of the seven days of the festival , this is how you must prepare the food offering that is presented as a special gift , a pleasing aroma to the Lord . These will be offered in addition to the regular burnt offerings and liquid offerings .
4:28:005:1	Offerings for the Festival of Harvest
4:28:025:0	The seventh day of the festival will be another official day for holy assembly , and no ordinary work may be done on that day .
4:28:026:0	“ At the Festival of Harvest , when you present the first of your new grain to the Lord , you must call an official day for holy assembly , and you may do no ordinary work on that day .
4:28:027:0	Present a special burnt offering on that day as a pleasing aroma to the Lord . It will consist of two young bulls , one ram , and seven one-year-old male lambs .
4:28:028:0	These will be accompanied by grain offerings of choice flour moistened with olive oil—six quarts with each bull , four quarts with the ram ,
4:28:029:0	and two quarts with each of the seven lambs .
4:28:030:0	Also , offer one male goat to purify yourselves and make yourselves right with the Lord .
4:28:031:0	Prepare these special burnt offerings , along with their liquid offerings , in addition to the regular burnt offering and its accompanying grain offering . Be sure that all the animals you sacrifice have no defects .
