4:7:001:1	Offerings of Dedication
4:7:001:0	On the day Moses set up the Tabernacle , he anointed it and set it apart as holy . He also anointed and set apart all its furnishings and the altar with its utensils .
4:7:002:0	Then the leaders of Israel—the tribal leaders who had registered the troops—came and brought their offerings .
4:7:003:0	Together they brought six large wagons and twelve oxen . There was a wagon for every two leaders and an ox for each leader . They presented these to the Lord in front of the Tabernacle .
4:7:004:0	Then the Lord said to Moses ,
4:7:005:0	“ Receive their gifts , and use these oxen and wagons for transporting the Tabernacle . Distribute them among the Levites according to the work they have to do . ”
4:7:006:0	So Moses took the wagons and oxen and presented them to the Levites .
4:7:007:0	He gave two wagons and four oxen to the Gershonite division for their work ,
4:7:008:0	and he gave four wagons and eight oxen to the Merarite division for their work . All their work was done under the leadership of Ithamar son of Aaron the priest .
4:7:009:0	But he gave none of the wagons or oxen to the Kohathite division , since they were required to carry the sacred objects of the Tabernacle on their shoulders .
4:7:010:0	The leaders also presented dedication gifts for the altar at the time it was anointed . They each placed their gifts before the altar .
4:7:011:0	The Lord said to Moses , “ Let one leader bring his gift each day for the dedication of the altar . ”
4:7:012:0	On the first day Nahshon son of Amminadab , leader of the tribe of Judah , presented his offering .
4:7:013:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:014:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:015:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:016:0	and a male goat for a sin offering .
4:7:017:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Nahshon son of Amminadab .
4:7:018:0	On the second day Nethanel son of Zuar , leader of the tribe of Issachar , presented his offering .
4:7:019:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:020:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:021:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:022:0	and a male goat for a sin offering .
4:7:023:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Nethanel son of Zuar .
4:7:024:0	On the third day Eliab son of Helon , leader of the tribe of Zebulun , presented his offering .
4:7:025:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:026:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:027:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:028:0	and a male goat for a sin offering .
4:7:029:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Eliab son of Helon .
4:7:030:0	On the fourth day Elizur son of Shedeur , leader of the tribe of Reuben , presented his offering .
4:7:031:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:032:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:033:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:034:0	and a male goat for a sin offering .
4:7:035:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Elizur son of Shedeur .
4:7:036:0	On the fifth day Shelumiel son of Zurishaddai , leader of the tribe of Simeon , presented his offering .
4:7:037:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:038:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:039:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:040:0	and a male goat for a sin offering .
4:7:041:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Shelumiel son of Zurishaddai .
4:7:042:0	On the sixth day Eliasaph son of Deuel , leader of the tribe of Gad , presented his offering .
4:7:043:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:044:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:045:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:046:0	and a male goat for a sin offering .
4:7:047:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Eliasaph son of Deuel .
4:7:048:0	On the seventh day Elishama son of Ammihud , leader of the tribe of Ephraim , presented his offering .
4:7:049:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:050:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:051:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:052:0	and a male goat for a sin offering .
4:7:053:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Elishama son of Ammihud .
4:7:054:0	On the eighth day Gamaliel son of Pedahzur , leader of the tribe of Manasseh , presented his offering .
4:7:055:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
4:7:056:0	He also brought a gold container weighing four ounces , which was filled with incense .
4:7:057:0	He brought a young bull , a ram , and a one-year-old male lamb for a burnt offering ,
4:7:058:0	and a male goat for a sin offering .
4:7:059:0	For a peace offering he brought two bulls , five rams , five male goats , and five one-year-old male lambs . This was the offering brought by Gamaliel son of Pedahzur .
4:7:060:0	On the ninth day Abidan son of Gideoni , leader of the tribe of Benjamin , presented his offering .
4:7:061:0	His offering consisted of a silver platter weighing 31/4 pounds and a silver basin weighing 13/4 pounds ( as measured by the weight of the sanctuary shekel ) . These were both filled with grain offerings of choice flour moistened with olive oil .
