50:3:001:1	Ts'ídá t'áá ákwii é'ét'é t'áá aaníinii
50:3:001:0	Shik'isóó , akée'di díí bee nihich'į' hadeesdzih , Bóhólníihii bee nihił dahózhǫ́ǫ le' . Díí bee nihich'į' ak'ená'áshchíihgo doo ádadeeshłxáa da , áádóó éí bee nihá hasih .
50:3:002:0	Bąąhági át'éego nidaalnishígíí bits'ąą ádaa ádahołyą́ , éí łééchąą'í báhádzidii nidahalin . Éí , Nihąąh nídahinólgish , daanínígíí t'áadoo bá bida'oł'íní .
50:3:003:0	Háálá ąąh náhinilgish doo bee Diyin God bich'į' nidahwiidláa da , nidi Níłch'i Diyinii bee bich'į' nidahwiidlá , áádóó Christ Jesus baa nihił dahózhǫ́ǫgo baa dahwii'niih . Ts'ísee k'ehgo ádaat'éii doo baa dadzííníidlíi da ,
50:3:004:0	azhą́ shí ałdó' biniit'aa ats'íís baa jóshłíi dooleełii shee hólǫ́ǫ nidi . Diné t'áá háiida ts'ísee k'ehgo ádaat'éii bee ádaa jóshdlíii shee hólǫ́ jinízingo , shí haláahgo bee ádaa jííníshdlíii shee hólǫ́ǫgo át'é .
50:3:005:0	Háálá shi'dizhchį́į́dóó tseebíí jį́į́ góne' shąąh náhineeshgizh , áádóó Ízrel dine'é ahoolchíiłii nishłį́ , Bénjamin bidine'íígíí nishłį́ , índa dashizhé'é yę́ę Hííbrew dine'é danilį́į́ nít'éé' , áko shí ałdó' Hííbrew dine'é nishłį́ . Jew dine'é bibee haz'áanii k'ehgo ts'ídá t'áá ákogi é'ét'é bił haz'ą́ą́jí éí Férisii nishłį́į́ nít'éé' ,
50:3:006:0	díí t'áá íiyisí bíneeshdlį́įgo Jesus yoodlání áłah nídaadleehii atésh'į́į́ nít'éé' . Bee haz'áanii k'ehgo ts'ídá t'áá ákogi é'ét'é bił haz'ą́ą́jí éí doo shik'i hodiit'ą́ą da .
50:3:007:0	Nidi Christ yisisdląądgo éí t'áá ałtso yá'ádaat'ééh nisin nít'éé' yę́ę k'ad t'áadoo biniyéhígóó ádaat'éego baa nitséskees .
50:3:008:0	Aoo' , t'áá aaníí , áádóó Christ Jesus shiBóhólníihii bééhasinígíí ts'ídá agháago ílį́įgo bąą t'áá ałtsoní t'áadoo biniyéhígóó ádaat'éego baa nitséskees . Christ shí dooleeł biniyé t'áá ałtsoní nahjį' kóshłaago t'áá ałtsoní ts'iilzéigi át'éego baa nitséskees ,
50:3:009:0	áádóó Christ bił łá'í nishłį́įgo shééhodi'doolzįįł , bee haz'áanii ba'ahódlí bee t'áá shí ts'ídá t'áá ákogi ánísht'éé nít'éé' yę́ę éí doo bik'ehdii da , nidi Christ yinishdlánígíí t'éiyá bee ts'ídá t'áá ákogi ánísht'éego shééhodi'doolzįįł ; éí Diyin God bits'ą́ą́dę́ę́' ts'ídá t'áá ákogi é'ét'é oodlą́ bee a'ódlí bee hólóonii ááhdishní .
50:3:010:0	Christ íiyisí bééhasin doogi laanaa nisin , áádóó hadziil nilíinii bee dadziztsą́ą́dę́ę́' náázdiidzáhígíí t'áádóo nídí shił bééhózin doo , áádóó bik'ee ti'hodzooznii'ígíí hoł ałts'ą́ą́' anisk'iiz doo , dadziztsą́ągo ájít'é yę́ęgi át'éego ánísht'ée doo ,
