50:4:001:1	Paul oodlání danilíinii yich'į' haadzíi'ii
50:4:001:0	Éí bąą , shik'isóó , ayóó'ádanihósh'níigo nihídin nishłíinii , nihaa shił hózhǫ́ ! Ak'eh hodeesdlį́į́'jí naat'á ch'ah shá danohłį́ ! Ayóó'ádanihósh'níinii , t'áá bee nihił ch'íhoní'ánígi át'éego Bóhólníihii bee nihidziilgo nidasoozį́į le' .
50:4:002:0	Yódiya nílíinii nánooshkąąh , Síntikii nílíinii ałdó' nánooshkąąh , Bóhólníihii bee t'áá aheełt'éego nitsóhkees nihidishní .
50:4:003:0	Áádóó ałdó' t'áá aaníí shił nanilnishí nílíinii , díí asdzání t'áá áłah bíká anánílwo' doogo baa nánooshkąąh , háálá shíká aná'ahi'nilchéehgo hane' yá'át'éehii baa hane'gi t'áá awołí bee shił naashnish , áádóó Klément índa náádaała' shił nidaashnishígíí ałdó' t'áá ákódaat'į́ . Éí t'áá ałtso iiná naaltsoos biyi' bízhi' bik'idaasdzoh .
50:4:004:0	T'áá áłahjį' Bóhólníihii bee nihił dahózhǫ́ . Náá'áłdó' ánáádísh'ní , Nihił dahózhǫ́ !
50:4:005:0	Bíni'dii nízaadgóó hada'íínółnínígíí diné t'áá ałtso nihá bił béédahózin doo . Bóhólníihii nídoodáłígíí koshídę́ę́' hadziih .
50:4:006:0	T'áadoo ha'át'íhída nihida'diił'áhí , nidi ahééh danohsingo t'áá ałtsojį' sodizin índa ná'ookąąh bee deínóhkeedígíí Diyin God bił béédahonohsin le' .
50:4:007:0	Áko Diyin God bits'ą́ą́dę́ę́' bee ach'į' hózhǫ́ náhásdlį́į'ii , ak'idi'yiitįįh t'áá ałtso yiláahdi át'éii , éí Christ Jesus bee nihijéí índa nihintsékees yaa áhályą́ą doo .
50:4:008:0	Shik'isóó , díí bee ninisht'ééh : ha'át'íhída t'áá aaníí nilíinii , ił ílį́ yą́ą́h nilíinii , ts'ídá t'áá ákogi át'é nilíinii , chin bąąh ádinii , ayóó'ó'ó'ní yą́ą́h nilíinii , yá'át'éehgo yáti'ii , ha'át'íhída aláahgo yá'át'ééh nilį́įgo , índa aa ha'niih yą́ą́h nilį́įgo , éidí baa nitsídaahkees .
50:4:002:1	Paul éí Fílipaidi oodlání danilíinii baa deizláhígíí yaa ahééh niizį́į́'
50:4:009:0	Shits'ą́ą́dóó bídahooł'ą́ą'ii áádóó nídooláii áádóó dasidoots'ą́ą'ii índa baa naasháago daołtsánígíí baa naahkai , áko Diyin God bee ach'į' hózhǫ́ náhásdlį́į'ii nihił hólǫ́ǫ doo .
50:4:010:0	T'áá aaníí shaa nitsídaahkees nidi shíká adoohjahgi t'áadoo nihá ashja'iilaa da . Ákondi nízaad nihoolzhiizhgo índa shaa tsínáádasidookéezgo shíká oojéé' . Éí Bóhólníihii binahjį' t'áá íiyisí baa shił hózhǫ́ !
50:4:011:0	Doo t'áadoo le'é bídin nishłį́įgo ádíshníi da , háálá t'áá shee hólónígi baa shił hózhǫ́ǫgo bóhooł'ą́ą́' .
50:4:012:0	T'áá ayáhígo át'éego iinánígíí , índa t'áá ałtso ee hólǫ́ǫgo iinánígíí ałdó' shił bééhózin . T'áá ooleełgi índa t'áá azlį́'ígi át'éego , hwiih nishłį́įgo , doodaii' dichin nishłį́įgo bóhooł'ą́ą́' , t'áá ałtsoní shoosánígo , doodaii' t'áá ałtsoní bídin nishłį́įgo shił yá'át'éehgo áshi'diilyaa .
50:4:013:0	Christ shidziilgo ásósinii bee t'áá ałtsoní ádeeshłíiłgo bíneesh'ą́ .
50:4:014:0	Ákondi shaa dajiinohba' lá , shich'į' nahwii'náago shíká oojéé' .
50:4:015:0	Fílipaidi oodlání danohłíinii , t'áá nihí nihił béédahózin , hane' yá'át'éehii baa aho'niishne' yę́ędą́ą́' Masedóniyadóó dah diiyáago oodlání danilíinii áłah nídaadleehígíí t'áadoo le'é t'áadoo ła' yee shíká ííjée' da , nidi t'áá hazhó'ó nihí t'éiyá nihił ałts'ą́ą́' da'nisk'iiz dooleełígíí éí aa doolyéełii índa nídidoolyéełii bee ahíłká iijéé' .
50:4:016:0	T'ahdii Thesalonáíkagi naashá yę́ędą́ą́' łah t'áadoo le'é shich'į' ádaahłaa áádóó náá'áłdó' shíká anáánáojéé' .
50:4:017:0	Sha'doolyééł doo nisingo ádíshníi da , nidi nihá íná'iidoodiłgo nihá bik'idoodzohígíí t'éiyá biniyé ádíshní .
50:4:018:0	Shí k'ad t'áá bilááh neel'ą́ągo ałtso shich'į' na'ílyá ! T'áadoo le'é shich'į' ádaahłaaígíí Iipafrodáítas sheinínil , áko nídiiláago k'ad t'áadoo bídin nishłíní da . Éí Diyin God bich'į' łikání halchingo nááhániihii t'áá néidooléłígi át'éii át'é , áádóó bił hóshóonii át'é .
50:4:019:0	Áko shiDiyin God éí Christ Jesus biniit'aa yee ayóó át'éii yee alááh neel'áanii bik'ehgo bídin danohłį́įgo chodaoł'íinii t'áá ałtso nihaidii'aah dooleeł .
50:4:003:1	K'é ha'níigo bee naaltsoos niilt'i'ii
50:4:020:0	NihiDiyin God , éí nihiTaa' hool'áágóó áádóó ahóyéel'áágóó bee baa ha'niih le' . T'áá ákót'ée doo .
50:4:021:0	Christ Jesus bee Diyin God bidiyį́į́' t'áá ałtso shá k'é dabidohní . Nihik'isóó danilíinii shił naháaztánígíí k'é danihiłní .
50:4:022:0	Diyin God bidiyį́į́' t'áá ałtso k'é danihiłní , Síízar , aláahgo naat'áanii bighandóóígíí íiyisí ákódaaní .
50:4:023:0	NihiBóhólníihii Jesus Christ bibee ajooba' yee nihik'ijidlíi doo . [ T'áá ákót'ée doo . ]
