19:112:001:1	PSALM 112
19:112:002:1	Prosperity of the One Who Fears the L
19:112:003:1	ord
19:112:004:1	.
19:112:001:0	Praise the Lord ! How blessed is the man who fears the Lord , Who greatly delights in His commandments .
19:112:002:0	His descendants will be mighty on earth ; The generation of the upright will be blessed .
19:112:003:0	Wealth and riches are in his house , And his righteousness endures forever .
19:112:004:0	Light arises in the darkness for the upright ; He is gracious and compassionate and righteous .
19:112:005:0	It is well with the man who is gracious and lends ; He will maintain his cause in judgment .
19:112:006:0	For he will never be shaken ; The righteous will be remembered forever .
19:112:007:0	He will not fear evil tidings ; His heart is steadfast , trusting in the Lord .
19:112:008:0	His heart is upheld , he will not fear , Until he looks with satisfaction on his adversaries .
19:112:009:0	He has given freely to the poor , His righteousness endures forever ; His horn will be exalted in honor .
19:112:010:0	The wicked will see it and be vexed , He will gnash his teeth and melt away ; The desire of the wicked will perish .
