19:20:001:1	PSALM 20
19:20:002:1	Prayer for Victory over Enemies .
19:20:003:1	For the choir director . A Psalm of David .
19:20:001:0	May the Lord answer you in the day of trouble ! May the name of the God of Jacob set you securely on high !
19:20:002:0	May He send you help from the sanctuaryAnd support you from Zion !
19:20:003:0	May He remember all your meal offeringsAnd find your burnt offering acceptable ! Selah .
19:20:004:0	May He grant you your heart’s desireAnd fulfill all your counsel !
19:20:005:0	We will sing for joy over your victory , And in the name of our God we will set up our banners . May the Lord fulfill all your petitions .
19:20:006:0	Now I know that the Lord saves His anointed ; He will answer him from His holy heavenWith the saving strength of His right hand .
19:20:007:0	Some boast in chariots and some in horses , But we will boast in the name of the Lord , our God .
19:20:008:0	They have bowed down and fallen , But we have risen and stood upright .
19:20:009:0	Save , O Lord ; May the King answer us in the day we call .
