6:10:001:1	Five Kings Attack Gibeon
6:10:001:0	Now it came about when Adoni-zedek king of Jerusalem heard that Joshua had captured Ai , and had utterly destroyed it ( just as he had done to Jericho and its king , so he had done to Ai and its king ) , and that the inhabitants of Gibeon had made peace with Israel and were within their land ,
6:10:002:0	that he feared greatly , because Gibeon was a great city , like one of the royal cities , and because it was greater than Ai , and all its men were mighty .
6:10:003:0	Therefore Adoni-zedek king of Jerusalem sent word to Hoham king of Hebron and to Piram king of Jarmuth and to Japhia king of Lachish and to Debir king of Eglon , saying ,
6:10:004:0	“ Come up to me and help me , and let us attack Gibeon , for it has made peace with Joshua and with the sons of Israel . ”
6:10:005:0	So the five kings of the Amorites , the king of Jerusalem , the king of Hebron , the king of Jarmuth , the king of Lachish , and the king of Eglon , gathered together and went up , they with all their armies , and camped by Gibeon and fought against it .
6:10:006:0	Then the men of Gibeon sent word to Joshua to the camp at Gilgal , saying , “ Do not abandon your servants ; come up to us quickly and save us and help us , for all the kings of the Amorites that live in the hill country have assembled against us . ”
6:10:007:0	So Joshua went up from Gilgal , he and all the people of war with him and all the valiant warriors .
6:10:008:0	The Lord said to Joshua , “ Do not fear them , for I have given them into your hands ; not one of them shall stand before you . ”
6:10:009:0	So Joshua came upon them suddenly by marching all night from Gilgal .
6:10:010:0	And the Lord confounded them before Israel , and He slew them with a great slaughter at Gibeon , and pursued them by the way of the ascent of Beth-horon and struck them as far as Azekah and Makkedah .
6:10:011:0	As they fled from before Israel , while they were at the descent of Beth-horon , the Lord threw large stones from heaven on them as far as Azekah , and they died ; there were more who died from the hailstones than those whom the sons of Israel killed with the sword .
6:10:012:0	Then Joshua spoke to the Lord in the day when the Lord delivered up the Amorites before the sons of Israel , and he said in the sight of Israel , “ O sun , stand still at Gibeon , And O moon in the valley of Aijalon . ”
6:10:013:0	So the sun stood still , and the moon stopped , Until the nation avenged themselves of their enemies . Is it not written in the book of Jashar ? And the sun stopped in the middle of the sky and did not hasten to go down for about a whole day .
6:10:014:0	There was no day like that before it or after it , when the Lord listened to the voice of a man ; for the Lord fought for Israel .
6:10:002:1	Victory at Makkedah
6:10:015:0	Then Joshua and all Israel with him returned to the camp to Gilgal .
6:10:016:0	Now these five kings had fled and hidden themselves in the cave at Makkedah .
6:10:017:0	It was told Joshua , saying , “ The five kings have been found hidden in the cave at Makkedah . ”
6:10:018:0	Joshua said , “ Roll large stones against the mouth of the cave , and assign men by it to guard them ,
6:10:019:0	but do not stay there yourselves ; pursue your enemies and attack them in the rear . Do not allow them to enter their cities , for the Lord your God has delivered them into your hand . ”
