6:12:001:1	Kings Defeated by Israel
6:12:001:0	Now these are the kings of the land whom the sons of Israel defeated , and whose land they possessed beyond the Jordan toward the sunrise , from the valley of the Arnon as far as Mount Hermon , and all the Arabah to the east :
6:12:002:0	Sihon king of the Amorites , who lived in Heshbon , and ruled from Aroer , which is on the edge of the valley of the Arnon , both the middle of the valley and half of Gilead , even as far as the brook Jabbok , the border of the sons of Ammon ;
6:12:003:0	and the Arabah as far as the Sea of Chinneroth toward the east , and as far as the sea of the Arabah , even the Salt Sea , eastward toward Beth-jeshimoth , and on the south , at the foot of the slopes of Pisgah ;
6:12:004:0	and the territory of Og king of Bashan , one of the remnant of Rephaim , who lived at Ashtaroth and at Edrei ,
6:12:005:0	and ruled over Mount Hermon and Salecah and all Bashan , as far as the border of the Geshurites and the Maacathites , and half of Gilead , as far as the border of Sihon king of Heshbon .
6:12:006:0	Moses the servant of the Lord and the sons of Israel defeated them ; and Moses the servant of the Lord gave it to the Reubenites and the Gadites and the half-tribe of Manasseh as a possession .
6:12:007:0	Now these are the kings of the land whom Joshua and the sons of Israel defeated beyond the Jordan toward the west , from Baal-gad in the valley of Lebanon even as far as Mount Halak , which rises toward Seir ; and Joshua gave it to the tribes of Israel as a possession according to their divisions ,
6:12:008:0	in the hill country , in the lowland , in the Arabah , on the slopes , and in the wilderness , and in the Negev ; the Hittite , the Amorite and the Canaanite , the Perizzite , the Hivite and the Jebusite :
6:12:009:0	the king of Jericho , one ; the king of Ai , which is beside Bethel , one ;
6:12:010:0	the king of Jerusalem , one ; the king of Hebron , one ;
6:12:011:0	the king of Jarmuth , one ; the king of Lachish , one ;
6:12:012:0	the king of Eglon , one ; the king of Gezer , one ;
6:12:013:0	the king of Debir , one ; the king of Geder , one ;
6:12:014:0	the king of Hormah , one ; the king of Arad , one ;
6:12:015:0	the king of Libnah , one ; the king of Adullam , one ;
6:12:016:0	the king of Makkedah , one ; the king of Bethel , one ;
6:12:017:0	the king of Tappuah , one ; the king of Hepher , one ;
6:12:018:0	the king of Aphek , one ; the king of Lasharon , one ;
6:12:019:0	the king of Madon , one ; the king of Hazor , one ;
6:12:020:0	the king of Shimron-meron , one ; the king of Achshaph , one ;
6:12:021:0	the king of Taanach , one ; the king of Megiddo , one ;
6:12:022:0	the king of Kedesh , one ; the king of Jokneam in Carmel , one ;
6:12:023:0	the king of Dor in the heights of Dor , one ; the king of Goiim in Gilgal , one ;
6:12:024:0	the king of Tirzah , one : in all , thirty-one kings .
