3:20:001:1	Doo ak'eh hojíł'į́į́góó biniinaa há nihodoot'ááł
3:20:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:20:002:0	Ízrel dine'é anáábididíí'niił , Ízrel dine'é bitahdóó ła' , doodaii' dé'éyóní éí Ízrel dine'é bitahgi t'óó átsééd kéédahat'ínígíí t'áá háiida ba'áłchíní ła' Mólek diyin bidi'níinii yich'į' nááyiisnii'go éí t'áá aaníí bidi'yoolyééł ; kéyahdóó tsé yee hoł nidazdoołniił .
3:20:003:0	Áko éí dinéhígíí hak'ijį' deeshłeełgo hadine'é bits'ą́ąjį' hodiyeeshxééł , háálá ha'áłchíní ła' Mólek diyin bidi'níinii bich'į' náájiisnii'go shihodiyingo haz'ánígíí jííłchxǫ' áádóó shízhi' diyinígíí doo dílzingóó ájiilaa .
3:20:004:0	Áko kéyahgi kéédahojit'ínígíí éí Mólek diyin bidi'níinii yich'į' diné ba'áłchíní ła' nááyiisnii'ígíí t'áadoo baa nídajist'įįdgóó índa t'áadoo dajiisxį́į́góó
3:20:005:0	éí dinéhígíí ba'áłchíní t'áá bił bik'ijį' nishłį́įgo áádóó t'áá ałtso hakék'eh dookaigo Mólek diyin bidi'níinii bik'ehgo ajił baa jideeskaígíí hadine'é bits'ą́ąjį' nidahodeestsxił .
3:20:006:0	Áádóó diné t'áá háiida ch'į́įdii yádabiiłti'ii índa da'diłgąshii bikéé' dashdiiyáago ajił baa nijigháhígíí hak'ijį' nishłį́į doo , índa hadine'é bits'ą́ąjį' hodiyeeshxééł .
3:20:007:0	Éí bąą t'áá nihí diyingo áda'dołnééh , áko dadinohyin doo , háálá shí Bóhólníihii nihiDiyin God nishłį́ .
3:20:008:0	Áádóó bee nihoyé'áanii bik'eh dahonoł'į́įgo bida'oł'į́į doo ; shí Bóhólníihii nishłíinii dadinohyingo ánihíínísin .
3:20:009:0	Háálá t'áá háiida éí hazhé'é , doodaii' hamá dadzódziihígíí ts'ídá hodi'yoolyééł ; hazhé'é , doodaii' hamá dzíídzí'ígíí bąą hadił t'áá hó hak'éidoot'ih .
3:20:010:0	Diné éí diné náánáła' be'asdzą́ągo t'áá éí bił kééhojit'íinii be'asdzą́ą́ nilį́įgo bił ahizhdoolyáago éí diné áádóó bił ahizhdoolyáhígíí t'áá bił nidahoditseed doo .
