3:8:001:1	Éran áádóó biye'ké ats'ábidee'nilgo daalzį́į́'
3:8:001:0	Áádóó Bóhólníihii éí Mózes ííłní ,
3:8:002:0	Éran áádóó biye'ké nídidíí'ishgo , éé' áádóó ak'ah ak'i yahiidzíidgo bee alzį́įhii nídiinííł , índa dóola yázhí ádił ni'iidzííhjí nááhániihii át'éego áádóó deenásts'aa' naakigo nídidíí'ish , índa díík'ǫsh t'áágééd bááh ályaii ts' iizis bee dííkááł ,
3:8:003:0	áádóó níbaal bii' dahozdísinii bich'éédą́ą'jį' Ízrel dine'é t'áá át'é áłah ádíílííł .
3:8:004:0	Áko Mózes éí Bóhólníihii hach'į' yee haadzí'ígíí bi'jiilaago níbaal bii' dahozdísinii bich'éédą́ą'jį' Ízrel dine'é áłah ájiilaa .
3:8:005:0	Mózes éí áłah ílínígíí yich'į' haadzíi'go ání , Díí ádoolníiłgo Bóhólníihii yee haadzíí' .
3:8:006:0	Áádóó Mózes éí Éran áádóó biye'ké jiní'eezhgo nidabijiisbį́į́' .
3:8:007:0	Áko Mózes éí ayaadi éé' nineezígíí Éran biih jííłtį́įgo sis bee áká bijiszas áádóó éé' agod ta'jį' nineel'ánígíí biih náájííłtį́ ; éí bikáa'gi íífad wolyéii éí ajéíts'iin bąąh nináltsosígíí yąąh niiníłtsoozgo íífad biniyé sis naashch'ąą'go yistł'ónígíí yee ye'aztł'ǫ́ .
3:8:008:0	Áádóó ayidgi dah siłtsoozígíí yąąh niiníłtsoozgo éí bii' góne' Yúrim áádóó Thámmim wolyéhígíí ałdó' niinínil .
3:8:009:0	Áko atsiinázt'i'ígíí bitsiinídzíst'i'go bikáa'gi átáa'gi óola diyingo dah nátį́hígíí bítáa'gi bíjístł'ǫ́ ; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa .
3:8:010:0	Áádóó Mózes éí ak'ah ak'i yahiidzíidgo bee alzį́įhii néidiiką́ągo níbaal bii' hodílzinii áádóó bii' góne' naaznilii t'áá át'é yiyíísį́į'go dílzingo áyiilaa .
3:8:011:0	Éí ak'ah bee tsosts'idi bikáá' náá'iiniihí bik'ídzístah índa bikáá' náá'iiniihí áádóó biłeets'aa' bił chodao'ínígíí t'áá át'é ak'ah bee dadzíísį́į́' ; bii' tá'ádígisí áádóó bá si'ánígíí t'áá bił dílzingo ájiilaa .
3:8:012:0	Ákohgo Éran éí ak'ah ak'i yahiidzídígíí bitsiit'áajį' yadziiziidgo jíísį́į́' ; diyingo ats'ázhníłtį́ .
3:8:013:0	Áádóó Mózes éí Éran biye'ké nízhdii'eezhgo ayaadi éé' nineezígíí biih jiiłteehgo sis bee áká dabidzisas , áádóó ch'ah bitsiinídadzist'i' ; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa .
3:8:014:0	Áádóó dóola yázhí ádił ni'iidzííhjí nááhániihii át'éego yinílóóz , áko Éran áádóó biye'ké éí dóola yázhí ádił ni'iidzííhjí nááhániihii át'éego yitsiit'áagi dah dadees'nii' .
3:8:015:0	Áko Mózes éí dóola yázhí yiyiisxį́įgo bidiłígíí néidiiką́ągo bikáá' náá'iiniihí bidee' dadeez'áhígíí yąąh áyiilaago dílzingo áyiilaa áádóó yidziihígíí éí bikáá' náá'iiniihí bitsį́įjį' yayiiziidgo bee k'é náhodoodleeł biniyé dílzingo ats'áidiní'ą́ .
3:8:016:0	Áádóó Mózes éí atsą́ siláí ak'ah daabąąhígíí t'áá át'é áádóó azid bíighahgi ak'ahígíí índa atsą́ áshk'azhí bąąh ak'ahígíí t'áá bił néidiinilgo bikáá' náá'iiniihí yikáa'jį' yiidííłid .
3:8:017:0	Nidi dóola yázhí bikágí áádóó bitsį' índa bichaan éí níbaal haal'á bits'áhwiiní'ą́ądi yidííłid ; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa .
3:8:018:0	Áádóó deenásts'aa' didlidgo nááhidoonih biniyé yinílóóz , áádóó Éran índa biye'ké éí deenásts'aa' bitsiit'áagi dah dadees'nii' .
3:8:019:0	Mózes éí deenásts'aa' yiyiisxį́įgo bidiłígíí éí bikáá' náá'iiniihí bikáa'gi t'áá át'é yik'íistah .
3:8:020:0	Áko deenásts'aa' niyiishgizh , áádóó bitsii' áádóó neheeshgizhígíí índa ak'ahígíí yidííłid .
3:8:021:0	Áádóó atsą́ siláí índa ajáád tánéízgiz , áko Mózes éí deenásts'aa' t'áá át'é bikáá' náá'iiniihí yikáa'jį' yidííłid ; éí didlidgo nááhániihii łikání halchinii át'éego Bóhólníihii bich'į' didlidgo nááhaaznii' ; Bóhólníihii éí Mózes yich'į' yee haadzí'ígíí yi'iilaa .
3:8:022:0	Áádóó deenásts'aa' ła'ígíí diyingo hats'ąą hasti'go há nááhániihii nínéidiilóóz ; éí bitsiit'áagi Éran áádóó biye'ké dah dadees'nii' .
