3:1:001:1	Didlidgo náádahaniihii
3:1:001:0	Áádóó Bóhólníihii éí Mózes yíká ádííniidgo yich'į' haadzíí' ; níbaal bii' dahozdísinii biyi'dóó ábíłní ,
3:1:002:0	Ízrel dine'é bich'į' handziihgo ábidiní , Nihitahdóó ła' Bóhólníihii bich'į' náázhdi'yoołnihgo éí béégashii áádóó dibé ła' nááhizhdoołnihgo éí jidoolóós .
3:1:003:0	Nááhizhdoołnihii éí béégashii jidiłidgo nááhizhdoołnih ládą́ą́' biką'ii hadaałt'éii nízdidoolóosgo t'áá hó íiznízingo níbaal bii' dahozdísinii bich'éédą́ą'gi Bóhólníihii binááł jidiłidgo nááhizhdoołnih .
3:1:004:0	Áádóó didlidgo náájiiłniihígíí bitsiit'áagi dashdidoolnihgo há dínóodzįįł ; éí bee há k'ééhodoodǫǫł biniyé ách'ą́ą́h nááhizhdoołnih .
3:1:005:0	Áádóó Bóhólníihii binááł dóola jidiyoołhééł , áko nááda'iiłniihii Éran biye'ké éí dił nídeidiyiikaahgo níbaal bii' dahozdísinii bich'éédą́ą'gi bikáá' náá'iiniihí bikáa'gi t'áá át'é yik'ínídeiłka' doo .
3:1:006:0	Ákohgo didlidgo nááhidoonihígíí néidooł'ah áádóó niidiyoołgish .
3:1:007:0	Náá'iiłniihii Éran biye'ké éí bikáá' náá'iiniihí bikáa'gi kǫ' iididoołt'áałgo ákwii hazhó'ó chizh deididoonił .
3:1:008:0	Áádóó nááda'iiłniihii Éran biye'ké éí nááhidoonihígíí bitsiits'iin índa bik'ah t'áá bił ałkéé' sinilgo bikáá' náá'iiniihí bikáa'gi chizh diltłi'ígíí yikáá' nideidoonił .
3:1:009:0	Nidi bitsą́ siláí áádóó bijádígíí éí táádoogis . Áko náá'iiłniihii éí bikáá' náá'iiniihí bikáa'jį' didlidgo nááhániihii t'áá át'é Bóhólníihii bich'į' łikání halchingo néidiyoołnih .
3:1:010:0	Áádóó nááhizhdoołnihii éí dibé bitahdę́ę́' dibé ła' , doodaii' tł'ízí ła' didlidgo nááhizhdoołnihgo éí biką'ii hadaałt'éii nááhizhdoołnih .
3:1:011:0	Áko éí bikáá' náá'iiniihí si'ánídóó náhookǫsjígo Bóhólníihii binááł jidiyoołhéełgo nááda'iiłniihii Éran biye'ké éí diłígíí bikáá' náá'iiniihí bikáa'gi yik'ínídeiłka' doo .
3:1:012:0	Áádóó diné éí nááhizhdoołnihígíí nihizhdoołgishgo atsii' áádóó ak'ah t'áá bił ałkéé' sinilgo náá'iiłniihii éí bikáá' náá'iiniihí bikáa'gi chizh diltłi'ígíí yikáá' niidoonił .
3:1:013:0	Nidi bitsą́ siláí áádóó bijáád táidoogis . Áko náá'iiłniihii éí t'áá ałtso néididooniłgo bikáá' náá'iiniihí bikáa'jį' yididoołił ; díí didlidgo nááhidoonihii éí Bóhólníihii bich'į' łikání halchingo nááhániihii át'ée doo .
3:1:014:0	Didlidgo nááhániihii éí Bóhólníihii bich'į' nááhizhdoołnihígíí éí tsídii át'éego nááhizhdoołnihígíí éí hasbídí , doodaii' hasbídí łigaii biyázhí át'éego jidoojih .
3:1:015:0	Áko náá'iiłniihii éí bikáá' náá'iiniihí si'áníjį' yidoołtéełgo bik'os haidoonishgo bikáá' náá'iiniihí bikáa'jį' yididoołił ; bidiłígíí éí bikáá' náá'iiniihí bitsį́įjį' yąąh haidoonih .
3:1:016:0	Áádóó yii' iiłneehígíí índa ats'osígíí t'áá bił haidoonishgo bikáá' náá'iiniihí bíighahgi ha'a'aahdę́ę'go łeeshch'iih yahiikaahjį' iidiyoołtł'ił .
3:1:017:0	Áádóó bit'a' t'áá yił ąą yididoozǫ́ǫ́s , nidi doo aháidoonił da , índa náá'iiłniihii éí bikáá' náá'iiniihí bikáa'gi chizh diltłi'ígíí yikáá' niidooniłgo yididoołił , áko didlidgo nááhidoonihii éí Bóhólníihii bich'į' łikání halchingo nááhániihii át'ée doo .
