3:15:001:1	Ats'íís bąąh hááłts'ą'ii t'óó baa'ihii
3:15:001:0	Áko Bóhólníihii éí Mózes áádóó Éran yich'į' haadzíi'go ííłní ,
3:15:002:0	Ízrel dine'é bich'į' haohdziihgo kóbidohní , Diné éí naałniih bits'íís bits'ą́ą́dóó háálį́įgo , jó , bąąh háálínígíí yee doo bi'didéeh da doo .
3:15:003:0	Díí bąąh háálį́ silį́'ígíí doo bi'didéeh da doo , éí bąąh háálį́įgo , doodaii' doo bąąh háálį́į da silį́į' nidi éí doo bi'didéeh da doo .
3:15:004:0	Áko tsásk'eh t'áá yikáá' nánítéhígíí t'óó baa'ih neheleeh doo , índa t'áá yik'i nánídaahígíí t'óó baa'ih neheleeh doo .
3:15:005:0	Áádóó t'áá háiida éí bitsásk'eh bíhizhdéé'náa'go ha'éé' jidoogis áádóó nizhdoobeeł , áko i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:006:0	T'áá háiida díí diné bąąh háálínígíí t'áá ha'át'íhída yikáá' neezdáhígíí bikáa'jį' jineezdáago éí ha'éé' jidoogis , índa nizhdoobeełgo i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:007:0	Áádóó diné bąąh háálínígíí t'áá háiida éí bíhizhdéé'náa'go éí ha'éé' jidoogis índa nizhdoobeełgo i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:008:0	Áko diné bąąh háálínígíí éí diné bi'díídee'ii yik'ídeezhée'go éí bi'éé' yidoogis áádóó nidoobeełgo i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:009:0	Áádóó diné bąąh háálínígíí éí t'áá ha'át'íhída bik'i dah ná'niłí yik'i dah neezdáago éí t'óó baa'ih dooleeł .
3:15:010:0	Áko t'áá ha'át'íhída biyaa sinil nít'éé' yę́ę t'áá háiida bíhizhdéé'náa'go éí i'íí'ą́ąjį' doo ho'didéeh da doo , áko éí tázhdííjaa'ígíí ha'éé' jidoogis áádóó nizhdoobeełgo i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:011:0	Áádóó diné bąąh háálínígíí t'áadoo bíla' tánéígisí t'áá háiida yideelchidgo éí diné bi'éé' yidoogis áádóó nidoobeełgo i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:012:0	Índa diné bąąh háálínígíí hashtł'ish łeets' aa' yíhidéé'ná'ígíí doolts'ił áádóó tsin bee ásaa' ádaalyaaígíí t'áá ałtso bąąh nidadool'oł .
3:15:013:0	Áko éí diné bąąh háálínígíí hadaałt'é násdlį́į'go bi'didéehgo tsosts'id yidoołkááł áádóó bi'éé' yidoogis índa tó nílínígíí yii' nidoobeeł , áko bi'didéeh doo .
3:15:014:0	Áádóó tseebíí yiską́ągo hasbídí naakigo , doodaii' hasbídí łigaii yázhí naakigo Bóhólníihii binááł níbaal bii' dahozdísinii bich'éédą́ą'gi náá'iiłniihii yeidoonił .
3:15:015:0	Áko náá'iiłniihii éí náádi'yoołnihgo t'ááłá'ígo ádił ni'iidzííhjí nááhániihii át'éego áádóó ła'ígíí éí didlidgo nááhániihii át'éego há néidiyoołnih . Kót'éego náá'iiłniihii éí Bóhólníihii binááł diné bąąh háálį́į́ nít'é'ígíí yá k'ééhodoołdǫǫł .
3:15:016:0	Diné ła'da hwíígąsh hááłts'ą'go t'áá dzizį́į́ nít'éé' tá'ázhdidoogis , áko i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:017:0	Éé'da índa akágída bik'ijį' hwíígąsh háána'ígíí táázhdoogis , áko i'íí'ą́ąjį' t'óó badaa'ih doo .
3:15:018:0	Asdzání éí diné ła' bił neezhtéezhgo hwíígąsh háána'go éí t'áá ájíłah nizhdoobeeł , áko i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:019:0	Áádóó asdzání ła'da dił bighánílį́įgo éí tsosts'id yiską́ąjį' ats'áhodi'doot'ááł , áko t'áá háiida hóhidéé'náa'go éí i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:020:0	Áko ats'áho'deet'ání góne' t'áá bik'izhnitéhígíí índa t'áá bik'i názhnídaahígíí t'óó baa'ih neheleeh doo .
3:15:021:0	Áádóó t'áá háiida hatsásk'eh yíhidéé'náa'go bi'éé' yidoogis áádóó nidoobeełgo i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:022:0	T'áá ha'át'íhída bikáá' jineezdá nít'éé' yę́ę t'áá háiida yikáá' neezdáago éí bi'éé' yidoogis áádóó nidoobeeł , áko i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:023:0	Hadiłígíí hatsásk'eh bąąh silį́į'go , doodaii' t'áá ha'át'íhída bikáá' dzizdáhígíí bąąh dił silį́į'go t'áá háiida éí yíhidéé'náa'go i'íí'ą́ąjį' doo ho'didéeh da doo .
3:15:024:0	Diné ła' hoł neezhtéezhgo éí ha'ąądii yénáyáago tsosts'id yiską́ąjį' doo bi'didéeh da doo , áádóó t'áá yikáá' nánítéhígíí t'óó baa'ih neheleeh doo .
3:15:025:0	Aszdání ąądii nádleehígíí t'áá bita'gi dił bighánílį́įgo lą'í yiską́ągo , doodaii' ąądii nádleehígíí bilááhgóó ayííłką́ągo éí ąądii jílį́įgo ats'ánáho'diltéhígi át'éego ats'áho'deeltį́į doo , áko doo ho'didéeh da doo .
3:15:026:0	Áádóó t'áá dił haghánílį́įgo neiłka' góne' éí t'áá bikáá' jinitéhígíí áádóó t'áá ha'át'íhída bikáá' dzizdá nít'éé' yę́ę t'óó baa'ih neheleeh doo .
3:15:027:0	Áko éí t'áá háiida yíhidéé'náa'go doo bi'didéeh da doo ; éí bi'éé' yidoogis áádóó nidoobeełgo i'íí'ą́ąjį' doo bi'didéeh da doo .
