3:4:001:1	Ádił ni'iidzííhjí náádahaniihii
3:4:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:4:002:0	Ízrel dine'é bich'į' handziihgo kóbidiní , Ła' t'áadoo baa ákozníziní ádił adzisiihgo , éí Bóhólníihii bibik'eh ó'oo'níiłii doo ádoolníił da , nínígíí ájiilaago , éí t'ááłáhígo haz'ą́ dziz'įįdígíí bee ádihozhdiilt'i'go ,
3:4:003:0	náá'iiłniihii ak'ah bik'i yaadziidgo bi'doolzį́į'ii éí Ízrel dine'é ádił nida'iisíihii bik'ehgo ádił asiihgo , éí ádił ni'iidzííh yee ádił asiihígíí biniinaa dóola yázhí hadaałt'éii néididoolóosgo Bóhólníihii bich'į' ádił ni'iidzííhjí nááhániihii néidiyoołnih .
3:4:004:0	Áádóó dóola yázhí éí níbaal bii' dahozdísinii bich'éédą́ą'gi Bóhólníihii binááł niidoolóós áádóó dóola yázhí bitsiit'áagi dah didoolnihgo Bóhólníihii binááł yidiyoołhééł .
3:4:005:0	Áko náá'iiłniihii ak'ah bik'i yaadziidgo bi'doolzį́į'ii éí dóola yázhí bidiłígíí níbaal bii' dahozdísinii si'áníjį' yidookááł .
3:4:006:0	Áádóó náá'iiłniihii éí diłígíí yiih didoolnihgo Bóhólníihii binááł ts'ídá aláahgo hodiyingo haz'ánígíí bidáádiníbaal bidáahjį' tsosts'idi ałkéé' ni'jį' dił iidoołkał .
3:4:007:0	Áko náá'iiłniihii éí níbaal bii' dahozdísinii góne' Bóhólníihii binááł tsin bijeeh dilidgo łikání halchinii bikáá' náá'iiniihí bidee' dadeez'áhígíí diłígíí ła' yąąh íidoolííł . Áádóó dóola yázhí bidił yidziihígíí t'áá át'é níbaal bii' dahozdísinii bich'é'étiingi didlidgo nááhániihii biniyé bikáá' náá'iiniihí si'ánígíí bitsį́įjį' yeidooził .
3:4:008:0	Índa dóola yázhí bik'ah t'áá át'é ádił ni'iidzííhjí nááhániihii át'éego hazhdoonił ; ak'ah łání áádóó bitsą́ siláí ak'ah daabąąhígíí t'áá át'é
3:4:009:0	áádóó bitsą́ áshk'azhí t'áá áłah áádóó ak'ah t'áá bąąhgo , éí atságah bidiit'i'ígíí , índa azid bíighahgi ak'ahígíí éí atsą́ áshk'azhí t'áá bił hazhdoonił .
3:4:010:0	Nááhidoonihii éí hózhǫ́ǫ́jí nááhániihii béégashii bik'ah haa'nilígi át'éego hazhdoonił , áko náá'iiłniihii éí didlidgo nááhániihii néidiyoołnih biniyé bikáá' náá'iiniihí bikáa'jį' yididoołił .
3:4:011:0	Bikágí áádóó bitsį' t'áá át'é índa bitsiits'iin áádóó bijáád biłgo bitsą́ siláí índa bichaan t'áá bił ;
3:4:012:0	dóola yázhí t'áá sitį́į́ nít'éé' níbaal haal'á bits'áhwiiní'ą́ądi yá'áhoot'éehjį' ch'ídoojihgo łeeshch'iih nehekaahgi chizh bikáa'gi didoodlił ; łeeshch'iih yah hiikaahgi didoodlił .
3:4:013:0	Ízrel dine'é t'áá yíl'áá nít'éé' t'áadoo ádaa ákodandziní ádił da'asiihgo áádóó aląąjį' naazíinii ahínéikahígíí doo bił béédahózingóó Bóhólníihii bibik'eh ó'oo'níiłii doo ádoolníił da , nínígíí doo yik'eh ádaadzaagóó yee ádidahodiilt'i'go ,
