3:2:001:1	Ak'áán bee ádaalyaii náádahaniihii
3:2:001:0	Áko ła'da Bóhólníihii bich'į' ak'áán nááhániihii náájiiłniihgo éí ak'áán dibahí bik'ijį' ak'ah yaadziidgo índa bikáa'gi tsin bijeeh dilidgo łikání halchinii fránkinsens wolyéii niijaa'go éí náájiiłniihii át'ée doo .
3:2:002:0	Ákohgo éí nááda'iiłniihii Éran biye'ké baazhdookááł ; éí ak'áán áádóó ak'ah ła' índa fránkinsens wolyéii t'áá át'é bóóltą'go bílák'ee hadeezbingo hanéíjihgo náá'iiłniihii éí bee ééhániihii át'éego bikáá' náá'iiniihí bikáa'jį' néidiłi' doo ; éí didlidgo nááhániihii Bóhólníihii bich'į' łikání halchingo nááhániihii át'ée doo .
3:2:003:0	Ak'áán nááhániihii yidziihígíí éí Éran áádóó biye'ké daabí doo ; díí aláahgo dílzinii éí Bóhólníihii bich'į' didlidgo nááhániihii át'é .
3:2:004:0	Bááh bighan góne' bááh ádoolníłígíí nááhidííłnihgo éí díík'ǫsh t'áágééd ak'ah bił ałtahgo ályaii , doodaii' díík'ǫsh t'áágééd bááh dá'áka'í ályaii ak'ah bik'i yaadziidgo nááhíłniih doo .
3:2:005:0	Áádóó ásaa' ditání bee bááh ádoolníłígíí nááhidííłnihgo éí díík'ǫsh t'áágééd ak'ah bił ałtahgo bááh ál'į́į doo .
3:2:006:0	Éí neheezti'go bik'ijį' ak'ah yanáadzi' doo ; díí ak'áán bee ályaii nááhániihii át'ée doo .
3:2:007:0	Áádóó tsee'í bee łees'áán ádoolníłígíí nááhidííłnihgo ak'áán dibahí éí ak'ah bił ałtahgo ál'į́į doo .
3:2:008:0	Áko kót'éego ádaalyaaígíí ła' ak'áán bits'ą́ą́dóó ályaii nááhániihii éí Bóhólníihii bich'į' nááhidííłnihígíí díí'áałgo náá'iiłniihii baa díí'áałgo bikáá' náá'iiniihí si'áníjį' yidoo'ááł .
3:2:009:0	Áádóó náá'iiłniihii éí ak'áán bee ályaii nááhániihii ła' yéiditih doo , áko éí bee ééhániihii dooleełgo bikáá' náá'iiniihí yikáa'jį' néidiłi' doo ; éí didlidgo nááhániihii Bóhólníihii bich'į' łikání halchinii nááhániihii át'ée doo .
3:2:010:0	Ak'áán bee ályaii nááhániihii daadziihígíí éí Éran áádóó biye'ké daabí doo ; díí aláahgo dílzinii éí Bóhólníihii bich'į' didlidgo nááhániihii át'ée doo .
3:2:011:0	Ak'áán nááhániihii éí Bóhólníihii bich'į' náádahidoo łnihii éí díík'ǫsh t'áágééd ályaii t'éí náádahołniih doo ; jó , díík'ǫsh , doodaii' tsés'ná bitł'izh t'áadoo dadohłidgo Bóhólníihii bich'į' didlidgo nááhániihii ádeínóhsiní .
3:2:012:0	Éí aneest'ą' áłtsé nídant'į́įhii nááhániihii át'éego Bóhólníihii bich'į' náádahołniih doo , nidi bikáá' náá'iiniihí bikáa'jį' t'áadoo łikání halchin biniyé dadohłidgo náádahołniihí .
3:2:013:0	Índa ak'áán náádahołniihígíí t'áá ałtso áshįįh biih nídahohjih ; Bóhólníihii nihiDiyin God éí áshįįh yee nihił aha'deet'áanii t'áágééd ak'áán doo náádahołniih da doo ; náádahołniihii t'áá ałtso áshįįh bił náádahołniih doo .
3:2:014:0	Aneest'ą' átsé nídant'į́įhii bits'ą́ą́dóó ak'áán nááhániihii éí Bóhólníihii bich'į' náádahołniihgo éí tł'oh naadą́ą́' bidee'í bineest'ą' áłtsé nídant'į́įhii náneezt'éego naalzilgo náádahołniih doo .
3:2:015:0	Áko bik'ijį' ak'ah yanídaohdzi'go fránkinsens wolyéii bikáá' dah dadoohjih ; díí ak'áán nááhániihii át'ée doo .
3:2:016:0	Áádóó bee ééhániihii át'éego náá'iiłniihii éí tł'oh naadą́ą́' bidee'í naalzilígíí ła' índa ak'ah ła' éí fránkinsens wolyéii t'áá át'é yił yididoołił ; éí Bóhólníihii bich'į' didlidgo nááhániihii át'ée doo .
