3:22:001:1	Náádahaniihii t'áá íiyisí dadílzin
3:22:001:0	Áádóó Bóhólníihii éí Mózes ííłní ,
3:22:002:0	Éran áádóó biye'ké bich'į' handziihgo kóbidiní , Ízrel dine'é éí deidísingo dílzinii shaa nídeidii'aahígíí doo ha'át'éegoda ádayósin da doo , áádóó shízhi' dílzinii t'ááká doo dílzinii ádayóle' lágo , jó , shí Bóhólníihii nishłį́ .
3:22:003:0	Kóbidiní , Nihits'ą́ą́dóó náás ahoołchíiłii t'áá ánółtso nihitahdóó dílzingo aa náhidit'aahii biniyé yah ajííyáago éí Ízrel dine'é Bóhólníihii yaa nídeidii'aahgo deidísinígi át'éego éí t'ahdii doo ho'didééhgóó yah ajííyáago honishłóní bits'ą́ąjį' hodi'yoolyééł ; jó , shí Bóhólníihii nishłį́ .
3:22:004:0	Éran bits'ą́ą́dóó yichíiłii t'áá háiida łóód ats'íís yiyáanii naałdzidii bee bąąh dahaz'ą́ągo , doodaii' naałniih bits'íís bits'ą́ą́dóó háálį́įgo éí dílzingo shaa náhidit'aahii doo ła' yidooyį́įł da ; ho'díídee'go índa . Ła' ats'íís daaztsáanii bee t'óó baa'ih silį́į'ii , doodaii' diné ła' bíígąsh háána'ii bíhizhdéé'náa'go ,
3:22:005:0	doodaii' t'áá ha'át'íhída nidaa'na'ii ła' daaztsą́ągo bíhizhdéé'náa'go t'áá haa dayit'éego doo ho'didééh áhoolaagóó , doodaii' diné doo bi'didéehii bíhizhdéé'náa'go éí t'áá ha'át'éegoda doo bi'didééhgóó
3:22:006:0	éí ákódaat'éii ła' bíhizhdiyii'náhígíí i'íí'ą́ąjį' doo ho'didéeh da doo ; dílzingo shaa náhidit'aahígíí doo ła' yidooyį́įł da ; t'áá hazhó'ó naabeehgo t'éiyá .
3:22:007:0	I'íí'ą́ągo índa ho'didoodah , áádóó bik'ijį' índa dílzingo shaa náhidit'aahígíí yidooyį́į́ł ; jó , éí bich'iyą' át'é .
3:22:008:0	T'áá bíni'dii daaztsánígíí , doodaii' naaldlooshii nibiisdládígíí t'ááká yóyą́ą'go yee ádólchxǫǫh lágo , jó , shí éí Bóhólníihii nishłį́ .
3:22:009:0	Éí bąą shibik'eh hoogáałii bik'eh ádajooníił doo , áko ádił da'dzisiihígíí doo bee hodahodiit'i'go dajíkáah da doo áádóó doo dazdísinígíí biniinaa t'óó jidínóonééł ; jó , shí Bóhólníihii nishłį́įgo dazhdiyingo áhwíínísin .
3:22:010:0	Diné t'áá azlį́'ígíí éí dílzingo shaa náhidit'aahígíí doo ła' yidooyį́įł da ; t'óó átsééd yił bighango , doodaii' adeenáago bá naalnishii dílzingo shaa náhidit'aahígíí doo ła' yidooyį́įł da .
