3:3:001:1	Hózhǫ́ǫ́jí náádahaniihii
3:3:001:0	Áádóó nááhizhdoołnihii éí hózhǫ́ǫ́jí nááhániihii nááhizhdoołnihígíí éí béégashii bitahdóó béégashii át'éego éí biką'ii , doodaii' bi'áadii hadaałt'éii ła' nízdidoolóosgo Bóhólníihii binááł nááhizhdoołnih .
3:3:002:0	Áko nááhizhdoołnihígíí bitsiit'áagi dashdidoolnih áádóó níbaal bii' dahozdísinii bich'éédą́ą'gi jidiyoołhééł . Áádóó nááda'iiłniihii Éran biye'ké éí diłígíí bikáá' náá'iiniihí t'áá ałtsodę́ę́' yik'ínídeiłka' doo .
3:3:003:0	Áádóó náádi'yoołnihgo néidiyoołnihígíí éí hózhǫ́ǫ́jí nááhániihii ła' Bóhólníihii bich'į' didlidgo nááyiiłniih doo ; éí ak'ah łání áádóó atsą́ siláí ak'ah daabąąhígíí t'áá át'é
3:3:004:0	áádóó bitsą́ áshk'azhí t'áá áłah áádóó bik'ah t'áá bąąhgo , éí atságah bidiit'i'ígíí , índa azid bíighahgi ak'ahígíí éí atsą́ áshk'azhí t'áá bił hazhdooniłgo t'áá bił náájiiłniih doo .
3:3:005:0	Áko Éran biye'ké éí bikáá' náá'iiniihí bikáa'gi chizh diltłi'ígíí yikáá' ninádei'niłgo nídeidiłi' doo , áko didlidgo nááhidoonihii éí Bóhólníihii bich'į' łikání halchingo nááhániihii át'ée doo .
3:3:006:0	Náájidi'yoołnihgo nááhidoonihii éí hózhǫ́ǫ́jí nááhániihii Bóhólníihii bich'į' nááhizhdoołnihígíí éí dibé nanilkaadii biką'ii , doodaii' bi'áadii hadaałt'éii ła' nízdidoolóosgo nááhizhdoołnih .
3:3:007:0	Néidiyoołnihii éí dibé yázhí néidiyoołnihgo Bóhólníihii binááł nááyiiłniih doo .
3:3:008:0	Áko náájiiłniihígíí bitsiit'áagi dashdidoolnih áádóó níbaal bii' dahozdísinii bich'éédą́ą'gi jidiyoołhééł , áádóó Éran biye'ké éí diłígíí bikáá' náá'iiniihí t'áá ałtsodę́ę́' yik'ínídeiłka' doo .
3:3:009:0	Áádóó náádi'yoołnihgo néidiyoołnihígíí éí hózhǫ́ǫ́jí nááhániihii ła' Bóhólníihii bich'į' didlidgo nááyiiłniih doo ; dibé yázhí neesk'ahii : éí bitsee' neesk'ahígíí áádóó ak'ah łání índa bitsą́ siláí ak'ah daabąąhígíí t'áá át'é
3:3:010:0	áádóó bitsą́ áshk'azhí t'áá áłah áádóó bik'ah t'áá bąąhgo , éí atságah bidiit'i'ígíí índa azid bíighahgi ak'ahígíí éí atsą́ áshk'azhí t'áá bił hazhdoonił .
3:3:011:0	Áko náá'iiłniihii éí bikáá' náá'iiniihí bikáa'jį' néidiłi' doo ; éí Bóhólníihii bich'į' ch'iyáán didlidgo nááhániihii át'ée doo .
3:3:012:0	Néidiyoołnihii éí tł'ízí néidiyoołnihgo éí Bóhólníihii binááł nááyiiłniih doo .
3:3:013:0	Áko náájiiłniihígíí bitsiit'áagi dashdidoolnih áádóó níbaal bii' dahozdísinii bich'éédą́ą'gi jidiyoołhééł , áádóó Éran biye'ké éí diłígíí bikáá' náá'iiniihí t'áá ałtsodę́ę́' yik'ínídeiłka' doo .
3:3:014:0	Áádóó náádi'yoołnihgo néidiyoołnihígíí ła' Bóhólníihii bich'į' didlidgo nááyiiłniih doo ; ak'ah łání áádóó bitsą́ siláí ak'ah daabąąhígíí t'áá át'é
3:3:015:0	áádóó bitsą́ áshk'azhí t'áá áłah áádóó bik'ah t'áá bąąhgo , éí atságah bidiit'i'ígíí áádóó azid bíighahgi ak'ahígíí índa atsą́ áshk'azhí t'áá bił hazhdooniłgo t'áá bił náájiiłniih doo .
3:3:016:0	Áko náá'iiłniihii éí bikáá' náá'iiniihí bikáa'jį' néidiłi' doo ; éí ch'iyáán didlidgo łikání halchinii nááhániihii át'ée doo ; ak'ah t'áá át'é Bóhólníihii bí .
3:3:017:0	Díí hool'áágóó yee nihoní'áanii éí náás da'ahíínółchííhgóó t'áá danihiníghanígi bik'eh ádanoht'ée doo ; éí ak'ah , doodaii' dił t'áadoo daahsání .
