3:26:001:1	Ak'eh hól'į́ biniit'aa ak'ihojidlíii
3:26:001:0	Eda'alyaii , doodaii' naashk'aazhgo eda'alyaii t'áadoo ádá ádaoł'íní , doodaii' eda'alyaii adadoohtsihda , doodaii' nihikéyahgi bich'į' yaa áńdaoht'įįh doo biniyé tsé bee e'elyaii doo adadoohtsih da ; jó , shí Bóhólníihii nihiDiyin God nishłį́ .
3:26:002:0	Shiháá'áyį́į́h ná'oodleełgo dahodíínóhsin , áádóó shiníbaal bii' hodílzinii dadíínóhsin ; jó , shí Bóhólníihii nishłį́ .
3:26:003:0	Bee nihoyé'áanii bik'eh dasidoohkaigo áádóó shibik'eh ó'oo'níiłii bik'eh ádanoht'éego áádóó bida'íínóhsingo
3:26:004:0	nahałtin baa náhwiilzhíishgo níłtsą́ nihaa hidish'aah doo , áko kéyah bikáá'góó nída'nit'į́įh doo , áádóó tsin bineest'ą' bąąh nídahoodleeł doo .
3:26:005:0	Da'ohizhgo ch'il na'atł'o'ii deínóhbéejį' anáhálzhish doo , áádóó ch'il na'atł'o'ii wóbéhígíí k'éédílyéehjį' anáhálzhish doo , áádóó ch'iyáán bee áda'azįįdgo daohsą́ą doo , índa nihikéyahgi hasih nidahoh'áago kéédahoht'į́į doo .
3:26:006:0	Áádóó kéyahgi hodéesyéelgo ádeeshłííł , áko nídanohjahgo doo nídaołdzidgóó ánihideeshłííł ; naaldlooshii dahashkéii kéyahdóó hadínéeshkał , doodaii' nihikéyahgi doo diltłish ahindajiilyée da doo .
3:26:007:0	Índa nihi'ana'í nihaa ch'ídahajeehgo nihilą́ąjį' diltłish bee bił nidadziilghaał doo .
3:26:008:0	Ashdla' nołt'éego neeznádiingo nihaa nídadidoojah ; neeznádiin nołt'éego neeznáadi míilgo nihik'ee nidanichée doo áádóó nihi'ana'í nihilą́ąjį' diltłish bee bił nidadziilghaał doo .
3:26:009:0	Áádóó nihił nishłį́į doo , áádóó niha'áłchíní nídahoodleełgo k'ee'ąą nooht'į́įłgo ánihideeshłííł , índa bohoníłdzilgo nihił ahadi'nisht'ą́ągo ádeeshłííł .
3:26:010:0	Áko ałk'idą́ą́' nooh dashoołchínígíí daohsą́ą doo , áádóó ániidígíí bá hwiidoo'aał biniyé nooh dashoołchínígíí ch'ídahidoohjih .
3:26:011:0	Áádóó shiníbaal bii' hodílzinii nihitahgi nideesh'ááł , áádóó doo nihá deeshnih da doo .
3:26:012:0	Áko nihitaasháa doo ; nihiDiyin God nishłį́į doo , áádóó nihí shidine'é danohłį́į doo .
3:26:002:1	Doo ak'eh hól'į́į́góó biniinaa atí'él'íinii
3:26:013:0	Shí Bóhólníihii nihiDiyin God nishłíinii Ííjip dine'é bikéyahdę́ę́' ch'éénihiní'eezh ; doo t'áá binaalte' danohłį́į da ; jó , nihiyéél dabitł'óól hénizhgo k'ídasoodongo dayínóhkáahgo ánihiishłaa .
3:26:014:0	Nidi doo dashíínółts'ą́ą́'góogo áádóó shibik'eh ó'oo'níiłii t'áá át'é doo bik'eh dahonoł'į́į́góogo
3:26:015:0	índa bee nihoyé'áanii ts'ídá dasoo'įįdgo , doodaii' bee nihodiish'aahii ts'ídá t'óó bá dasidoołnihgo , áko shibik'eh ó'oo'níiłii t'áá át'é doo bik'eh dahonoł'į́į da doo , nidi shibee aha'deet'áanii t'óó dahohtíih doo .
3:26:016:0	Shí ałdó' kónihideeshłííł : t'óó báhádzidii áádóó ni'iiłganii índa naałniih nihináá' ts'ídá doo da'ooh'į́į da ánihidoolííł áádóó yínííł biih dínóohdah , índa ch'ééh k'ééda'dohdléehgo nihi'ana'í nihaa nahodikai doo .
3:26:017:0	Áádóó nihik'ijį' nishłį́įgo nihi'ana'í binááł nidanihi'ditseedgo danihijoołáii nihindant'áa doo , índa t'áadoo nidanihiniłchéhígóó nidanochée doo .
3:26:018:0	Áko azhą́ díí t'áá át'é kónihi'diilyaa nidi t'ahdii doo dashíínółts'ą́ą́'góogo t'óó kónihideeshłííł ; tsosts'idi ahą́ą́h nániiláago ádił nida'ayohsí'ígíí biniinaa atínáánihideeshdlííł .
3:26:019:0	Áádóó nihidziil bee ádaa dadzíínóhdlíhígíí yaa ádeeshłííł , áádóó wódahdi yádiłhił éí béésh nitł'iziigi át'éego índa nahasdzáán éí béésh łitsoiigi át'éego ádeeshłííł .
3:26:020:0	T'áadoo biniyéhígóó nidaołdzil doo , háálá nihikéyah doo bikáá' na'nit'ą' da doo , doodaii' tsin bineest'ą' doo bąąh nídahadleeh da doo .
3:26:021:0	Áádóó shik'ijį' danohłį́įgo t'éí deínóhkáahgo índa doo dashidoohts'a'góogo ádił nida'ayohsí'ígíí bik'ehgo tsosts'idi ahą́ą́h nániiláago naałniih bee nihich'į' hodiyeeshnááł .
