3:23:001:1	Hodílzingo áłah ná'ádleeh nídeit'aahígíí
3:23:001:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:23:002:0	Ízrel dine'é bich'į' handziihgo kóbidiní , Bóhólníihii bich'į' hodílzingo áłah ná'ádleeh baa náhwiilzhíishgo nídeit'aahígíí baa ch'éédahoht'áah doo ; díí hodílzingo áłah ná'ádleeh bee náhoosh'aahii át'é .
3:23:003:0	T'áá hastą́ą́h jínígo t'éí ninádaałnish doo , nidi tsosts'id jį́į́ góne' háá'áyį́į́h jį́ át'éego dahodíínóhsingo áłah náhdleeh doo ; éí bijį́ ts'ídá doo na'anish da doo ; díí éí t'áá danihiníghangóó t'áá ałtso Bóhólníihii biháá'áyį́į́h jį́ át'ée doo .
3:23:004:0	Díí Bóhólníihii bich'į' hodílzingo áłah ná'ádleeh baa náhwiilzhíishgo nídeit'aahígíí éí baa nídahwiilzhish góne' baa ch'éédahoht'áah doo .
3:23:005:0	Átsé nídízííd binih dį́į́ts'áadahgóó yoołkáałgo i'íí'ą́ągo Bóhólníihii bi'atis'adeesdzáii bee bééhániihii hahalzhíísh .
3:23:006:0	Áádóó t'áá éí yiziłígíí binih ashdla'áadah yoołkáałgo díík'ǫsh t'áágééd bááh ályaii bee Bóhólníihii bich'į' hodílzingo áłah ná'ádleeh néit'aah doo ; tsosts'id jį́ díík'ǫsh t'áágééd bááh ályaii nídaahdį́įh doo .
3:23:007:0	Hahóóyá bijį́ nihił dahodiyingo áłah náhdleeh doo ; éí bijį́ doo nidoołnish da .
3:23:008:0	Nidi tsosts'id jį́ Bóhólníihii bich'į' didlidgo nááhániihii náádahołniih doo ; tsosts'id yiską́ą́ góne' hodílzingo áłah náhdleehgo ákóne' doo nidoołnish da .
3:23:009:0	Áádóó Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:23:010:0	Ízrel dine'é bich'į' handziihgo kóbidiní , Kéyah nihaa dinish'aahígíí biih woonáago da'ohizhgo áłtsé neest'áanii éí ła' be'astł'ǫ́ǫgo náá'iiłniihii baa nídaołjoł doo .
3:23:011:0	Áádóó tł'oh naadą́ą́' be'astł'ónígíí Bóhólníihii yich'į' náásee yił nídi'dilnih doo ; nihidínóozįįł biniyé háá'áyį́į́h jį́ biiłkáhí náá'iiłniihii éí náásee yił nídi'dilnih doo .
3:23:012:0	Áádóó t'áá éí bijį́ tł'oh naadą́ą́' be'astł'ónígíí náásee bił nídadołnihgo dibé yázhí biką'ii ła' binááhaaí hadaałt'éii didlidgo nááhániihii át'éego Bóhólníihii bich'į' náádahołniih doo .
3:23:013:0	Índa ómer bee í'neel'ąąhí bee ak'áán dibahí naakidi haaką́ągo éí ak'ah bił ałtahgo náádahołniih doo ; éí didlidgo łikání halchingo Bóhólníihii bich' į' nááhániihii át'é , áádóó yanáadzi'go nááhániihii éí wáin t'ááłáhídi yikááł bíighahgo náádahołniih doo .
3:23:014:0	Tł'oh naadą́ą́' átsé daneest'ánígíí bááh ályaago , doodaii' sit'éego , doodaii' t'áadoo sit'éhí t'ááká daohsą́ą́' lágo , nihiDiyin God átsé bich'į' náádahoołnii'go índa t'áá éí bijį́ dadoohsį́į́ł ; bee nihoní'áanii ahóyéel'áágóó náás da'ahíínółchííhgóó t'áá danihiníghangóó t'áá ałtso nihá át'ée doo .
3:23:015:0	Háá'áyį́į́h jį́ biiłkáhí tł'oh naadą́ą́' t'ááłá'í ałch'į' be'astł'ǫ́ǫgo náádadoołjołgo náásee bił nídi'dilnihígíí náádahoołnii'go éí bijį́į́dóó tsosts'idi háá'áyį́į́h jį́ ni'iileehgo deínółta' doo .
3:23:016:0	Áádóó tsosts'idi háá'áyį́į́h jį́ azlį́į́'dóó biiłkáhíjį' ashdladiin jį́ azlį́į'go deínółta' doo , áko náádadi'yoołnihgo náánáła' ak'áán nááhániihii éí Bóhólníihii bich'į' náádahołniih doo .
3:23:017:0	Áko ómer bee í'neel'ąąhí bee ak'áán dibahí naakidi haaką́ągo éí t'áá nihighandi díík'ǫsh bił bááh ályaaígíí náásee bił nídi'dilnihii naakigo éí Bóhólníihii bich'į' náádahołniih doo ; éí átsé neest'áanii Bóhólníihii bíhígíí át'é .
3:23:018:0	Áádóó náádadi'yoołnihgo bááh náádahołniihígíí bił dibé yázhí tsosts'idgo ła' béédááhaaí dabiką'ígíí hadaałt'éii áádóó dóola yázhí t'ááłá'ígo índa deenásts'aa' naakigo éí Bóhólníihii bich'į' didlidgo nááhániihii ádaat'éego ak'áán nááhániihii áádóó yanáadzi'go nááhániihii óóltą'go didlidgo nááhániihii Bóhólníihii bich'į' łikání halchinii át'éego náádahołniih doo .
3:23:019:0	Ákohgo índa náádahidoołnihii tł'ízíchǫǫh t'ááłá'ígo ádił ni'iidzííhjí nááhániihii át'éego áádóó deenásts'aa' ła' binááhaaí naakigo nááhidoonihii hózhǫ́ǫ́jí nááhániihii át'éego náádahołniih doo .
3:23:020:0	Áko náá'iiłniihii éí náásee bił nídi'dilnihgo náádahaniihii átsé neest'áanii bits'ą́ą́dóó bááh ályaii Bóhólníihii bich'į' náásee yił nídi'dilnihii át'éego dibé yázhí naakigo bóóltą'go nááyiiłniih doo ; éí Bóhólníihii bich'į' dílzinii át'éego náá'iiłniihii bá át'ée doo .
3:23:021:0	Áádóó t'áá éí bijį́ bee háá'ádzih doo , áko nihich'į'go dílzingo áłah ná'ádleehígíí át'ée doo , áádóó éí bijį́ doo nidoołnish da ; díí bee nihoní'áanii ahóyéel'áágóó t'áá danihiníghangóó t'áá ánół tso nihá át'éego náás da'ahíínółchíih doo .
