3:14:001:0	Áko Bóhólníihii éí Mózes yich'į' haadzíi'go ííłní ,
3:14:002:0	Díí éí łóód ats'íís yiyáanii naałdzidii bee bąąh dahaz'áanii bi'didééh bijį́ bee haz'áanii choo'íinii át'é ; jó , náá'iiłniihii yaa dabidoolóós .
3:14:003:0	Ákohgo náá'iiłniihii éí níbaal haal'á bits'áhwiiní'ą́ąjį' baa doogáałgo bidínóoł'įįł ; jó , naałniih łóód ats'íís yiyáanii naałdzidii bee hąąh dahoo'a'ígíí náádzíi'go
3:14:004:0	náá'iiłniihii éí bi'didééh ábi'dilnéhígíí yá ádidooniił , Tsídii yidánígíí t'áá hináago naakigo bá nídooh'nííł índa dilk'is áádóó na'at'ą́hí łichxí'ígíí índa ch'il hísap wolyéhígíí ałdó' nídooh'nííł .
3:14:005:0	Áko náá'iiłniihii ánáádidoo'niiłgo éí tsídii t'ááłá'ígo tó nílínídę́ę́' tóhígíí hashtł'ish łeets'aa' bee siką́ągo bik'ijį' sołhé ,
3:14:006:0	áádóó tsídii hinánígíí éí néididoołtéełgo dilk'is áádóó na'at'ą́hí łichxí'ígíí índa ch'il hísap wolyéhígíí éí tsídii hinánígíí biłgo tó nílínídę́ę́' tóhígíí bik'ijį' seesyínígíí bidił yił yiih didoolchi ł ,
3:14:007:0	áádóó łóód ats'íís yiyáanii naałdzidii bidoolna'go bi'didééh ábi'dilnéhígíí tsosts'idi yik'ínéidoołtahgo índa , Doo ánít'éhí da , hodidooniił , áádóó tsídii hinánígíí éí halgaigóó yéididoochił .
3:14:008:0	Áádóó éí bi'didééh ábi'dilnéhígíí éí bi'éé' yidoogis áádóó t'áá bí ałtso ádá nídoolzhih índa nidoobeeł , áko bi'didoodah , áádóó bik'ijį' níbaal haal'áajį' nídoodááł , nidi biníbaaldóó t'áá tł'óo'di tsosts'id biidoołkááł .
3:14:009:0	Áádóó tsosts'id yiską́ągo t'áá bí ałtso ádá náá'doolzhih áádóó bidághaa' áádóó binát'éézh índa bitáshtł'oh t'áá át'é yidooshih ; bi'éé' ałdó' yidoogis áádóó nidoobeeł , áko bi'didéeh doo .
3:14:010:0	Áádóó tseebíí yiską́ągo dibé yázhí biką'ígíí naakigo hadaałt'éii néididoojih índa dibé yázhí ła' binááhaí bi'ádígíí t'ááłá'ígo hadaałt'éii néididoołtééł , áádóó ak'áán nááhániihii éí ómer bee í'neel'ąąhí bee táadi ak'áán dibahí haaką́ągo ak'ah bił ałtahgo índa bąąh ha'íízhahí bii' ak'ah hadeezbingo néididookááł .
3:14:011:0	Áko náá'iiłniihii éí diné bi'didééh ííléehgo éí bi'didééh ábidi'doolníłígíí yá néidiyoołnihii t'áá bił Bóhólníihii binááł níbaal bii' dahozdísinii bich'éédą́ą'jį' yił nidoo'ash .
3:14:012:0	Áádóó náá'iiłniihii éí dibé yázhí biką'ígíí t'ááłá'ígo néididoołtéełgo doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii át'éego néidiyoołnih áádóó ak'ah yíkánígíí ałdó' náásee bił nídi'dilnihgo nááhániihii át'éego Bóhólníihii yinááł néidiyoołnih .
3:14:013:0	Áko dibé yázhí yidiyoołhéłígíí éí ádił ni'iidzííhjí nááhániihii áádóó didlidgo nááhániihii naatseedígi éí hodiyingo haz'ánígi yidiyoołhééł ; jó , ádił ni'iidzííhjí nááhániihii éí náá'iiłniihii bíí' át'éego doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii ałdó' bí ; éí ts'ídá aláahgo dílzinii át'é .
3:14:014:0	Áádóó náá'iiłniihii éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii bidił ła' néididookáałgo éí diłígíí yee bi'didéehii bijaa' nish'náájí yaa ninít'i'ígi áádóó bílátsoh nish'náájí índa bikétsoh nish'náájí dah deidoołchih .
3:14:015:0	Áko náá'iiłniihii éí ak'ah yíkánígíí ła' binishtł'ají bílák'eejį' yeidooziłgo
3:14:016:0	náá'iiłniihii t'áá bí bíla' nish'náájí yee nishtł'ajį' bílák'eejį' ak'ah yiih nídílchi'go Bóhólníihii binááł tsosts'idi iidoołtah .
3:14:017:0	Áádóó łahjį' ak'ah hálák'ee siziidígíí éí diné bi'didéhígíí bijaa' nish'náájí yaa ninít'i'gi áádóó bílátsoh nish'náájí índa bikétsoh nish'náájí éí doo ákǫ́ǫ́ ájíít'įįdjí nááhániihii bidił yee dah dayiiłchii' yę́ęgóó ak'ah yąąh íidoolííł .
3:14:018:0	Áko náá'iiłniihii bílák'eegi ak'ah yidziihígíí éí diné bi'didéhígíí bitsiit'áagi yąąh íidoolííł , áádóó Bóhólníihii binááł éí diné bá k'ééhozhdoołdǫǫł .
