3:3:001:1	Procedures for the Peace Offering
3:3:001:0	“ If you present an animal from the herd as a peace offering to the Lord , it may be a male or a female , but it must have no defects .
3:3:002:0	Lay your hand on the animal 's head , and slaughter it at the entrance of the Tabernacle . Then Aaron 's sons , the priests , will splatter its blood against all sides of the altar .
3:3:003:0	The priest must present part of this peace offering as a special gift to the Lord . This includes all the fat around the internal organs ,
3:3:004:0	the two kidneys and the fat around them near the loins , and the long lobe of the liver . These must be removed with the kidneys ,
3:3:005:0	and Aaron 's sons will burn them on top of the burnt offering on the wood burning on the altar . It is a special gift , a pleasing aroma to the Lord .
3:3:006:0	“ If you present an animal from the flock as a peace offering to the Lord , it may be a male or a female , but it must have no defects .
3:3:007:0	If you present a sheep as your offering , bring it to the Lord ,
3:3:008:0	lay your hand on its head , and slaughter it in front of the Tabernacle . Aaron 's sons will then splatter the sheep 's blood against all sides of the altar .
3:3:009:0	The priest must present the fat of this peace offering as a special gift to the Lord . This includes the fat of the broad tail cut off near the backbone , all the fat around the internal organs ,
3:3:010:0	the two kidneys and the fat around them near the loins , and the long lobe of the liver . These must be removed with the kidneys ,
3:3:011:0	and the priest will burn them on the altar . It is a special gift of food presented to the Lord .
3:3:012:0	“ If you present a goat as your offering , bring it to the Lord ,
3:3:013:0	lay your hand on its head , and slaughter it in front of the Tabernacle . Aaron 's sons will then splatter the goat 's blood against all sides of the altar .
3:3:014:0	The priest must present part of this offering as a special gift to the Lord . This includes all the fat around the internal organs ,
3:3:015:0	the two kidneys and the fat around them near the loins , and the long lobe of the liver . These must be removed with the kidneys ,
3:3:016:0	and the priest will burn them on the altar . It is a special gift of food , a pleasing aroma to the Lord . All the fat belongs to the Lord .
3:3:017:0	“ You must never eat any fat or blood . This is a permanent law for you , and it must be observed from generation to generation , wherever you live . ”
