54:3:001:1	Da'oodlání yá naazíinii
54:3:001:0	Kóhá'níinii éí t'áá aaníí : Diné ła' oodlání yá sizíinii deeshłeeł jinízingo , naanish t'áá íiyisí yá'át'éehii jinízingo át'é .
54:3:002:0	Áko da'oodlání bá dzizíinii ts'ídá t'áadoo bee hak'íhót'ahí da doo , asdzání t'ááłá'íígíí bahastiin jílį́į doo , ádaa áhojilyą́ągo jiináa doo , hojíyą́ą doo , bohónéedzą́ągo jiináa doo , ha'ałk'ee nídaakahígíí bich'į' hoł ílį́į doo , na'nitin jiichįįh doo ;
54:3:003:0	wáin doo bee tsi'nijigháa da doo , doo ats'ííd ádąąh jit'į́į doo , na'adlo'go bee béeso ál'íinii doo bíchą́yízhdéelni' da doo , nidi ha'jólníi doo , doo saad íjí'áah da doo , índa doo adáninilníi da doo .
54:3:004:0	Haghan haz'ą́ągi yá'át'éehgo dah ajoo'ish doo , ha'áłchíní hódahółníihgo t'áá ałtsojį' bił da'ílį́įgo ádzósin doo .
54:3:005:0	Háálá haghan haz'ą́ągi yá'át'éehgo dah ajoo'ish dooleełgi doo bééhodzísingóó , haa yit'éegoshą' Diyin God dayoodlání áłah nádleehii bá dzizį́į dooleeł ?
54:3:006:0	Ániid oosdląądii éí dooda , jó , éí t'áá áko ádaa hodzódlí bide át'įįhgo biniinaa níłch'i bida'iiníziinii binanit'a'í bá nihoot'ánígi át'éego há nihodoot'áałgo át'é .
54:3:002:1	Da'oodlání yaa ádahalyáanii
54:3:007:0	Nidi yá'át'éehgo jiináago , doo da'oodlání danilíinii ts'ídá yá'át'éehgo haa dahalne' doo , doodaii' ni'jiisíhígíí bee hak'íhát'áahgo éí níłch'i bida'iiníziinii binanit'a'í biloh biishdoogááł .
54:3:008:0	T'áá ákót'éego da'oodlání yaa ádahalyáanii ałdó' t'áadoo yíní ádahozhdildiní doo , doo naakidę́ę́' yádajiłti' da doo , wáin doo bee tsi'nijigháa da doo , na'adlo'go bee béeso ál'íinii doo bíchą́yízhdéelni' da doo ,
54:3:009:0	nidi t'áá ákogi ádajit'į́įgo bee ádaa ákodaznidzingo Diyin God bina'nitin woodláanii doo bééhózin da yę́ę dajótą' doo .
54:3:010:0	Átsé nidaho'diskáa' doo , áko t'áadoo bee hak'ídahót'ahígóó hwéédahoozingo índa da'oodlání baa ádahojilyáanii dazhdooleeł .
54:3:011:0	T'áá ákót'éego hwe'asdzą́ą́ t'áadoo yíní ádahodildiní doo , t'áadoo aseezį́ ádeił'íní doo , ádaa ádahalyą́ą doo , t'áá ałtsojį' bada'ahódlíi doo .
54:3:012:0	Da'oodlání baa ádahojilyáanii t'ááłá'í hwe'asdzą́ą doo , ha'áłchíní índa haghan haz'ą́ągi yá'át'éehgo dah da'jí'éesh doo .
54:3:003:1	Na'nitin doo bééhózin da yę́ę
54:3:013:0	Háálá yá'át'éehgo nidajishnishgo bee da'jílíinii ádá shódadzoost'e' doo , índa t'áadoo dadzisti'í Christ Jesus woodláanii bee nidazhnitingo hwéédaho'dílzin doo .
54:3:014:0	T'áá hahí naa deeshááł nisin , nidi díí bee nida'nitinígíí átsé bee nich'į' ak'e'ashchí .
54:3:015:0	Áko shidi'neestł'ah ládą́ą́' , Diyin God dayoodláanii áłah nádleehgi ádaa ádahalyą́ą dooleełgi t'áá nił bééhózin doo . Da'oodlání t'áá ła' bizhi'ee Diyin God hináanii bíhígíí éí t'áá aaníinii bá siláii índa bee niłdzilii át'é .
54:3:016:0	Deiniidláanii bína'niltin doo bééhózin da yę́ę éí ts'ídá doo naaki nilį́į́góó ayóó át'éii át'é : Diyin God éí ats'íís silį́į'go yit'íní ályaa , Níłch'i Diyinii bee ts'ídá t'áá ákogi ájít'é ho'doo'niid , áádóó diyingo nidaal'a'ii dahoołtsą́ , ał'ąą dine'é bitahgóó haa hóóne' , nihokáa'gi ho'doosdląądgo ha'oosdlíí' , yá'ąąshdi adinílííd biyi'jį' náho'diiltį́ .
