54:5:001:1	Diné náánáła' bich'į'go ájít'ée dooleełgi bee na'nitin
54:5:001:0	Hastóí nilíinii ła' dóóteeh lágo , nidi nizhé'é nilį́ nahalingo néiníkąąhgo bich'į' yáníłti' . Diné ániid nidaakaígíí t'áá ła' bił háíníjéé' nahalingo bich'į' ánít'é .
54:5:002:0	Asdzání náás daazlį́į'ii nimá danilį́ nahalingo , áádóó asdzání ániid nidaakaígíí nilah danilį́ nahalingo bich'į' ánít'é , ts'ídá yá'át'éehgo bich'į' ánít'é .
54:5:003:0	Sáanii bąąh ádahasdįįdii t'áadoo baa ádahóolyą́'ígíí nił danilį́ .
54:5:004:0	Sáanii bąąh ádahasdįįdii ła' ba'áłchínída , bitsóókéda , binálíkéda hólǫ́ǫgo , éí hooghan haz'ą́ą́dóó áłchíní átsé Diyin God k'ehgo dajiinánígíí nabídazhnitaahgo bídahwiizhdooł'ááł , áko dahashchíinii bik'i ninádadzildzil doo , háálá éí Diyin God bił yá'át'ééh , áádóó bił hóshóonii át'é .
54:5:005:0	Asdzání t'áá aaníí bąąh áhásdįįdii áádóó t'áadoo bik'i dóldzíłíii éí Diyin God bee bił chohoo'į́ , áko t'áá ákwíí tł'éé' áádóó t'áá ákwíí jį́ ná'ookąąhgo sodilzin .
54:5:006:0	Nidi honeeni t'éí yaa ádeet'áanii azhą́ hináa nidi daaztsą́ągo át'é .
54:5:007:0	Ts'ídá t'áadoo bee bik'ídahót'ahí da doo biniyé , díí bee bich'į' hahídziih .
54:5:008:0	Ła'da hak'éí doo baa áhojilyą́ą́góó , índa haghandóó danilíinii íiyisí doo baa áhojilyą́ą́góó , Diyin God bina'nitin yóó'azhdíí'ą́ągo át'é , áko diné doo oodlání nilíinii biláahgo doo yá'át'éehii dzizlį́į'go át'é .
54:5:009:0	Sáanii bąąh ádahasdįįdii hastą́diindóó nówehjį' binááhai t'éiyá da'oodlání baa ádahalyą́ą doo biniyé bízhi' ádoolnííł , índa bahastiin t'ááłá'í nít'ée'go t'éiyá .
54:5:010:0	Yá'át'éehgo ájoonííł ha'níigo haa hane'go , ha'áłchíní yá'át'éehgo hizniséego , ha'ałk'ee nídaakahígíí bich'į' hoł ílį́įgo , Diyin God bidiyį́į́' bikee' bá tánínádzígis áádóó bich'į' nidahwii'náanii bíká aníjílwo'go , índa naanish yá'ádaat'éehii t'áá ałtso baa nijigháago t'éiyá atah házhi' ádoolnííł .
54:5:011:0	Nidi asdzání ániid nidaakaii bąąh ádahasdįįdii doo atah bízhi' ádoolníił da , háálá adáhonooníinii bide ádaat'įįhgo Christ yits'ą́ąjį' tsídahidikeesgo shá'doogeh dahiniizįįh ,
54:5:012:0	áko ádee hadadeesdzí'ígíí t'óó dayiitíihgo , aa hwiinít'įįh ák'ijį' yídaalná .
54:5:013:0	Áádóó bił dahóyéé' nidahaleeh , áádóó doo t'áá éí t'éiyá da , nidi aseezį́ ádeił'į́įgo índa da'níłtł'ago hootaadaakaigo saad doo yee yádaałti' da doo nít'éé' yę́ę yee yádaałti' nidahaleeh .
54:5:014:0	Éí bąą asdzání ániid nidajikaigo hąąh ádahasdįįdii háni'dii há nááda'iigeh áádóó ha'áłchíní ninádahwiidleeh doo , índa haghan haz'ą́ągi baa ádahojilyą́ą doo , áko nihits'ą́ą́jí danilíinii nichǫ́'íii yee ak'i dahodii'aahii doo bá dahwiizhdooł'aał da nisin .
54:5:015:0	Háálá t'áá íídą́ą́' ła' ats'áhaaskaigo Séítan yikéé' aheeskai .
54:5:016:0	Oodlání jílį́įgo hak'éí ła' bąąh ádahasdįįdgo éí baa ádahojilyą́ą doo , áko da'oodlání áłah nádleehii t'ah yówehgo doo biyéél ánáhojidléeh da doo , nidi bąąh ádahasdįįdii ts'ídá t'áadoo baa ádahólyą́'í daígíí t'éiyá yaa ádahalyą́ą doo .
54:5:017:0	Hastóí da'oodlání yá aląąjį' naazíinii yá'át'éehgo bídahólníihii ahą́ą́h nániiláago hoł danilį́į dooígíí yą́ą́h danilį́į doo ; hane' yá'át'éehii yaa dahalne'go índa nida'nitingo yindaalnishígíí íiyisí ákódajił'į́į doo .
54:5:018:0	Háálá Diyin God bizaad bee ak'e'ashchíinii ání , Béégashii éí tł'oh naadą́ą́' haił'éesgot'áadoo bíchį́į́h bąąh nida'sooł'ání . Áádóó , łahgo ánáádí'ní , Naalnishí bich'į' nahalyéii yą́ą́h nilį́ .
54:5:019:0	Hastóí da'oodlání aląąjį' naazíinii ła' bee bik'ihodiit'áanii t'áadoo yíníłts'ą́'í , t'áá hazhó'ó oo'íinii naakida , táa'da dahalne'go t'éiyá baa nídíít'įįł .
54:5:020:0	Doo da'diits'a'góó bąąhági ádaaníiłii éí da'oodlání t'áá ałtso binááł dadidííteh , áko da'oodlání bąąhági ádadooníiłgi bik'ee bił daayée' doo .
54:5:021:0	Diyin God índa [ Bóhólníihii] Jesus Christ áádóó diyingo nidaal'a'í bitah dahaasdlá'ígíí binááł ánidishní , T'áadoo diné ał'ohgo baa nitsíníkeesígo , índa t'áadoo ła' bich'ijí nílínígo bee hahásdzí'ígíí baa naniná .
54:5:022:0	Diné ła' Bóhólníihii yá naal'a' doo biniyé bits'áltį́įgo bik'i dah didíílnihgi t'áadoo bich'į' tsį́į́ł nílíní áádóó diné bibąąhági ádaat'éii t'áadoo bił ałts'ą́ą́' da'nółk'iizí ; t'áadoo bee nik'íhót'ahígóó í'díínílzin .
54:5:023:0	Kodóó t'áadoo tó t'éiyá nidlání , nidi nitsą́ądi áhoot'éhígíí biniyé , índa t'áá ahą́ą́h nitah doo hats'íid daígíí bąą wáin áłch'į́į́dígo choiníł'į́ .
54:5:024:0	Ła' diné bibąąhági ádaat'éii t'áadoo bahat'aadí daat'į́ , áko éí ánihwiit'aahjį' dabí'éésh , nidi ła' bibąąhági ádaat'éii doo hah deiltséeh da .
54:5:025:0	T'áá ákót'éego ałdó' yá'át'éehgo ó'oo'níiłii t'áadoo bahat'aadí daat'į́ , azhą́ doo t'áadoo bahat'aadí ákódaat'į́į da nidi , doo nazhnił'in le' át'ée da .
