45:4:001:1	Éíbraham áát'įįdii bee na'nitin
45:4:001:0	Éíbraham ats'íís k'ehgo nihizhé'é jílíinii yę́ę hoł bééhoozinígíí ha'át'íishą' dahodidii'niił ?
45:4:002:0	Éíbraham t'áá hó ájooníiłii bee t'áá ákogi ájít'éego Diyin God há haadzíi'go éí bee ádaa hoji'niih doo nít'éé' , nidi Diyin God binááł éí doo ádaa hojó'niih át'ée da .
45:4:003:0	Diyin God bizaad bee ak'e'ashchíinii ha'át'íí ní ? Jó kóní , Éíbraham éí Diyin God joosdląąd , áko t'áá ákogi át'éii jílį́įgo há haadzíí' .
45:4:004:0	Diné naalnishii bich'į' nahalyéii doo t'óó bee baa hojoosba'ii át'éego yaa nitsíkees da , nidi yik'é naalnishii át'é .
45:4:005:0	Jó , doo Diyin God k'ehgo nijildeehii da'iizhdoodląąłgo t'áá ákogi ádajít'é Diyin God hodidooniił . Áko ájooníłígíí doo beijólíii éí hwe'oodlą' bee aijólíhígíí t'éí bee t'áá ákogi ájít'éego Diyin God há hadoodzih .
45:4:006:0	Ájooníłígíí doo beijólíi da nidi Diyin God t'áá ákogi ánít'é hałnínígíí éí bąą hoł hózhǫ́ . Éí David haa yáłti'go kóní ,
45:4:007:0	Diné doo ákǫ́ǫ́ ádajíít'įįdii há yóó'adoot'ą́ągo , ádił nida'dziisíi'ii ałtso há bik'éédahoodziidii éí hoł dahózhǫ́ !
45:4:008:0	Diné ádił ni'dziisíi'ii Bóhólníihii doo hach'į' nayółta'ii éí hoł hózhǫ́ .
45:4:009:0	Da' díí hózhǫ́ǫ́jí bee ha'oodzí'ígíísh bąąh nídahineeshgizhii t'éiyá daats'í bá bee ha'oodzíí' , doodaii' doo bąąh nídahineeshgizhii daats'í ałdó' bá bee ha'oodzíí' ? Jó ádadii'ní , Éíbraham ajoosdląądgo t'áá ákogi át'éii jílį́įgo há ha'oodzíí' .
45:4:010:0	Hádą́ą'shą' ákójít'éego hwééhoozin ? Hąąh náhineeshgizh yę́ędą́ą́' daats'í , doodaii' t'ah doo hąąh náhinilgish yę́ędą́ą́' daats'í ? T'ah doo hąąh náhinilgish yę́ędą́ą́' há bééhoozin , áko hąąh náhineeshgizhgo éí dooda .
45:4:011:0	Éíbraham t'ah doo hąąh náhinilgish yę́ędą́ą́' ajoosdląądgo aijólíhígíí binahjį' t'áá ákogi ájít'éego Diyin God hwééhósin , áádóó índa ajoosdląądgo aijólíhígíí binahjį' t'áá ákogi ájít'éego Diyin God há haadzí'ígíí bee hwééhózin dooleeł biniyé hąąh náhineeshgizh . Áko doo bąąh nídahineeshgizhii nidi , da'oosdląądgo ada'ólíigo t'áá Éíbraham át'éhę́ęgi át'éego t'áá ákogi ádajít'éego hwéédahózinii t'áá ádzíłtso Éíbraham hazhé'é nilį́ .
45:4:002:1	Aa deet'áanii éí oodlą́ bee a'ódlí bee t'áá aaníigo bééhoozin
45:4:012:0	Áko bąąh nídahineeshgizhii éí doo t'óó bąąh nídahineeshgizhígíí t'éí bee bizhé'é jílį́į da , nidi nihitaa' Éíbraham t'ah doo bąąh náhinilgish yę́ędą́ą́' bi'oodlą' yee aa dzólíii yik'ehgo yigááł yę́ęgi át'éego hwe'oodlą' bik'ehgo dajíkáahii ałdó' yee hazhé'é nilį́ .
45:4:013:0	Háálá Éíbraham áádóó ha'áłchíní ahoolchíiłii nahasdzáán daahóó' dooleełgo haa deet'ánígíí éí doo bee haz'áanii bídéét'i' da , nidi hwe'oodlą' bee aijólíhígíí bee t'áá ákogi ájít'éii bídéét'i'go haa deet'ą́ .
45:4:014:0	Jó , bee haz'áanii bik'eh dahojíł'ínígíí t'éiyá há bee haz'ą́ ha'níigo oodlą' t'áadoo nilíní da doo nít'éé' , índa Diyin God yee nihoní'áanii doo ílį́į da doo nít'éé' .
