45:9:001:1	Diyin God éí Ízrel dine'é néidiinil
45:9:001:0	T'áá aaníígóó ádíshní , Christ bíí' nishłį́įgo doo shiyooch'íidgo yáshti' da . Jó , Níłch'i Diyinii shił ééhósingo t'áá aaníígóó ádíshní .
45:9:002:0	Shidine'é danilíinii t'áá íiyisí bąąh shíni'go shijéí yineesgai .
45:9:003:0	Shik'isóó , shidine'é danilíinii yisdáhidookah biniyé bitsásk'ehgi Christ bits'áshidi'doolt'eełgo shá ha'doodzih nidi , shił t'áá áko doo nít'éé' .
45:9:004:0	Éí shidine'é bidishnínígíí Ízrel dine'é danilį́ . Éí Diyin God t'áá bí ádzaago ba'áłchíní danilį́įgo néidiinil . T'áá bí bee bi'oh hodidilyéehii yee yił hólǫ́ǫ́ nít'éé' . Diyin God bibee aha'deet'áanii nídeidiilá , bibee haz'áanii ałdó' . Haash yit'éego Diyin God yich'į' nidahałáa dooígíí bił béédahózin . Diyin God yee nihoní'áanii baa dadeest'ą́ .
45:9:005:0	Ałk'idą́ą́' Ízrel dine'é danilíinii dabizhé'é yę́ę éí bits'ą́ą́dóó Christ diné dzizlį́į́' . Éí Diyin God jílíinii t'áá ałtsoní bee hóhólníhígíí hool'áágóó haa ha'niih le' ! T'áá ákót'ée doo .
45:9:006:0	Diyin God bizaad t'áadoo biniyéhí da silį́į́' , doo dishníigo ádíshníi da . Jó , Ízrel dine'é doo t'áá ádzíłtso Diyin God néidiinilii dajílį́į da .
45:9:007:0	Áádóó t'áá ádzíłtso doo Éíbraham ba'áłchíní dajílį́į da , azhą́ t'áá éí bits'ą́ą́dę́ę́' daho'déechíihii dajílį́į nidi , háálá Diyin God ábidííniid , Áízak bits'ą́ą́dóó na'áłchíní náás ahoolchíiłii bíká ádahodoo'niid .
45:9:008:0	Jó , éí ts'ísee k'ehgo ahijoolchíłígíí doo Diyin God ba'áłchíní dajílį́į da níigo ání , nidi Diyin God t'áá bí yee nihoní'áanii bik'ehgo yichíiłii t'éiyá Éíbraham ba'áłchíní danilį́įgo yaa nitsíkees .
45:9:009:0	Háálá díí saad yee nihoní'ą́ągo Éíbraham ííłní , Baa hoolzhiizhgo náádeeshdááł , áko Sarah biyáázh hodooleeł .
45:9:010:0	Áádóó doo t'áá éí t'éiyá ákódzaa da , nidi diné t'ááłá'í , nihizhé'é yę́ę Áízak joolyéii há Rebékah i'niiltsąądgo
45:9:011:0	áłchíní t'ah doo yichį́į́góó índa yá'át'éehii , doodaii' doo yá'át'éehii t'ah doo yaa naa'aashdą́ą́' Diyin God yitah yiyiizláa'ii bik'ehgo yá'át'ééh ájooníił dooleełígíí éí dooda , nidi Diyin God t'áá bí yíká ádííniidígíí bik'ehgo Diyin God yinahaz'áanii náás yit'ih doo biniyé
