45:14:001:1	Nik'isóó t'áadoo baa nánít'íní
45:14:001:0	Diné bi'oodlą' doo bidziilígíí éí k'é dabidohní , nidi bintsékees t'áá sahdii át'éhígíí biniinaa t'áadoo bił ałghada'doht'áhí .
45:14:002:0	Diné ła'da bi'oodlą' binahjį' ch'iyáán t'áá silį́'ígíí yiyą́ą dooleełgo éí yidooyį́į́ł , nidi diné bi'oodlą' doo bidziilígíí éí nanise' bił da'adáanii t'éiyá yiyą́ .
45:14:003:0	Diné t'áá azlį́'ígíí jiyáanii éí náánáła' diné doo yiyáanii t'áadoo bilááh ánísht'é jiníziní doo , áádóó nanise' t'éiyá jiyáanii éí t'áá azlį́'ígíí yiyáanii t'áadoo baa níjít'íní doo , háálá Diyin God bił nilį́įgo nábidiiłtį́ .
45:14:004:0	Náánáła' naat'áanii yá naal'a'í baa nánít'į́įgo ha'át'íísh biniyé baa nánít'į́ ? Jó , yá'át'éehgo nijilnishgo , doodaii' doo yá'át'ééhgóó nijilnishgo , éí hananit'a'í t'éiyá bee bóhólníihgo haa nídóot'įįł . Hanaanish yá'át'éehgo ájoolíił doo , háálá hó Diyin God hadziil áhósingo yíneel'ą́ .
45:14:005:0	Diné ła'da yoołkáałii ła' t'ah atisígo át'éego yidísin łeh , nidi diné ła' náánásdzį́ , éí yoołkáałii t'áá ałtso aheełt'éego yidísin łeh . Bíni'dii diné t'ááłá'í nítínígo t'áá bí doo bił naaki danilį́į́ góne' yaa nitsídaakees .
45:14:006:0	T'áá háiida ła'a jį́ hodílzinígíí jidísinii éí Bóhólníihii hoł nilį́įgo jidísingo ájít'į́ . Áádóó t'áá háiida ła'a jį́ hodílzinígíí doo jidísin da nidi Bóhólníihii hoł nilį́ . Diné ła'da t'áá azlį́'ígíí jiyáanii éí ałdó' Bóhólníihii hoł nilį́įgo t'áá azlį́'ígíí jiyą́ , háálá Diyin God bich'į' ahééh jinízingo ájít'į́ . T'áá azlį́'ígíí doo yiyáanii éí ałdó' Bóhólníihii bił nilį́įgo doo t'áá azlį́'ígíí yiyą́ą da , áádóó Diyin God yich'į' ahééh nízingo át'į́ .
45:14:007:0	Diné doo ła' t'áá ádííghahígo hináa da , índa diné doo ła' t'áá ádííghahígo daatsaah da .
45:14:008:0	Dahinii'náago Bóhólníihii bá dahinii'ná , índa danii'néego Bóhólníihii bá danii'né . Éí bąą dahinii'náago , éí doodaléi' danii'néego Bóhólníihii bíí' daniidlį́ .
45:14:009:0	Háálá daneeznánígíí índa dahinánígíí éí Bóhólníihii hwee bóhólníih dooleeł biniyé Christ daaztsą́ áádóó hinááh násdlį́į́' .
45:14:010:0	Ha'át'íishą' biniyé nik'is baa nánít'į́ ? Éí doodaléi' nishą' ha'át'íí biniyé nik'is jiiníłá ? Háálá t'áá áníiltso Christ bibikáá'dóó ánihwiit'aah bidááhdóó deidiidzįįłgo nihaa nídahódóot'įįł .
45:14:011:0	Jó , Diyin God bizaad bee ak'e'ashchíinii ání : Ts'ídá t'áá aaníí hinishná , ní Bóhólníihii , t'áádóo nídí ałdó' diné t'áá ałtso shich'į' nitsidazhdidoogoh . T'áá ádzíłtso Diyin God jílį́ , dashijiníi doo .
45:14:002:1	Nik'is t'áadoo naníłtł'aí
45:14:012:0	Ákohgo t'ááłá'í niitínígo Diyin God bich'į' ádaa nidahodiilnih .
45:14:013:0	Éí bąą haa'íshą' doo ahaa nínáádeiit'į́į da doo , nidi nihik'isóó ła' yik'ee bąąhági ádooníiłii , doodaii' bidínóołtł'ahii t'áadoo bidáahjį' adahoh'níłí dooleełjí bee hasht'e'nitsídadoohkos .
45:14:014:0	Bóhólníihii Jesus binahjį' doo shił naaki nilį́į́góó díí shił bééhoozin , t'áá ałtso yá'ádaat'éeh nidi doo yá'ádaat'éeh da jinízinígíí éí t'áá ádííghahígo doo hoł yá'át'éeh da .
45:14:015:0	Yíníyą́'ígíí nik'isóó ła' bee bąąh nahwííníłkaadgo t'áadoo bahat'aadí doo ayóó'ííní'níi da sínílį́į́' . Yíníyą́'ígíí bee Christ bá daaztsáanii ła' bee wóółchǫǫh lágo .
45:14:016:0	Ha'át'íida nihił yá'át'éehgo t'áadoo nihits'ą́ą́' nichǫ́'ógo ádaahłíiłii baa yáti'í .
45:14:017:0	T'áá ha'át'íhígíida yidáanii , doodaii' t'áá ha'át'íhígíida yidláanii éí Diyin God bee bóhólníihgo bił haz'áanii doo bídéét'i' da , nidi ts'ídá t'áá ákogi é'ét'é áádóó k'é hwiindzin índa ił hózhǫ́ Níłch'i Diyinii eidii'aahii bídéét'i' .
45:14:018:0	Háálá ákót'éego Christ bá nijil'a'ii Diyin God bił yá'ájít'ééh , áádóó diné ałdó' bił t'áá ákǫ́ǫ́ ájít'é .
45:14:019:0	Éí bąą haa'íshą' bee k'é náhoodleełii áádóó t'áá áníiltso ahidiníłnáago danihidziil ánihidoolíiłii hádeiit'į́į doo .
45:14:020:0	Daahsánígíí biniinaa Diyin God yinaalnishii t'áadoo danółtł'aí . Daadáanii t'áá ałtso yá'ádaat'ééh , nidi t'áá háiida ha'át'íhída jiyánígíí biniinaa ła' bąąhági át'į́ ádajile'go t'áá éí bee doo ákǫ́ǫ́ ájít'į́į da .
45:14:021:0	Atsį' jiyą́ągoda áádóó wáin jidlą́ągoda , doodaii' ha'át'íhída bee hak'is bąąhági át'į́įgo áníjiil'įįhii , doodaii' bidínóołtł'ahii , doodaii' bi'oodlą' doo bidziilgóó ábidoolíiłii doo baa nijigháájí yá'át'ééh .
45:14:022:0	Kódaat'éhígíí baa nitsíníkeesgo yisínídląądígíí éí Diyin God t'éiyá bił bééhózingo íínísin . Jó , t'áadoo át'éhé da jinízingo ájooníłígíí doo bee ák'íhojit'ááhgóó bąą hoł hózhǫ́ǫ doo .
45:14:023:0	Nidi t'áá háiida hoł naaki nilį́įgo ajiyánígíí éí há nihoot'ą́ , háálá doo hwe'oodlą' bik'ehgo ajiyą́ą da . Jó , doo hwe'oodlą' binahjį' ájooníiłii éí ádił ni'iidzííh át'é .
