45:15:001:1	T'áadoo t'áá ádííghahígo ádił dahonohshóní
45:15:001:0	Nihe'oodlą' bee danihidziilii éí doo dabidziilii bá náás deíníikáah dooleeł . T'áadoo t'áá ádííghahígo ádił dahoniilzhóní .
45:15:002:0	Nidi haa'íshą' t'ááłá'í niitínígo bił kéédahwiit'íinii bá yá'át'éeh dooleełii índa bi'oodlą' dabidziil dooleeł biniyé bił dahoniilzhǫ́ǫ doo .
45:15:003:0	Háálá Christ doo t'áá bí ádił hóshǫ́ǫ da nít'éé' ; jó , Diyin God bizaad bee ak'e'ashchíinii ání , Danéédzíi'ii yee danéédzíí' yę́ę shik'ijį' silį́į́' .
45:15:004:0	Háálá t'áá shiidą́ą'di Diyin God bizaad bee ak'eda'ashchíinii nanihinitin biniyé bee ak'eda'ashchį́ , áko éí binahjį' chánah daniidlį́įgo hada'ííníilní , áko nihił chodahoo'į́į doo .
45:15:005:0	Diyin God binahjį' hada'ííníilníinii índa bee chánah daniidlíinii éí Christ Jesus bik'ehgo aheełt'éego nitsídaahkeesgo hazhó'ó kéédahoht'į́įgo ánihósin le' ,
45:15:002:1	Hane' yá'át'éehii éí doo Jew dine'é danilíinii ałdó' bá át'é
45:15:006:0	áko t'áá ánółtso t'áá ła' bizhi'ee danohłį́įgo nihiBóhólníihii Jesus Christ biDiyin God , t'áá éí aTaa' nilíinii , baa dahohniih doo .
45:15:007:0	Ákót'é bąą Diyin God baa ha'niih doo biniyé t'áá Christ k'é nihidííniidígi át'éego ałch'į' k'é danohdzin .
45:15:008:0	Háálá shí ánihidishní , Diyin God bits'ą́ą́dóó t'áá aaníinii ííshjání íidoolííł biniyé Christ éí Jew dine'é yá naal'a'í silį́į́' , ałk'idą́ą́' dabizhé'é yę́ę baa dadeest'áanii yi'doolííł biniyé ,
45:15:009:0	áádóó doo Jew dine'é danilíinii Diyin God baa a'ááh nízinígíí bąą yaa dahaniih doo ałdó' biniyé . T'áá Diyin God bizaad bee ak'e'ashchíinii ánínígi át'éego : Éí bąą doo Jew dine'é danilíinii bitahgóó nich'į' ahééh nisin doo , nízhi' bee naa hashniihgo hashtaał doo .
