23:25:001:1	Bóhólníihii nihik'ijidlíhígíí bee sin baa ha'niihii
23:25:001:0	Bóhólníihii nílíinii , ni lá shiDiyin God nílį́ ni ; ayóó ánít'éego ándeeshłíiłgo nííníshíigo naa hashniih doo , háálá ayóó ádaat'éii baa nisíníyáhígíí éí ałk'idą́ą́' ninahat'a' éí ba'ahódlíii índa t'áá aaníinii ádaat'é .
23:25:002:0	Jó , kin haal'áá nít'éé' yę́ę éí t'óó dah yisk'idgo íinilaa , áádóó éí biná'ástł'in yę́ę t'áá bił yíchǫ' , áko dé'éyóní naat'áanii danilį́įgo dabighan yę́ę doo kin haal'áa da silį́į́' ; ts'ídá doo ninádadoo'nił da .
23:25:003:0	Éí bąą dine'é dabiziilii naa dahaniih doo ; kin haal'áádóó éí ał'ąą dine'é t'óó báádahadzidii bikin hadaas'áii dandósin doo .
23:25:004:0	Doo bíká ada'alyeedígíí ni nine' nidaadzi' , bahojoobá'ígíí bich'į' nahwii'nánígíí biyi' ni nine' naadzi' , áádóó t'óó báhádzidgo diyołgo bá bine' a'niichéehii nílį́į́ nít'éé' índa t'áá íiyisí honiigahgo bá chaha'oh nílį́į́ nít'éé' , háálá kin bá ahénátł'inii bich'į' deeyol nahalingo diné báádahadzidii éí yaatįįh yijah .
23:25:005:0	Hóółtseiigi honeezgaigo , t'áá éí k'os bee chaha'ohgo doo deesdoi da hazlį́'ígi át'éego dé'éyóní hahóół'áhígíí ni' ádíílííł ; diné t'óó báádahadzidii biyiin a'ohgo ádoolnííł .
23:25:006:0	Áádóó ch'iyáán daalkanii , wáin t'ah doo bąąh yaadzíidii índa neesk'ahii biwol dahólóonii , wáin bąąh yaadziidii díí dziłgi bee áda'azįįdgo t'áá ałtsoní bee Bóhólníihii éí dadine'é t'áá ałtso yá áda'doosįįł .
23:25:007:0	Áádóó ał'ąą dine'é t'áá ałtso bik'ésti'ii , dadine'é t'áá ałtso dabinii' bik'ésti'ii éí díí dził si'ą́ągi nahjį' kwíidoolííł .
23:25:008:0	Hool'áágóó anoonééł iidoołnah , áádóó Bóhólníihii Diyin God éí da'anii' t'áá ałtso nák'eeto' yąąh yidoołdah , índa bidine'é bee bá nahat'i'ígíí ałtso nahasdzáán bikáá'dóó nahjį' kwíidoolííł , háálá díí Bóhólníihii yee haadzíí' .
23:25:009:0	Áko éí yoołkáałdi áhá'níi doo , Shoo , díí nihiDiyin God nilį́ ; yisdánihidoonił biniyé biba' kééhwiit'į́į́ nít'éé' ; díí Bóhólníihii nilį́ ; biba' ádaniit'éé nít'éé' ; háni'dii bibee yisdá'iildéehii baa nihił dahózhǫ́ áádóó baa nihił nidahoozhǫǫh .
23:25:010:0	Háálá díí dził si'ą́ągi Bóhólníihii déesnii' doo ; naaldlooshii bichaan nideeztąądgi tł'oh naadą́ą́' bitsǫz yik'i naaskaígi át'éego Mó'ab dine'é yik'i nidoogaał .
23:25:011:0	Áádóó na'ałkǫ'ii dah adidoołkǫ́ǫ́ł biniyé t'áá ałch'ijí yee k'ídílchi'ígi át'éego bitahjį' t'áá ałch'ijí yee k'ídidoolchił , áádóó bee ádaa dahoji'niihii índa bee injilo'go ájoolíłígíí éí t'áá áłah Bóhólníihii hats'ą́ą́' naa'iidoołkał .
23:25:012:0	Áko nikin haal'á binaa wódahgo ahééda'astł'inii éí bighą́ą'di bine' nanidzi'ígíí ni'góó łeeshtahjį' hadeidoołkałgo wóyahdi nidadeeztąąd doo .
