23:41:001:1	Bóhólníihii éí Ízrel dine'é yił chohóół'įįd
23:41:001:0	Tónteel bibąąhgóó kéyah danohłíinii , shidááhdóó dadínółhéelgo bíni'dii diné yee dabidziilii ániidí nídaadleeh ; bíni'dii áháníjį' nihekáahgo bíni'dii yádaałti' ; aa hwiinít'įįhjį' áháníjį' ahididiikah .
23:41:002:0	Háísh ha'a'aahdę́ę́' diné yiyiisį'go t'áá ákogi át'éii yee , Shidááhdóó yiizįįh , yidííniid áádóó ał'ąą dine'é yinanit'a'í ábiilaa índa aláahgo naat'áanii danilíinii yinant'áago áyiilaa ? Łeezh adiijoołígi át'éego áádóó ehégod bił deeyolígi át'éego bidiltłish índa bi'ałtį́į́' yaa hodiní'ą́ .
23:41:003:0	Azhą́ t'ah doo digháhígóó nidi , nahgóó ahoniiłkaadgo doo bá nantł'agóó ch'éhéghááh .
23:41:004:0	Hodeeshzhiizhdę́ę́' aníchínígíí háísh yich'į' áníigo yinaashnishgo ákódzaa ? Shí Bóhólníihii nishłíinii átséhígíí áádóó akéédę́'ígíí lą́ą éí ásht'į́ .
23:41:005:0	Tónteel bibąąhgóó kéyahgi kéédahat'ínígíí da'iiłtsą́ , áádóó bił yéé' dahazlį́į́' ; nahasdzáán nidahonees'ą́ą́dę́ę́' nídaasdzíidgo áháníjį' niikai .
23:41:006:0	T'ááłá'í jinítínígo bił kéédahojit'ínígíí bíká ajííjéé' áádóó t'ááłá'í jinítínígo hak'isóó danilíinii ádabizhdííniid , Chánah danohłį́ .
23:41:007:0	Áko kin ííł'íní éí óola yitsidii chánah áyiilaa , áádóó bee atsidí yee adiiłkǫǫhii béésh nitł'izii yitsidii ííłní , Ahididoolyįh biniyé hasht'eelyaa , áádóó ił adaalkaałí bee niłdzil doo biniyé yił adeiskaal .
23:41:008:0	Nidi Ízrel nílíinii , Jéíkab nándiiltínígíí , Éíbraham shik'is nilíinii bits'ą́ą́dóó ni'dizhchíinii shinaal'a'í nílį́ .
23:41:009:0	T'áá nahasdzáán nidanees'ą́ą́dę́ę́' aláahgo nahaz'ą́ą́dóó níká ádííniidgo nándiiłtíinii nílíinii ándííniid , Shinaal'a'í nílį́ ; nándiiłtį́ áádóó ts'ídá doo nahjį' kóndeeshłíił da .
23:41:010:0	T'áadoo nił yé'í , háálá nił honishłǫ́ ; t'áadoo yéego nąąh nááháka'í , háálá niDiyin God nishłį́ ; nidziilgo ándeeshłííł ; t'áá aaníí , níká adeeshwoł ; t'áá aaníí , shíla' nish'náájí t'áá ákogi ánísht'éii bee de áníínísin doo .
