23:61:001:1	Záíyan bich'į' yisdá'iildééh baa hane' yá'át'éehii
23:61:001:0	Diyin God biNíłch'i Diyinii shił hólǫ́ , háálá badahojoobá'íii éí hane' yá'át'éehii bee bił dahashne' doogo biniyé ak'ah shik'i yaadziidgo shíísį́į́' ; bijéí daneezgaígíí hasht'éédadeeshdlííł , índa daasnáanii éí béédahididoochiłígíí bee bił dahashne' doo biniyé áádóó bida'astł'óonii awáalyaadóó bá ąą dadidootį́įłgo baa hashne' doo biniyé shiníł'a' ,
23:61:002:0	áádóó k'ad yihahígíí Bóhólníihii doogáałgo bá ashja'ósin índa nihiDiyin God k'éédidoo'nííł baa hodoolzhishígíí dishníigo baa hashne' doo biniyé shiníł'a' , áádóó daachaii t'áá ałtso bił nídahodoojǫǫł .
23:61:003:0	Dził Záíyangi yínííł danilíinii łeeshch'iih bitsásk'ehgi nizhóníii áádóó yínííł bitsásk'ehgi ak'ah bee ił hózhóonii índa ąąh nahóókaadii bitsásk'ehgi aa ha'niih yee hadadít'éego baa dideesh'ááł , áko tsin naazkaadii t'áá ákogi át'éii Bóhólníihii k'iidííláhígíí dabidi'níi doo ; éí baa dahojiniih doo biniyé ádeeshłííł .
23:61:004:0	Áádóó ałk'idą́ą́' dahóóchǫ' yę́ę áńdeidoodlííł ; doo siláhígóó haz'ánígóó nídahodiyoołnaał índa kin hadaas'áii nidahaazhchxǫ'ii , t'áá éí lą'í da'níchį́į́dę́ę́' t'áá ádzaii daazlį́į'ii áńdeidoodlííł .
23:61:005:0	Áádóó dé'éyóní éí nidibé yaa ádahalyą́ą doo índa biye'ké ná nidahwiiłdlaad doo áádóó ch'il na'atł'o'ii ná yaa ádahalyą́ą doo .
23:61:006:0	Nidi nihí Bóhólníihii yá náá'iiłniihii nihidi'níi doo ; diné éí nihiDiyin God nabił'a'ii danihiłníi doo ; ał'ąą dine'é deit'íinii bik'é da'ohsą́ą doo índa yee ayóó ánóolningo níl'íinii bee ádaa dahoh'niih doo .
23:61:007:0	Naa yáhósįįdii bideená ahą́ą́h nániiláago níí' dooleeł índa bił dahóóląądígíí bideená bíí' dadooleełii yaa bił nidahoozhǫǫh doo ; éí bąą bikéyahgi ahą́ą́h nániiláago bíí' dadooleeł ; hool'áágóó ił hózhǫ́ bíí' dadooleeł .
23:61:008:0	Háálá shí Bóhólníihii doo haada yit'éii ayóó'óósh'ní ; ani'į́į́' doo yá'áshóonii bił jooshłxá ; t'áá aaníí , bich'į' nida'diyeeshłeeł índa hool'áágóó bił ahada'dideesht'ááł .
23:61:009:0	Áádóó ał'ąą dine'é bitahgi ha'áłchíní náás da'ahílchíihii béédaho'dílzin doo ; hats'ą́ą́dóó deíchíhígíí daboo'íinii t'áá ałtso Bóhólníihii hak'ijisdli'ii dajílį́įgo haa ákodanízin doo .
23:61:010:0	Bóhólníihii t'áá íiyisí baa shił nihoozhǫǫh doo ; shii' sizíinii éí shiDiyin God bił hóshǫ́ǫ doo , háálá iiyehii éí nizhóníii ádéíyíístł'inígi át'éego áádóó bá'iigehii nitł'iz yee hadiidzaa nahalingo yisdá'iildééh éé' yee hashidiilaa índa t'áá ákogi át'éii éé' shik'íísti' .
23:61:011:0	Áko ni' bits'ą́ą́dóó ch'il bílátah nída'iigah áádóó dá'ák'eh bits'ą́ą́dóó bikáá' k'éédadilyéehii hadahiniséego áyósinígi át'éego Bóhólníihii Diyin God éí ał'ąą dine'é t'áá ałtso binááł t'áá ákogi át'éii índa aa ha'niihii hadínóoséełgo íidoolííł .
