23:23:001:1	Táir áádóó Sáídan át'ée dooleełii
23:23:001:0	Táir kin haal'áádóó dine'é át'ée dooleełii ch'ét'ą́ . Társhish haz'ánídóó nida'oł'eełígíí hahooł'á , háálá t'áá ałtsoní ádaasdįįdgo t'áadoo biniyéhígóó haz'ą́ hazlį́į́' , áko dahooghan éí ádaadin , t'áadoo yah o'ól'eełídę́ę' da . Sáípras kéyahdę́ę́' bich'į' baa hóóne' .
23:23:002:0	Tábąąhgóó kéyah haz'ánígi kéédahoht'ínígíí , Sáídan kin haal'áádóó nida'iiłniihí nihaa nída'ał'ołgo t'áadoo le'é baa nidahołniih yę́ę , dadínółhéél .
23:23:003:0	Tónteel bibąąhjį' Sáíhar tó nílínígi tooh bee nanise' nídaneest'ánígíí bits'ą́ą́dóó a'iideeł , áádóó ákwe'é ał'ąą dine'é bá na'iini' bił haz'ą́ .
23:23:004:0	Sáídan nílíinii , yánínízin le' , háálá tónteel yee bidziilígíí yáłti'go ání , Doo awéé' hwé'nahígi át'éego shił hodiniih da , doo nidi sha'áłchíní haleeh da índa tsíłkéí áádóó ch'ikéí doo dah hinisée da .
23:23:005:0	Táir kin haal'á atílyaago éí Ííjip kéyahdi nídayoo'nii'go yéego yínííł yiih dínóodah .
23:23:006:0	Társhish haz'ánígóó tó ha'naa ninohnééh ; tábąąhgóó kéédahoht'ínígíí hahooł'á .
23:23:007:0	T'áá náshiinídą́ą'di bił hoolzhishígíí bee baa hane' dahólónígíí , da' díísh baa hózhǫ́ǫgo kin haal'áhígíí át'é ? Nízaadi kééhojit'į́į dooleełgóó t'áá ni' tázhdííyá .
23:23:008:0	Táir kin haal'áagi háísh yik'ijį' nahaz'ą́ ? Éíyee' náádaałahgóó naat'áanii ninádayii'nííł ; éíyee' baa nida'iiniihí naat'áanii danilį́ ; éíyee' baa nida'iiniihí nihokáá'góó diné baa yáhásinii danilį́ .
23:23:009:0	T'áá ałtso bee ádaa dahoji'niihígíí doolchǫǫł biniyé áádóó bee ił dajílíinii nihokáá' dine'é dei'į́į dooleeł biniyé t'áá ałtsoní bee Bóhólníihii yinahaz'ą́ .
23:23:010:0	Társhish bitsi' nílíinii , nikéyah biyi'góó tooh nílínígi át' éego wó'ąninééh , háálá t'áadoo t'ą́ą́' kónánódle'í da .
23:23:011:0	Tónteel bikáá'góó dah didiilnii'go ídahólníihgo nahaz'ánígóó nayiisnáá' ; Bóhólníihii éí Kéínan kéyahgi kin haal'áhígíí bee dahółdzilii íidoołdįįłgo yik'ijį' haadzíí' .
23:23:012:0	Áádóó ádííniid , Ch'ikę́ę́h bich' į' nahwiisnáa'ii , Sáídan bitsi' nílíinii , doo nił ninááhoojǫǫh da doo ; nídiidáahgo Sáíprasgóó dínááh ; áadi ałdó' doo háánílyį́įh da doo .
23:23:013:0	Shoo , Kaldííya dine'é bikéyah ; Asíriya dine'é éí díí dine'é doo béédaho'dílzin da nít'éé' yę́ę bikin haal'áii naaldlooshii da'ałchinii bá haz'ą́ągo ádayiilaa ; kin yadaa'áago ádayiilaa áádóó naat'áanii dabighan yąąh da'ííbį́į'go ałtso dayííłchǫ' .
23:23:014:0	Társhishdóó nida'oł'eełígíí hahooł'á , háálá nihibine' na'adzi' yę́ę t'áadoo biniyéhí da silį́į́' .
23:23:015:0	Áádóó éí beiníłką́ądi t'ááłá'í aláahgo naat'áanii hinánígíí bik'ehgo tsosts'idiin nááhaijį' Táir baa hoyoosnah doo ; tsosts'idiin nááhai bíighah azlį́į'jį' ałjiłnii bí'díl'a'ígi át'éego Táir hó'díl'a' doo .
23:23:016:0	Ałjiłnii nílíinii , naa hoyoosnahii tsin tł'óół bąąh daneelzhee'go bee nida'a'néii nídiitįįhgo kin haal'áhígi tádínáahgo bee nééhániih doo biniyé nizhónígi íits'a'go sin t'óó ahayóigo bee hótaał .
23:23:017:0	Áádóó tsosts'idiin nááhaígíí bíighah azlį́į́'dóó bik'ijį' Bóhólníihii éí Táir yaa nááhodoodleeł , áko éí ba'iideeł yę́ę yich'į' t'ą́ą́' kónádzaago nahasdzáán bikáá'góó ídahólníihgo bił nahaz'ánígi yił na'ageh yaa naagháa doo .
23:23:018:0	Áádóó binaalye'é éí Bóhólníihii baa náhidit'aah doo ; baa hadeełígíí doo hasht'e'niyiiníił da doo , nidi éí Bóhólníihii yá nidaal'a'ígíí chodayooł'į́įgo yik'é da'ayą́ą doo , índa yee hadadít'ée doo .
