23:6:001:1	Aizéíyah bił áhoodzaa áádóó hágo bi'doo'niid
23:6:001:0	Éí yiháhígíí biyi' aláahgo naat'áanii Azáíyah daaztsą́ągo Bóhólníihii éí bikáá'dóó nahat'áii ayóó át'éii yikáá' dah sidáago yiiłtsą́ ; wódahdi áádóó ayóó át'éii nilį́įgo bi'éé' yooshołii kin bii' sohodizin bii' nídíkaad silį́į́' .
23:6:002:0	Bideígi Diyin God bidiyingo nidaal'a'í sérafim wolyéii t'ááłá'í nítínígo bit'a' dahastą́ą́h ; bit'a' naakigo éí binii'jį' bik'ídaasti' , bikee'jį' ałdó' naakigo bik'ídaasti' áádóó naakigo éí yee nidaat'a' .
23:6:003:0	Áádóó ahidiníłnáago ałch'į' ádaaníigo kódaaní , T'áá ałtsoní bee Bóhólníihii éí diyin , diyin , diyin nilį́ ; nihokáá'góó t'áá át'é yee ayóó át'éii hólǫ́ .
23:6:004:0	Áádóó hadadeeshghaazhígíí biinéé' dadiists'ą́ą'go ch'é'étiingi bitł'ááhdóó haatł'inígíí hidees'náá' , áádóó éí kin łid bii' hadéébįįd .
23:6:005:0	Ákohgo ádíshní , Dooládó' doo hojooba' ájínínígi ánísht'ée da ! Jó , she'iina' choidoo'įįł biniyé doo hasht'eelyaa da lá , háálá diné t'óó baa'ihgo yáłti'ii nishłį́ áádóó diné t'óó baa'ihgo yádaałti'ii bitah kééhasht'į́ índa Aláahgo Naat'áanii éí t'áá ałtsoní bee Bóhólníihii nilíinii yiiłtsą́ .
23:6:006:0	Áko diyingo naal'a'í séraf wolyéii ła' bikáá' náá'iiniihí bikáá'dóó tsííd ła' tsííd bee naajaahí yee néidii'áanii bíla' yee yoo'áałgo shaa yít'a' ,
23:6:007:0	áko shizábąąhgi yíidiyééłnáa'go ání , Jó , díí nizábąąhgi bíhidééłnáa'go ádił ni'iyínílzíi'ii índa nibąąhági át'éii nits'ánídeet'ą́ .
23:6:008:0	Áádóó Bóhólníihii biinéé' diséts'ą́ą'go ání , Háí lá deesh'aał lá , índa háí lá ákǫ́ǫ́ nihá doogááł lá ? Áko ádíshní , Kǫ́ǫ́ sézį́ ; shidíł'á .
23:6:009:0	Áádóó áshidííniid , Nílááh , ákǫ́ǫ́ dínáahgo díí dine'é bił dahólne'go ábidiní , T'áá aaníí dadi'doohts'į́įł nidi , ts'ídá doo bik'idadi'doohtį́įł da , áádóó t'áá aaníí daah'į́į dooleeł nidi , ts'ídá doo deidoołtséeł da .
23:6:010:0	Díí dine'é bijéí daneelk'ahgo áádóó bijédaakałgo ánílééh índa dabiniiłch'ííł , éí doodaii' dabináá' yee da'iidoołtsééł áádóó dabijaa' yee dadi'doots'į́į́ł índa dabijéí yee ak'idadi'dootį́į́ł , áko shich'į' ninádookahgo náádabidideeshłááł .
23:6:011:0	Áko ádíshní , Haa nízahjį'shą' kóhoot'ée doo ? Nít'éé' áshidííniid , Kin hadaas'áii ałtso dahóóchǫ'go doo naagháhí da hazlį́į'jį' áádóó kin bii' dahooghan yę́ęgóó doo naagháhí da silį́į'jį' lą́ą áádóó kéyahgóó t'áá át'éé nít'éé' doo yiila'íjį' lą́ą ,
23:6:012:0	índa Bóhólníihii éí doo deeghánígóó diné iidínóołkałgo kéyah yóó'adahideest'áanii t'óó ahayóii doo .
23:6:013:0	Diné neeznáago aháá'nilgo t'ááłá'í bidoo'nilígíí t'éiyá bíighahgo yidzíí' , nidi éí ałdó' ánáábidi'dooldįįł ; chéch'il nitł'izí áádóó chéch'il yildee'go tsehégod t'éí hólǫ́ǫgo bits'ą́ą́dóó hanoot'ą́ nahalin , nidi ánáábidi'dooldįįł , áko diyingo yichíiłii éí ehétł'óól nilį́į doo .
