23:27:001:1	Ízrel dine'é béédoochidgo ahínéikai
23:27:001:0	Éí yoołkáałdi Bóhólníihii bidiltłish t'óó báhádzidgo ayóó át'éii áádóó ayóó ábóodziilii yee Liiváíyathan wolyéego tł'iish naalnoodii , t'áá éí tł'iish bináhoodǫ́ǫsii atíidoolííł , éí tónteel biyi' łóó'tsoh t'óó báhádzidígi át'éii yidiyoołhééł .
23:27:002:0	Éí yoołkáałdi ch'il na'atł'o'ii yíl'áago wáin łichíi'go bits'ą́ą́dóó ál'íinii baa dahohtaał .
23:27:003:0	Shí Bóhólníihii nishłíinii éí baa áháshyą́ ; t'áá áłahájį' tó bił neheshkaah doo ; doo ła' haada yidoolíłígíí biniyé t'áá ákwíí tł'éé' índa t'áá ákwíí jį́ baa áháshyą́ .
23:27:004:0	Shí doo hashké nísdzin da ; ch'il da'dishahii áádóó hosh dadeeníinii anadashił'į́įgo bik'i nideeshaałgo adahodideeshk'ą́ą́ł .
23:27:005:0	Éí doodaii' bee aa áháshyáanii bee haa áháshyą́ągo háni'dii shił k'é ná'ahizhdidoo'niił , shił k'é ná'ahizhdidoo'niiłí .
23:27:006:0	Yoołkááłgóó Jéíkab ba'áłchíní ahoolchíiłii behétł'óól hodooleeł ; Ízrel dine'é néidootsoh áádóó bílátah da'iidoogah índa nahasdzáán t'áá si'ą́ą́ nít'éé' bikáá'góó aneest'ą' hadidoobį́į́ł .
23:27:007:0	Hwe'ana'í atídahoolaa yę́ę Diyin God éí atínéidiidlaa yę́ęgi át'éegoósh atíhoolaa ? Nidahastseed yę́ę nidabi'distseed yę́ęgi át'éegoósh nidaho'distseed ?
23:27:008:0	Bi'disnáágóó ahoníníłkaad yę́ędą́ą́' t'áá yéego atíhwiinilaa . Ha'a'aahdę́ę'go t'áá íiyisí deeyolígi át'éego tahwiishíníjaa' .
23:27:009:0	Éí bąą díí binahjį' Jéíkab bidoo ákwii át'éii bits'ádidoot'ááł , áádóó díí bee ałtso nahjį' kwíidoolííł ; éí bikáá' nááda'iiniihii tsé bee ályaii ałtso nidooltsxiłgo łeezh łibáhígi át'ée doo índa asdzání bida'alyaii áádóó eda'alyaii bich'į' nidahagháhígi doo nináádaasdzį́į da doo .
23:27:010:0	Háálá kin haal'áago ditą́ągo biná'ástł'in yę́ę doo siláhí da , áádóó diné kéédahat'į́į́ nít'éé' yę́ęgi yóó'adoot'ą́ągo haz'ą́ , índa honoojíigi áhoot'é silį́į́' ; ákwii béégashii yáázh tsin bits'áoz'a' yąąh da'ałchozh áádóó danjahgo nída'at'aał doo .
23:27:011:0	Áko ats'áoz'a' daagango éí sáanii dayiitį́įhgo yee déédeidiłjah ; ákót'éego díí dinéhígíí doo ak'ida'diitįįhgóó bąą Ábiilaii doo baa a'ááh nízin da doo ; éí hasht'ebiilaii doo bich'ijí astą́ą da doo .
23:27:012:0	Éí yoołkáałdi baa hodoolzhish , tooh nílínídóó Ííjip kéyahdi tooh nílíníjį' Bóhólníihii éí tł'oh naadą́ą́' yąąh yoołch'íih doo , áádóó Ízrel dine'é danohłíinii , t'ááłá'í nootínígo áłah ánihidi'doolnííł .
23:27:013:0	Éí yoołkáałdi deenásts'aa' bidee' bee í'dílzoołí ayóó át'éii didoolts'į́į́ł , áádóó Asíriya kéyahdi k'adę́ę dabi'niináanii áádóó Ííjip kéyahgi tabidi'nooskaadii éí Jerúsalemgi dził diyinii bighą́ą'di Bóhólníihii yich'į' nidahałáa doo .
