23:11:001:1	Jésii behégod bii'dóó t'áá ákogi át'éii
23:11:001:0	Jésii behégod bii'dóó ła' háádínóosééł áádóó behétł'óól bits'ą́ą́dóó Bits'áoz'a' hadínóosééł ,
23:11:002:0	áko Bóhólníihii biNíłch'i Diyinii bik'i hwiidooleełgo níłch'i bee hódzáanii áádóó bee ak'idi'iitįįhii , níłch'i kót'ée doo níinii áádóó bidziilii , níłch'i bee ééhózinii áádóó Bóhólníihii dílzin bił hólǫ́ǫ doo ;
23:11:003:0	Bóhólníihii dílzin yaa bił hózhǫ́ǫ doo . Dayiiłtse'ígíí bik'ehgo doo einít'į́į da doo , índa yidiits'a'ii bik'ehgo doo ánihwii'aah da doo ,
23:11:004:0	nidi badahojoobá'íii ts'ídá t'áá ákwii át'éego yik'i hadidoodzih , áádóó nahasdzáán bikáá'góó doo adááh yádaałti'ii t'áá ákogi át'éego yá hadoodzih ; tsihał nahalingo bizéé'dę́ę́' hahwiileehgo yee nahasdzáán atíidoolííł áádóó biyol yee ałdó' doo yá'ádaashóonii íidoołdįįł .
23:11:005:0	Ts'ídá t'áá ákogi át'éii yee ákászaaz , áádóó ts'ídá ba'ahódlíii yee ákászaaz .
23:11:006:0	Mą'iitsoh éí dibé yázhí yił kééhat'į́į doo , áádóó náshdóítsoh łikizhii éí tł'ízí yázhí yił t'ááłáhígi shitéezh doo , índa béégashii yáázh áádóó náshdóítsoh bitsiijį' ditł'ooígíí biyázhí áádóó alį́į́' neesk'ahii yił t'ááłáhígi shijée' doo , áádóó áłchíní yázhí tábidi'éesh doo .
23:11:007:0	Béégashii áádóó shash t'ááłáhígóó na'ałchozh doo áádóó dabiyázhí t'ááłáhígóó naazhjée' doo índa náshdóítsoh bitsiijį' ditł'ooígíí éí béégashii nahalingo ałchozh doo .
23:11:008:0	Awéé' t'ah ałt'o'ii éí tł'iish báhádzidii bi'áangi naanée doo , índa awéé' i'díít'óodii éí tł'iish báhádzidii bi'áán yik'i déesnii' doo .
23:11:009:0	Shidził dílzinii bikáá' t'áá ałtsogóó doo atída'ahidil'į́į da doo áádóó doo nida'ahiilchǫǫh da , háálá tónteel hadeezbinígi át'éego nahasdzáán t'áá níłtéél nít'éé' Bóhólníihii béého'dílzin doo .
23:11:002:1	Dabidisnáanii daadziihígíí bił dahózhǫ́ǫgo nináhidookah
23:11:010:0	Éí bijį́įdi Jésii behétł'óól nilíinii diné bich'į' dah na'at'a'í nilį́įgo bee ééhózin doo ; nihokáá' dine'é éí há daat'į́į doo áádóó hááhályį́įhgi ayóó áhonóolnin doo .
23:11:011:0	Éí beiníłką́ądi Asíriya áádóó Ííjip áádóó Páthras áádóó Iithiyópiya áádóó Íílam áádóó Sháínar kédaayahdę́ę́' áádóó Héímath kin haal'áádę́ę́' índa táyi'dę́ę́' kéyah hadaaz'áádę́ę́' éí Bóhólníihii nilíinii bidine'é yidzí'ígíí yíká adoolnii'go shónéidoołt'eeł .
23:11:012:0	Ał'ąą dine'é bá dah na'at'a'í bee ééhózinii íidoolííł , áádóó nahasdzáán t'áá níłtéél nít'éé' Ízrel dine'é yóó'adabidiist'áanii índa Júdah dine'é tadaoskai yę́ę t'áá dį́į́'dę́ę́' áłah ánéidoodlííł .
23:11:013:0	Íífreiyim dine'é da'oołch'į́dígíí bii' hadooldoh , índa Júdah dine'é bi'ana'í ábi'disdįįd doo ; Íífreiyim dine'é éí Júdah dine'é doo nááyoołch'į́įd da doo índa Júdah dine'é éí Íífreiyim dine'é doo yíni' náánéís'ą́ą da doo .
23:11:014:0	Nidi e'e'aahjigo łá'í nidlį́įgo híniinahjį' Filístiya dine'é yik'ijį' ahidoolk'ih , áádóó t'áá ła' bizhi' ee nidlį́įgo ha'a'aahjigo ałtso deidoołnééł ; Íídam dine'é áádóó Mó'ab dine'é yaatįįh nákahgo Áman dine'é bik'eh dahół'į́į doo .
23:11:015:0	Áko Bóhólníihii éí Ííjip kéyahgi tónteel bitáala bits'áhiníyínígíí ałtso néidoołtsih , áádóó tooh yik'ijį' níyol azéesii yił k'ídidoolnihgo tsosts'idgo danílį́įgo íidoolííł ; t'áá hóółtseiigóó diné ha'naa nidookah .
23:11:016:0	Ííjip kéyahdę́ę́' Ízrel dine'é háánáá nít'éé' yę́ęgi át'éego bidine'é daadziihígíí bá Asíriya kéyahdę́ę́' atiin doo .
