23:8:001:1	Diyin God yá halne'ii biye' bízhi' bee ééhózin
23:8:001:0	Ákohgo Bóhólníihii áshidííniid , Naaltsoos yisdisii nitsaaígíí nídii'aahgo bik'e'íłchí , Haneetehee naalye'é , naalye'é tsį́į łgo yisná .
23:8:002:0	Náá'iiłniihii nilíinii Yuráíyah áádóó Jiiberiikáíyah biye' Zekaráíyah éí shá oo'íinii nilį́į doo biniyé nídiinil .
23:8:003:0	She'asdzą́ą́ baa níyá , áádóó i'niiltsąądgo ashkii yishchį́ . Áko Bóhólníihii áshidííniid , Meihiir-shéíleil-héísh-baz bee yidíízhiił .
23:8:004:0	Háálá awéé' éí , Shizhé'é , doodaii' , Shimá , níi dooígíí t'ah doo bił bééhoozįįhgóó Asíriya dine'é aláahgo binanit'a'í binááł Damáskas kin haal'áagi da'ílíinii áádóó Samériya kin haal'áagi naalye'é ałtso adeidiyooyééł .
23:8:005:0	Bóhólníihii ánááshidoo'niidgo ání ,
23:8:006:0	Díí dine'é éí Silówamgi tó hazhó'ógo hadaazlínígíí doo deinízingóó , áádóó Ríízin índa Remaláíyah biye' yaa bił nidahoozhǫǫhgo
23:8:007:0	éí bąą k'ad jó'akon , Bóhólníihii éí tooh nílínígíí bidziilgo áádóó t'óó ahayóigo hak'ijį' kwíidoolííł ; éí Asíriya dine'é aláahgo binanit'a'í áádóó yee ayóó át'éii át'é , áádóó bitooh yílzée'go nílíinii ałtso wó'ądahizdoołhał
23:8:008:0	índa Júdah kéyahgóó adahizdoołhałgo tó de anool'ąąłgo ak'osgo dínóol'ąął , áko Imányowel nílíinii , nikéyahgi t'áá át'é bit'a' yik'íidoołtih .
23:8:009:0	Dine'é danohłíinii , t'áá nihí wołí bee ádaaht'į́įgo áádóó kódaníshéhégo ałtso nidahidoołtǫǫł ; kéyah nidahonees'ą́ą́dę́ę́' nidaahkaígíí da'íísínółts'ą́ą́' : t'áá nihí áká dasoołzaazgo kódaníshéhégo ałtso nidahidoołtǫǫł ; t'áá nihí áká dasoołzaazgo kódaníshéhégo ałtso nidahidoołtǫǫł .
23:8:002:1	Bóhólníihii éí bits'ąą síníti'ii át'ée le'
23:8:010:0	Ahíidohkahgo baa nídaaht'į́į nidi , t'áadoo nídoodleełí da ; yádaałti' nidi , doo bihodoolníił da , háálá Diyin God éí nihił hólǫ́ .
23:8:011:0	Jó , Bóhólníihii ayóó át'éego bidziilii shich'į' haadzíi'go díí diné ádaat'ínígíí t'áadoo ákót'éego nanináhí , shidííniidgo ání ,
23:8:012:0	Nihiya'iidleeh , daanínígíí ni t'áadoo ákódíníní , nidi yik'ee bił daayé'ígíí t'áadoo bik'ee nił yé'í , doodaii' t'áadoo náníldzidí .
23:8:013:0	T'áá ałtsoní bee Bóhólníihii t'éí díínísin ; bíni'dii t'áá bí t'éí bik'ee nił yéé' índa bíni'dii t'áá bí t'éí bééníldzid .
23:8:014:0	Áko bine' a'niichéehii nilį́į dooleeł , ákondi Ízrel dine'é t' áá áłah bich'į' tsé yiniinaa dahidigeehii índa tsé yiniinaa ádił ayoolzihii át'ée doo . Áádóó Jerúsalemgi kéédahat'ínígíí bich'į' tł'óół naneesdiz áádóó łoh nidoo'nił .
23:8:015:0	T'óó ahayóí dahidigeehgo naa ahindéehgo k'ída'astǫ' doo , áádóó łoh yiih dahaaskaigo yisnááh daazlį́į' doo .
23:8:016:0	Bee ak'e'ashchíinii bee bééhániihii béé'ítł'ó ; shídahooł'aahii bitahgóó bee haz'áanii bidádi'níłjeeh .
23:8:017:0	Bóhólníihii nayíníshłíigo éí Jéíkab ba'áłchíní ahoolchíiłii yits'ąą binii' neinił'inii bíká dínísh'į́į' doo .
23:8:018:0	Shoo , t'áá ałtsoní bee Bóhólníihii Dził Záíyan bighą́ą'di kééhat'íinii éí shí áádóó áłchíní sheinínilígíí Ízrel dine'é bitahgi bee éédahózinii áádóó t'óó bik'eda'ayóii daniidlį́ .
23:8:019:0	Áko ádanihidííniidgo , Ch'į́įdii yádabiiłti'ii áádóó níłch'i bi'iiníziinii biyi'dóó yádaałti'ii éí tsídii ánínígi át'éego áádóó t'áá ádíyi'ígóó bii' nahodi'ni'ii hádaaht'į́į doo . Da' dine'éésh biDiyin God nideídíłkid dooleeł nít'éé' ? Da' dahináanii bá daneeznáanii bich'į' nida'ídíłkidgoósh yá'át'ééh ?
23:8:020:0	Bee haz'áanii áádóó yee haadzíi'ii baa ákodanohsin ; díí saadígíí doo yik'ehgo yádaałti'góogo , adinídíín bii' ádaadingo biniinaa ákódaaní .
23:8:021:0	Bich'į' nidahwii'náago áádóó dichin danilį́įgo kéyahgóó ch'ééh nidaakai doo . Áádóó ákódzaago dichin bi'niighą́ą'go ádá dahodoolchįįłgo aláahgo binanit'a'í áádóó biDiyin God dayódziih doo índa yót'ááhgóó ch'ééh dadéez'į́į' doo .
23:8:022:0	Áko nahasdzáán yich'į' dadéez'į́į́' áádóó shoo , ach'į' nahwii'ná índa chahałheeł , yínííł bik'e'íyée'ii bee chahałheełgo dayiiłtsą́ . Áko éí ayóó át'éego chahałheełígíí biyi' góne' abidí'nóolkał .
