23:54:001:1	Bóhólníihii éí Ízrel dine'é hool'áágóó ayóó'áyó'ní
23:54:001:0	Doo íłchíii , hótaał ; doo ádéí'iilt'e'ii , ha'dí'aah ; awéé' t'ah doo nídii'néehii , yéego hadílgháásh , háálá asdzání ayéehii ba'áłchíní hólónígíí biláahgo doo ałchíii ba'áłchíní hodooleeł , ní Bóhólníihii .
23:54:002:0	Niníbaal si'ą́ągi hótsaago ánílééh áádóó ła' t'áadoodaaí bíni'dii kééhwiit'į́įgi dáádadeezbaalii deidiłts'ǫǫd ; niníbaal bitł'óól nineezgo ádanile'go índa bá anídaalkałígíí niłdzilgo adaniłkaał .
23:54:003:0	Nishtł'ajigo áádóó nish'náajigo na'áłchíní k'ee'ąą doolzhish ; ał'ąą dine'é bikédaayah yee ádídahólníih doo índa kin hadaas'áii doo nidaagháhí da yę́ęgóó kéédahat'į́į doo .
23:54:004:0	T'áadoo náníldzidí , háálá doo ádaa yádíníidzįįł da , doo nidi nił halą́ą da doo , háálá doo naa yáhásingo ándi'doolníił da , nidi ániid nanináádą́ą́' bee naa yáhóósįįdii baidiyíínah índa asdzání bąąh áhásdįįdii nahalingo yínííł nanináhígíí doo béénílniih da doo .
23:54:005:0	Háálá Ániilaii éí nahastiin át'é ; t'áá ałtsoní bee Bóhólníihii bi'di'ní , áádóó Ízrel dine'é biDiyin nilíinii nik'é niná'ídláii éí nahasdzáán t'áá náhwiiz'ą́ą́ nít'éé' biDiyin God bi'di'níi doo .
23:54:006:0	Jó , asdzání yóó'abi'doot'áanii áádóó bíni' yii'a'ii índa ániid naaghá yę́ędą́ą́' yił ahidii'áázh yę́ę doo biniizį́'ígi ánít'éego Bóhólníihii hágo niłní , ní niDiyin God .
23:54:007:0	T'óó kónízahíjį' yóó'andíí'ą́ą́ nít'éé' , nidi ayóó át'éego nihaa a'ááh nisingo áłah ánánihideeshdlííł .
23:54:008:0	T'óó kónízahíjį' shił hazhchihgo nihits'ą́ąjį' nininísht'ą́ , nidi hool'áágóó aa a'ááh hasinii bee naa a'ááh nisin doo , ní Bóhólníihii , nik'é niná'ídláii .
23:54:009:0	Áko díí Nóah bíyoołkááł yę́ędą́ą́' shił ákót'é : íídą́ą́' tó yíląądii nahasdzáán bikáá' doo náádidoolkǫǫłgóó bee haasdzí'ígi át'éego doo nich'į' sháháchį' da doo , áádóó doo nidishtehgóó bee haasdzíí' .
23:54:002:1	Jerúsalem ániidíii
23:54:010:0	Azhą́ shį́į́ dził ádadoodįįł índa dah daask'idii nahjį' kódadooníił nidi , bee aa a'ááh nisinii éí doo nits'ą́ąjį' kódooníił da , doo nidi bee hasht'ehodít'éii shidine'é bee bił aha'dinisht'áanii nahjį' kódooníił da , ní Bóhólníihii naa a'ááh nízinii .
23:54:011:0	Nich'į' nahwii'náanii áádóó níyol yáhoołgohii índa doo níká a'alyeedii nílíinii , tsé nitł'izii nitł'ááh nástł'ingo áádóó tsé da'ílíinii bee kingo ándeeshłííł , jó'akon .
23:54:012:0	Áádóó tsé da'ílíinii ágat wolyéii bee nitsésǫ' ádeeshłííł , áádóó diichiłí bee nidáádaditį́įhgo índa tsé da'ílíinii bee ninaa ahééda'astł'ingo ádeeshłííł .
23:54:013:0	Áádóó na'áłchíní t'áá ałtso éí Bóhólníihii nabidínóotįįł índa ayóó át'éego na'áłchíní bá hasht'ehodít'ée doo .
23:54:014:0	T'áá ákogi át'éii bee nihoníłdzil doo ; ade áhoot'é ó'ólzin bits'ąą doo deeghánídi honílǫ́ǫ doo , háálá doo nił yée' da doo áádóó bik'ee ił yée'ii bits'ąą doo deeghánídi honílǫ́ǫ doo , háálá áháníjį' doo níighahjį' kódooníił da .
23:54:015:0	Jó , t'áá aaníí áłah áda'didoolnííł , nidi shí shee éí dooda ; t'áá háiida niniyé áłah daazlį́'ígíí éí niniinaa na'adínóodah .
23:54:016:0	Jó , atsidii éí kǫ' yii' béésh néiniiłchxihgo bee na'abaahii áyoolíłígíí tsíts'áyiiníiłii éí íishłaa áádóó á'doołdįįł biniyé ó'oołdįįłii íishłaa .
23:54:017:0	Bee na'abaahii niniyé ályaaígíí t'áá ałtso doo nidídóołniił da índa saad bee nahwiinít'į́įgo nik'ijį' nehe'níłígíí bá nahoyí'aah doo . Díí Bóhólníihii bá nidaal'a'í bíí' dooleełígíí át'é , áádóó bit'áá ákogi át'éii éí shits'ą́ą́dóó át'é , ní Bóhólníihii .
