23:49:001:1	Bóhólníihii binaal'a'í éí ał'ąą dine'é yá adiníłdíin doo
23:49:001:0	Táyi'dę́ę́' kéyah hadaaz'á danohłíinii , dashíísółts'ą́ą́' , áádóó ał'ąą dine'é danohłíinii nízaadi kéédahoht'íinii , dashíísółts'ą́ą́' ; Bóhólníihii éí iishch'id biyi'dę́ę́' shíká ádííniid ; shimá bitsą́ądi sétį́įgo shízhi' shá ályaa .
23:49:002:0	Áádóó shizéé' diltłish deeníinii nahalingo áyiilaa ; bíla' yee shik'i nideelnii'go náshidees'į́į́' ; k'aa' yisk'ą́ąziigi át'éego áshiilaago bik'aayééł yii' náshidees'į́į́' ,
23:49:003:0	áádóó áshidííniid , Ízrel nílíinii , shá naal'a'í nílį́ ; ni nee shaa ha'niih doo .
23:49:004:0	Áko ádííniid , T'áadoo biniyéhígóó nishishnish , t'áadoo biniyéhígóó shidziil choiséł'įįd ; azhą́ ákót'ée nidi , t'áá aaníí Bóhólníihii shá yaa nídóot'įįłgo Diyin God yik'é shich'į' ni'doolééł .
23:49:005:0	Bóhólníihii bił nishłį́įgo shiDiyin God bee shidziil sélį́į́' , áko Bóhólníihii bá naal'a'í nishłį́įgo Jéíkab dine'é baa nídeesłóós índa Ízrel dine'é baa áłah ádeeshłííł biniyé iishch'id bii'di hasht'eshiilaii k'ad kóní ,
23:49:006:0	Jéíkab dadóone'é nábididííł jahígíí índa Ízrel dine'é ánászįįdii hasht'éédíídlíłígíí biniyé t'įįhdígo át'éego shá nanil'a' ; ał'ąą dine'é bá adinídíín nílį́įgo ałdó' baa nidideesh'ááł , áko nahasdzáán nihoneel'ą́ąjį' shibee yisdá'iildéehii bééhózin doo .
23:49:002:1	Záíyan hasht'éédoolníiłii bee nihoot'ą́
23:49:007:0	Bóhólníihii éí Ízrel yik'é niná'ídláii , biDiyin nilíinii , éí dine'é dabi'íinii áádóó ał'ąą dine'é t'óó baa'ihgo baa nitsídaakeesii índa naat'áanii danilíinii yá naal'a'í nilíinii yich'į' kóní , Aláahgo naat'áanii danilíinii dahwiidoołtsééł áádóó deidoozįįł ; naat'áanii danilíinii ałdó' bich'į' nidahodoołaał , háálá Bóhólníihii éí Ízrel dine'é biDiyin nilíinii ba'ahódlí áádóó nándiiłtį́ .
23:49:008:0	Bóhólníihii kóní , Ákwii nihoolzhiizhgo nich'į' ééhosésįįd áádóó yisdá'iildéehii jíní góne' níká aashwod , áádóó áándeesįįł índa kéyah hasht'ehodoolnííł áádóó kéyahgi doo nidaagháhí da yę́ęgóó diné bíí' nídoodleeł biniyé bee aha'deet'áanii nílį́įgo baa nidideesh'ááł .
23:49:009:0	Áko awáalyaaí danilíinii t'áá éí chahałheełdi dahólóonii ábididííniił , Ch'ínóhkáahgo yit'íní áda'doołnééh . Dahonít'i'góó áádóó aghádahaz'á dahootsogóó t'áá ałtso da'ayą́ą doo .
