23:33:001:1	Bóhólníihii éí yisdá'iildéehii haididoo'ááł
23:33:001:0	Agha'ayí'níiłii nílį́įgo doo nigha'iisnilii , niná'diyii'aahii nílį́įgo doo nináni'deet'áanii doo hojooba' ájíníi da ! Doo agha'ayí'níił da sínílį́į'go nigha'di'yoo'nił áádóó doo niná'diyí'aah da sínílį́į'go ninándi'doot'ááł .
23:33:002:0	Bóhólníihii nílíinii , nihaa jiiníba' le ; niba' ádaniit'éé nít'éé' ; t'áá ákwíí abíní nigaan bee binísínínii' dooleeł ; ach'į' nahwii'ná biyi'dóó yisdánihiníiłii nílį́į doo .
23:33:003:0	Ayóó íits'a'go hahodíídláadgo diné yik'ee yóó'adahineezhchą́ą́' ; yinizį'go ał'ąą dine'é tadaozhjéé' .
23:33:004:0	Ch'osh dishooí áłah áda'iilaago ałtso da'ííyą́ą́' nahalingo t'áadoo le'é aghahíní'nilii áłah ádeidoolííł ; nahachagiitsoh tádadilyeedígi át'éego yik'i nidoolwoł .
23:33:005:0	Bóhólníihii éí ił nilį́įgo ayóó át'é ábi'diilyaa , háálá wódahgo kééhat'į́ ; Dził Záíyan doo haada yit'éii índa t'áá ákogi át'éii yii' haidééłbįįd .
23:33:006:0	Áádóó nee hoolzhishígíí biyi' hódzą́ índa ił ééhózin bee níłdzilgo éí bee yisdá'iildééh biyi' nidziil doo ; Bóhólníihii dólzinii éí honaalye'é át'é .
23:33:007:0	Jó , tł'óo'di diné dahayóii hadadoocha , k'é náhodoodleeł biniyé nidabi'dis'a'ii t'áá íiyisí anídaachahgo dadoocha .
23:33:008:0	Atiinígíí doo bikáá' na'aldeeh da silį́į́' ; diné doo nídídááh yę́ę doo nídídáah da silį́į́' ; bee aha'deet'áanii k'íiníti' ; kin haal'áhígíí yiyíí'įįd ; doo diné ła' yiyíists'ą́ą' da .
23:33:009:0	Kéyah yínííł nilį́ áádóó nidínéesdzá ; Lébanan kéyah éí t'óó baa yáhásingo hoo'a' áádóó ałtso náhooltseii ; Shéran honíteel éí honoojí haazlį́į́' áádóó Béíshan honíteel índa Dził Kármel bit'ąą' bąąh naníídee' .
23:33:010:0	K'ad nídideesdził ; k'ad lą́ą ayóó át'é áshi'didoolnííł ; k'ad wódahgo ádi'deeshnííł , ní Bóhólníihii .
23:33:011:0	Azhool éí bídí'nííltsąął áádóó ehégod dííłchííł ; niyol éí kǫ' nahalingo anihididoołk'ą́ą́ł .
23:33:012:0	Dleesh didlidígi át'éego diné dadidoolił ; ch'il deeníní yildee'go didlidígi át'éego dadidoolił .
23:33:013:0	Nízaadi dahonohłóonii , baa niséyáhígíí baa dahodoohts'į́į́h , áádóó áhánígóó dahonohłónígíí , bee ayóó ánísht'éii baa ákodanohsįįh .
23:33:014:0	Záíyandi bąąhági ádaaníiłii nídaaldzid ; doo Diyin God k'ehgo ádaat'éii éí yéé' yik'ee tsídadoolyiz . Háishą' nihitahgi kǫ' ó'oołdįįłii yił kééhat'į́į doo ? Háishą' nihitahgi hool'áágóó hodook'ą́ąłii yił kééhat'į́į doo ?
23:33:015:0	T'áá ákogi át'éego yigáałii áádóó t'áá ákogi át'éego yáłti'ii , ade ó'ólzin bee a'iideeł yijoołáii , bee naho'diiniihii doo yinízingóó bíla' yigháadii , diné bidił deezna'go doo t'áá k'ad yaa hodiizts'ą́ą'ii , doo yá'át'éehgo ádahooníiłii yich'į' nániilch'iłii
23:33:016:0	éí wódahgo kééhat'į́į doo ; tséghą́ą'di nehedzíih doo ; ch'iyáán ba'iiltsóod doo ; tó éí doo bee ádoodįįł da .
23:33:017:0	Aláahgo naat'áanii yee ayóó ánóolninii yidííłtsééł ; kéyah doo deeghánídi haz'ánígíí deiníł'į́į doo .
23:33:018:0	Bik'ee nił yée'ii nijéí biyi'dóó nabik'ítsíníłkees doo . Háájíshą' nahalyéii yółta'ii ? Háájíshą' dah adiyiileehii ? Háájíshą' kin yadaa'áii haisíidgo yółta'ii ?
23:33:019:0	Diné t'óó báádahadzidii áádóó bizaad nantł'ago doo nił bééhózinii índa ałt'adandzihgo yádaałti'go doo bik'idiitįįhígíí doo néidííltséeł da .
23:33:020:0	Záíyan kin haal'áagi hodílzingo áłah nída'adleeh baa niná'áldahígíí bich'į' díní'į́į́' ; Jerúsalemgi hodéezyéelgo diné kééhat'į́įgo t'áá éí níbaal dílzinii doo ni'nidooltsosii yidííłtsééł , áádóó bá anídaalkałí doo nahjį' hahidoo'nił da , doo nidi tł'óół ła' k'ídoo'nish da .
23:33:021:0	Nidi áadi tooh ayóó áníłtéelgo índa tó nílíinii nahalingo Bóhólníihii ayóó át'éii nihich'į' át'ée doo ; éí tooh bii'góó tsinaa'eeł bee na'abaahii índa tsinaa'eeł ayóó át'éii bee ak'eh hodidlíinii doo nináádaa'eeł da doo .
23:33:022:0	Háálá Bóhólníihii ánihwii'aahii nihá nilį́ , Bóhólníihii bee haz'áanii nihaidii'aahígíí nilį́ , Bóhólníihii aláahgo nihinanit'a'í nilį́ ; éí yisdánihidoonił .
23:33:023:0	Tsin ałníi'gi íí'áhígíí tł'óół ałts'ą́ą́' dabółdonii dadiniitłóo'go doo nídeidiłts'ǫǫd da ; níbaal neił'eełii doo nídoolbał da , áko naalye'é deisnánígíí ałtaidoo'nihgo , nida'niłhodii ła' bíí' dadooleeł .
23:33:024:0	Áádóó kééhat'ínígíí doo ła' daastsaah didooniił da ; diné ákwii kéédahat'íinii doo ákwii ádáát'įįdii bá yóó'adahididoot'ááł .
