23:60:001:1	Yónáasdi Záíyan bee bits'ádi'nílííd dooígíí
23:60:001:0	Nídiidáahgo adííníłdíín , háálá adinídíín ná baa hoolzhiizh ; Bóhólníihii bee bits'ádi'nílíidii bee nik'i diidláád .
23:60:002:0	Háálá nahasdzáán chahałheeł bik'ésti' índa dadine'é yéego chahałheełii bik'ésti' , jó'akon , nidi Bóhólníihii nik'i hwiidooleełgo bee bits'ádi'nílíidii nik'ijį' yit'į́į doo .
23:60:003:0	Áádóó ał'ąą dine'é ne'adinídíinjį' nidookah índa aláahgo naat'áanii danilíinii ne'adinídíín hoonaał jį' nidookah .
23:60:004:0	Ninaagóó díní'į́į'go iidííłtsééł : t'áá ałtso áłah silį́į'go nich'į' nehekááh ; niyáázhké nízaadę́ę́' nehekááh índa niniit'aa nich'é'éké naa hidoojih .
23:60:005:0	Áko nił hózhǫ́ǫgo yidííłtsééł , áádóó ił hózhǫ́ nijéí nayiiłnáa doo , háálá tónteel tsé'naadę́ę́' daat'íinii lą'í bee ákinidláa doo ; ał'ąą dine'é yee da'at'íinii naa hindéeh doo .
23:60:006:0	Mídiyan kéyah áádóó Íífah kéyahdę́ę́' ghą́ą́'ask'idii t'óó ahayóí nik'íidoodǫ́ǫ́s ; éí Shííba kéyahdę́ę́' t'áá ałtso óola áádóó tsin bijeeh dilidgo łikání halchingo náhániihígíí naa deidooyééł , áádóó Bóhólníihii yaa dahaniihígíí yaa ch'ídahodoo'ááł .
23:60:007:0	Kíídar kéyahdóó dibé t'áá ałtso naa áłah ádoolnííł ; Niibéíyath kéyahdóó deenásts'aa' ná chodeidoo'įįł ; shibikáá' náá'iiniihí bikáá' náádahidoonihgo dínóodzįįł , índa shikin bii' sohodizin ayóó át'éii ayóó ánóolningo biyi'dóó ak'ijishdlíi doo .
23:60:008:0	K'os nida'ajooł nidahalinígíí índa tsésǫ'jį' hasbídí nidahalingo dah nídadiit'ahígíishą' háí ádaat'į́ ?
23:60:009:0	Tónteel bibąąhgóó kédaayah shiba' ádaat'ée doo , áádóó Bóhólníihii niDiyin God bízhi' áádóó Ízrel dine'é biDiyinii bił danilį́į doo biniyé nízaadę́ę́' na'áłchíní bibéésh łigaii áádóó óola t'áá bił Társhishdóó tsinaa'eełgi ádaat'éii áłtsé bił tsé'naa nádadi'yoo'oł , háálá Diyin God bił yínílįįd .
23:60:010:0	Dé'éyóní dabiye' éí ninaa ahééda'astł'inii áńdeidoodlííł áádóó aláahgo binanit'a'í danilíinii ná nidaal'a' doo , háálá yéego sháháchį'go atíniishłaa , nidi nich'oshníigo naa a'áhí niizį́į́' .
23:60:011:0	Éí bąą nił yah ada'iiztiinígíí t'áá áłahjį' ąą ádaat'ée doo ; jį́įgo áádóó tł'ée'go doo dáń'dadilkał da doo , áko ał'ąą dine'é yee da'at'íinii naa dayiiyeeh doo áádóó aláahgo binanit'a'í danilíinii naa deidiyoo'ish .
23:60:012:0	Jó , ał'ąą dine'é índa bee ídahólníihgo bił nahaz'ą́ą́góó doo ná chodao'íinii éí ádadoodįįł , áádóó índa t'áá aaníí éí ał'ąą dine' é ts'ídá t'áá ákohígo dazhdooleeł .
23:60:013:0	Shidiyingo haz'áanii bee hózhónígo ádoolnííł biniyé Dził Lébanan ayóó áhonóolningo bee baa ha'niihii éí gad áádóó tsin akéísha wolyéii índa tsin sáípras wolyéii ahídaóltą'go naa hodoolzhish , áádóó dínís'eezgi ayóó áhonóolningo ádeeshłííł .
23:60:014:0	Nich'į' nidahwiisnáá' yę́ę ba'áłchíní nich'į' nihidookahgo nitsidadidoogoh , áádóó dani'į́į́ nít'éé' yę́ę t'áá ałtso nikétsį́įjį' yaa ádadoonííł , índa ádandidooniił , Bóhólníihii bikin haal'áhígíí , t'áá éí Ízrel dine'é biDiyin nilíinii biDził Záíyan yinílyée doo .
23:60:015:0	Azhą́ łah yóó'andoot'ą́ áádóó niji'joosdláa'go , áko diné doo ła'da niyi'góó ch'íníyáa da nít'éé' nidi , hool'áágóó ayóó ánínílnin índa lą'ídi ałk'i ná'ázhchį́į́góó ił hózhǫ́ nílį́įgo áńdeeshłííł .
23:60:016:0	Ał'ąą dine'é bits'ą́ą́dóó íłt'o' doo áádóó aláahgo naat'áanii danilíinii bibe' niłt'o' doo índa shí Bóhólníihii áádóó niYisdá'iiníiłii índa Náániisnii'ii , t'áá éí Jéíkab be'Ayóó'át'éii nishłį́įgo nił bééhodoozįįł .
23:60:017:0	Béésh łitsoii bitsásk'ehgi óola deeshjih , áádóó béésh nitł' izii bitsásk'ehgi béésh łigaii deeshjih , índa béésh łitsoii éí tsin bitsásk'ehgi áádóó béésh nitł'izii tsé bitsásk'ehgi deeshjih ; asht'ehodít'é áádóó t'áá ákogi át'éii ninanit'a'ígo ádeeshłííł .
23:60:018:0	Nikéyahgi doo ts'íí'ádahooníłígíí áádóó t'áá ádzaaí ni'iileeh índa ó'oodįįłígíí doo baa náádahozdidoots'į́įł da , nidi ninaa ahééda'astł'inígíí bee yisdá'iildééh bidiníi doo , áádóó nił yah ada'iiztiinígíí aa ha'niih bidiníi doo .
23:60:019:0	Jį́įgo jį́honaa'éí doo bee ná adinídíin da doo , doo nidi tł'ééhonaa'éí bee ná adinídíin da doo , nidi Bóhólníihii éí hool'áágóó ná adinídíín índa niDiyin God bee nideezlíidii ná nilį́į doo .
23:60:020:0	Doo anáá'doot'áał da , doo nidi tł'ééhonaa'éí anáádoodáał da , háálá Bóhólníihii éí hool'áágóó bee ná hool'in doo , índa yínííł bił níyoołkáłígíí nidoot'ih .
23:60:021:0	Nidine'é t'áá ałtso ałdó' t'áá ákogi ádaat'ée doo ; shaa ha'niih doo biniyé hool'áágóó kéyah daabíí' dooleeł , háálá t'áá shí k'idideeshłééł .
23:60:022:0	Áłts'íísígíí éí miil nídoodleeł , áádóó a'oh áníłtsooígíí éí dine'é bidziilii dooleeł ; shí Bóhólníihii nishłíinii baa hoolzhiizhgo tsxį́įłgo ádeeshłííł .
