23:36:001:1	Senákerib wolyéii éí anaa' hasłį́į́'
23:36:001:0	Heziikáíyah aláahgo naat'áanii nilį́įgo dį́į́'ts'áadah náhááh góne' Asíriya dine'é aláahgo binanit'a'í Senákerib éí Júdah kéyahgi kin hadaas'áago ditą́ągo binída'astł'inígíí t'áá ałtso yich'į' naabaahgo ałtso yisná .
23:36:002:0	Áádóó Asíriya dine'é aláahgo binanit'a'í éí Rábshakeh wolyéii Léíkish kin haal'áádóó Jerúsalem kin haal'áágóó siláo t'óó ahayóí yi ł aláahgo naat'áanii Heziikáíyah yich'į' yiyííł'aad . Áádóó wódahgo tó bá az'ánídóó tó bá aní'áhígíí bíighahgi iigisgo iilgááh bá haz'ánígíí bich'į'go atiinígi yiizį' .
23:36:003:0	Áko Hilkáíyah biye' Iiláíyakim éí aláahgo naat'áanii bighan bee bóhólníhígíí áádóó Shébna éí naaltsoos ííł'íní índa Éísaf biye' Jó'ah éí naat'áaniishchíín nilíinii hach'į' ch'ékai .
23:36:004:0	Ákohgo Rábshakeh áhodííniid , Asíriya dine'é aláahgo binanit'a'í ayóó át'éii ání , K'ad Heziikáíyah ádabidohní , Ha'át'íí ba'ahódlíí shį́įshą' baa dzíínílí ?
23:36:005:0	Kódíní , shí ádíshní , Anaa' biniyé shinahat'a' índa adziil shee hólǫ́ , diní , nidi éí saad t'áadoo nánídlíinii ádaat'é . K'ad háishą' baa dzíínílíigo shich'į' nanilteeh ?
23:36:006:0	Shoo , k'ad díí lók'aa' yisk'isgo íí'áhígíí , éí Ííjip dine'é danilį́įgo baa dzíínílí ; t'áá éí diné ła' yíniizį́įgo bíla' baa adoozhosh ; t'áá ádzíłtso éí Ííjip dine'é aláahgo binanit'a'í Féro baa deijólíhígíí ákódahodoolííł .
23:36:007:0	Nidi , Bóhólníihii nihiDiyin God baa dadzííníidlí , dashidooniidgo Heziikáíyah éí dah daask'id bighą́ą'di ádaalyaaígíí áádóó bikáá' nááda'iiniih yę́ę nahjį' kóyiilaago Júdah dine'é áádóó Jerúsalem dine'é áyidííniid , Bikáá' náá'iiniihí bidááhdóó nidahohłá , nihiłníigo éísh doo éí át'į́į da ?
23:36:008:0	Éí bąą k'ad nánooshkąąh , shinanit'a'í Asíriya dine'é aláahgo binanit'a'í bił ałha'dadi'noht'aah . Áko bíninil'ą́ągo łį́į́' dabíyeeh dooígíí shóisíníłt'e' ládą́ą́' , łį́į́' naakidi mííl naa deeshnił .
23:36:009:0	Haash yit'éego shinanit'a'í bá nidaal'a'í a'ohgo ádaat'éii siláo yinanit'a'í nilíinii níwehjį' bi'dííłnihgo Ííjip dine'é bitsindaabąąs bijáád naakiígíí lą'ígo índa dabisiláo łį́į́' yee nidaabaahígíí baa dzíínílíi doo ?
23:36:010:0	Áko k'adísh Bóhólníihii t'áágééd díí kéyahígíí ádeeshdįįł biniyé níyá ? Bóhólníihii áshíłní , Nílááh , díí kéyah bik'ijį' hasínáahgo áhółdįįh .
