23:29:001:1	Ériyel áádóó bi'ana'í
23:29:001:0	Ériyel kin haal'áhígi David kééhat'į́į́ nít'éé' yę́ęgi doo hojooba' ájíníi da ! T'áá nináháhááh bik'eh bíni'dii hodílzingo áłah náhdleeh nídaoł'aah .
23:29:002:0	Áko Ériyel hach'į' hodiyeeshnááł , áádóó yínííł nitsaii áádóó nitsaago ąąh nihwiikaadii hólǫ́ǫ doo , índa konk'eh bá ná'ástł'inii shá jílį́į doo .
23:29:003:0	Áádóó ninaagóó nidahidoonéełgo ádeeshłííł , índa bíilk'idgo bikáá'dóó anaa' nihish'į́į doo áádóó nihik'ijį' bine'dóó na'abaahii yaa'áago ádeeshłííł .
23:29:004:0	Áádóó wóyahgo ándi'doolnííł , áko łeeshtahdóó yáníłti' doo ; níłch'i biinéé' łeezh dibahí biyi'dóó diits'a'ígi át'éego niinéé' diits'a' doo , índa doo hózhǫ́ hodiits'a'góó łeeshtahdóó yáníłti' doo .
23:29:005:0	Nidi ni'ana'í t'óó ahayóígíí łeezh dibahí nahalin doo , áádóó t'óó báádahadzidgo t'óó ahayóígíí azhool bił yóó'adahayółígíigi át'ée doo ; t'áá aaníí , t'áadoo hooyání baa hodoolzhish .
23:29:006:0	T'áá ałtsoní bee Bóhólníihii ii'ni' áádóó ni' naha'náago , ayóó íits'a'go níyol áádóó níyoltsoh índa kǫ' ó'oołdįįłii yee baa hodooleeł .
23:29:007:0	Áádóó ał'ąą dine'é t'óó ahayóigo Ériyel yił da'ahóbáahii , t'áá éí hach'į' áádóó yine' naadzi'ii yich'į' nidaabaahii t'áá ałtso índa hach'į' nidahwiiłnáanii éí tł'ée'go baa na'iisgeelígíí nidahalin doo .
23:29:002:1	Ízrel dine'é éí níłch'i k'ehgo doo da'oo'į́į da áádóó t'óó ádahodil'į́
23:29:008:0	Diné dichin nilíinii neiyeełgo ashą́ nízin nidi , ch'énádzi'go doo bii' siláhí da , jó'akon ; éí doodaii' diné dibáá' nilíinii neiyeełgo ashdlą́ nízin nidi , ch'énádzi'go bąąh nahaka'go dibáá' bi'niiłhééh , jó'akon ; t'óó ahayóí ał'ąą dine'é t'áá ałtso Dził Záíyan yik'ijį' da'ahigáanii ákódaat'ée doo .
23:29:009:0	Áhóót'įįdígíí bik'ee dadinoołgęęzhgo nisoozį́ áádóó danołch'íiłgo t'áadoo baa nída'ahodółt'į́'í ; bił nidahondooh , nidi wáin doo bik'ee da ; nida'nt'i , nidi doo tó diłhił bik'ee da .
23:29:010:0	Háálá Bóhólníihii yéego ajiiłhaazhígi é'ét'éego índa danółch'ilgo ánihiilaa ; danihináá' áádóó danihitsiits'iin éí áhodooníiłii yaa dahalne'ii áádóó nihá bił éédahózinii danilíinii yik'é'ésti' .
23:29:011:0	Áádóó áhodooníłígíí t'áá ałtso naaltsoos éí saad bikáá' bee ak'e'ashchį́įgo ałch'į' ályaago bidá'deeljéé' nahalin doo ; diné éí naaltsoos dayółta'ígíí yich'į' kódeił'į́įgo kódeiłní , Nánooshkąąh , díí nihá yíníłta' , áádóó ániih , Shí doo bíneesh'ą́ą da , háálá bidá'deeljéé' .
23:29:012:0	Ákohgo doo ółta'ii naaltsoos baa yít'ą́ągo kóbidi'níigo , Nánooshkąąh , díí nihá yíníłta' , áádóó ániih , Shí doo ííłta' da .
23:29:013:0	Áko Bóhólníihii ádííniid , Díí dine'é bizaad t'éí yee áhánígo shaa hakááh , áádóó bizéé' t'éí yee shaa dahaniih , nidi bijéí yee doo shit'áhíjį' nitsídaakees da áádóó dasidósinii éí diné bina'nitin bik'ehgo nidabidi'nitin .
23:29:014:0	Éí bąą díí dine'é bitahgóó t'óó bik'ee ił adahayóii , t'áá éí t'óó ayóogo baa nitsáhákeesii ádeeshłííł , jó'akon , áko bidine'é dahóyánígíí bibee hódzą' yę́ę ádadoodįįł índa hóyą́ągo nitsídaakeesii ak'ida'di'yiitįįh yę́ę nídidool'į́į́ł .
23:29:015:0	Bóhólníihii bits'ąą diné binahat'a' nízaad góyaa nídideesh'į́į́ł , danízinii doo hojooba' ájíníi da , áko hanaanishígíí chahałheeł biyi'di dahólǫ́ áádóó ádaaní , Háísh ałdó' nihoo'į́ ? Háísh ałdó' nihééhósin ?
23:29:003:1	Ízrel dine'é bik'é niná'ílyá
23:29:016:0	T'áá aaníí , t'áá ałtsoní nídeidiiyiinííł . Hashtł'ish łeets'aa' ííł'ínígíísh hashtł'ish yił aheełt'é ? Áko t'áadoo le'é Ábiilaii áyididooniił , Doo áshiinilaa da , doodaii' t'áadoo le'é hasht'eyiilaii hasht'ebiilaii áyididooniił , Doo ak'i'diitįįh da .
23:29:017:0	T'óó kónígháníjį' nááhást'ą́ , éí Lébanan kéyahgi dá'ák'eh bikáá' nida'nt'ą' dooleeł , índa dá'ák'eh bikáá' nida'nt'ą' yę́ę éí tsin bee hodíłch'il doo .
23:29:018:0	Éí yoołkáałdi bijéédaahkałii éí diyingo bee ak'e'da'ashchíinii deididoots'į́į́ł , índa doo da'oo'íinii doo bá bidayeet'į́į'ii áádóó chahałheeł biyi'dę́ę́' da'iidoołtsééł .
