23:51:001:1	Záíyan bich'į' saad bee ha'ahóníinii
23:51:001:0	Nihí t'áá ákogi át'éii bikéé' deínóhkáahii , índa Bóhólníihii há daoht'íinii , tsé bits'ą́ą́dóó hanihi'doolkaalii bich'į' dadínóh'į́į́' , áádóó a'áándóó háánihi'doogeedii dashíínółts'ą́ą́' .
23:51:002:0	Éíbraham nihizhé'é yę́ę áádóó Sárah yę́ę ninihiishchíinii bich'į' dadóh'į́į́' ; éí t'áá sáhí nilį́įgo hágo bidííniid , áádóó bik'ijiisisdli' , índa ba'áłchíní k'ee'ąą dínéest'ą́ .
23:51:003:0	Jó , Bóhólníihii éí Záíyan yił náhodooshǫǫł índa t'áá ádzaaí hazlį́'ígi náhodooshǫǫł , áádóó honoojí éí Ííden nahalingo ánéidoodlííł índa hóółtseii yę́ę Bóhólníihii bidá'ák'eh nahalin doo índa ákwii ił hózhǫ́ índa baa hózhóonii , áádóó baa ahééh hasinii índa sin diits'a'go bik'ídazhdookah .
23:51:004:0	Shidine'é danohłíinii , dashidoohts'į́į́h ; shidine'é danohłíinii , dashíínółts'ą́ą́' , háálá bee haz'áanii shits'ą́ą́dóó hahodooleeł , áádóó t'áá ákogi át'éego ááshníiłii éí dine'é danilíinii bee bá adinídíin doo .
23:51:005:0	Shit'áá ákogi át'éii áhánígóó hólǫ́ ; shibee yisdá'iildéehii ch'íhoníle' ; shibee adziilii éí diné yaa nídóot'įįł áádóó tónteel bibąąhgóó kédaayah shiba' ádaat'ée doo índa shibee adziilii yaa dadzólíi doo .
23:51:006:0	Yádiłhił bich'į' dego dadóh'į́į́' , áádóó biyaagi nahasdzáán danół'į́ ; jó , yádiłhił éí łid nahalingo yóó'adooldoh áádóó éé' haastihígi át'éego nahasdzáán hadootih índa bii' kéédahojit'íinii ákót'éego dazhdínóonééł , nidi shibee yisdá'iildéehii hool'áágóó hólǫ́ , áádóó shit'áá ákogi át'éii doo nahjį' kódoolníił da .
23:51:007:0	Dashíísółts'ą́ą́' , t'áá ákogi át'éii nihił béédahózinii , shibee haz'áanii nihijéí bii' dahólóonii , diné ándahodoołt'ihii t'áadoo bik'ee nihił daayé'í índa danihódziihii t'áadoo béédaałdzidí .
23:51:008:0	Háálá éé' nahalingo ch'osh ałchozhii dabidooyį́į́ł , áádóó aghaa' nahalingo ch'osh dabidooyį́į́ł , nidi shit'áá ákogi át'éii éí hool'áágóó hólǫ́ , índa shibee yisdá'iildéehii oochííłdóó náás oochííłgóó hólǫ́ .
23:51:009:0	Ch'éénídzííd , ch'éénídzííd , nidziil í'dílnééh , Bóhólníihii nidziilii nílíinii ; ałk'idą́ą́' oochíiłii biyi' áhoot'éhígi át'éego ch'éénídzííd . T'áá aaníí , Réíhab nihíníłgizhii ánít'į́ índa tł'iishtsoh tídiinilaaígíí ánít'į́ .
23:51:010:0	Tónteel índa tó ditáanii néíníłtseígíí ánít'į́ áádóó bik'é niná'ílyáii tónteel ditáanii bii'góó bá ch'ééhonít'i'go íinilaaígíí ánít'į́ .
23:51:011:0	Éí bąą Bóhólníihii nináyiisnii'ii t'ą́ą́' kónídoo'nííł , áádóó Záíyanjį' dahataałgo nídookah áádóó hool'áágóó ił hózhǫ́ bitsiit'áagi dahólǫ́ǫ doo índa ił hózhǫ́ áádóó baa hózhóonii bee dahodooleeł ; yínííł áádóó atínáhodindleeh bits'ą́ąjį' kódoonííł .
23:51:012:0	Shí , t'áá aaníí shí nihił náhooshǫǫł ; háísh ánít'į́įgo diné dadootsaałii áádóó diné biye' éí tł'oh nahalingo ábidi'doolníiłii bééníldzid ?
23:51:013:0	Áko yádiłhił k'ídeists'ǫ́ǫdii índa nahasdzáán bitł'ááh siláii niiníláii t'áá éí Ániilaii Bóhólníihii baa yisínínah , áádóó t'áá ákwíí jį́ nide áhósinii yee atíníł'íinii k'adę́ę áháłdįįh nahalingo bik'ee nił yée'ii háísh ánít'į́ ? Háájísh nide áhósinii yee atíníł'íinii ?
23:51:014:0	Dabi'disnáanii tsxį́įłgo béédadidoochił áádóó a'áán góyaa doo dadínóonéeł da índa bibááh doo ádadoodįįł da .
23:51:015:0	Háálá shí nihiBóhólníihii Diyin God nishłį́ ; éí tónteel aháháshk'oołgo deílk'oołígíí ayóó ádeits'a' ; éí t'áá ałtsoní bee Bóhólníihii wolyé .
23:51:016:0	Áádóó yádiłhił nideeshłééł índa nahasdzáán bitł'ááh siláii nideeshłééł biniyé shizaad nizáí lá índa shíla' bichaha'oh nik'ísíłti' , áko Záíyan ábidideeshniił , Shidine'é nohłį́ .
23:51:017:0	Ch'éénídzííd , ch'éénídzííd , Jerúsalem nílíinii , yiizįįh ; nihiBóhólníihii hashké nídzingo dah yookáałii daohdlą́ą'ii atah hoditłid bitł'ááshjání daohdlą́ą́' índa ałtso bąąh hadasoonii' .
23:51:018:0	Hayáázh nijiishchíinii bitahgi doo ła' nahonótą́'í da , índa hayáázhké t'áá ałtso jineesáanii t'áadoo ła' hála' yiyiiłtsood da .
23:51:019:0	Éí naakigo haz'ą́ naa honíle' ; háishą' nąąh bíni' doo ? Doo siláhí da índa ałtso hóóchxǫ' , dahodidoochįįł índa diltłish bee na'atseed doo . Haash yit'éego handi'yeeshniił ?
23:51:020:0	Niyáázhké bił ch'aa dahazlį́į́' ; jádí éí tł'óół naneesdizii yiih yíyá nahalingo kintahdi dah da'diitiingóó naazhjéé' ; niDiyin God hodeeztehgo Bóhólníihii yee hashké niidzį́'ígíí bee hak'i yayiiyį́ .
23:51:021:0	Éí bąą k'ad díí dadoohts'į́į́h , nihich'į' hodiiznáa'ii , wáin t'áágééd nidi nídadí'nóohdlą́ą'ii ,
23:51:022:0	Bóhólníihii éí nihiBóhólníihii índa nihiDiyin God bidine'é yá ná'ookąąhii kóní , Shoo , atah hoditłid dah yíkáłígíí t'áá éí hashké nísdzinii bitł'ááshjání nílák'ee háíką́ ; doo ła' náádadoohdlį́įł da .
23:51:023:0	Nidi atídanihił'íinii bílák'e deeshkááł ; éí nihii' naazíinii áyidííniid , Danohjeehgo nihikáá'góó ch'ídiikah . Danihits'íís bee łeeshtahgóó noojée'go kintahgóó atiin nidahonohłingo nihikáá' ch'éheeskai .
