23:30:001:1	Ííjip dine'é t'áadoo biniyéhígóó bił aha'deet'ą́
23:30:001:0	Áłchíní nidaalteehii danilíinii doo hojooba' ájíníi da , ní Bóhólníihii . Éí na'ak'íyádaałti' nidi , shí shiłgo éí dooda ; yindaha'áa nidi , shí shiníłch'i bee éí dooda , áko éí bąąhági át'éii yínáádayii'nííł ;
23:30:002:0	Féro bidziilii yee dabidziil áda'didoolnííł biniyé áádóó Ííjip dine'é yine' dadoodzih biniyé yaa dadzólíigo Ííjip kéyah góyaa deíkááh , nidi shí da'íídóokił yę́ęgi t'áadoo ádaadzaa da !
23:30:003:0	Éí bąą Féro bidziilii bee nihaa yádahodoosįįł áádóó Ííjip dine'é bine' dadoohdzih baa da'íínóhłíhígíí nihił dahodoołąął .
23:30:004:0	Jó , Zówan kin haal'áadi binanit'a'í danilíinii hólǫ́ áádóó dabi'dool'aadii Héíniiz hoolyéhíjį' neheeskai .
23:30:005:0	Diné doo áká oojeeh át'éii áádóó bine' adoodzihgi doo bohónéedzą́ą daígíí , nidi t'óó baa yáhóósįįdígíí áádóó t'óó baa oodlohígíí t'áá ałtso t'óó yaa yádaniizį́į́' .
23:30:006:0	Shádi'áahdi nidaaldlooshii át'ée dooleełii ch'ét'ą́ . Náshdóítsoh bitsiijį' ditł'ooígíí áádóó biyázhí áádóó tł'iish báhádzidii áádóó tł'iish naat'a'ii kéyah biyi'dę́ę́' dahoníle'ígíí , éí kéyah biyi' ach'į' nahwii'ná áádóó áháchį' hólǫ́ǫjį' índa diné doo áká oojeeh át'éejį' deit'íinii bitélii yázhí bá deíłjiid doo , áádóó binaalye'é da'ílíinii ghą́ą́'ask'idii bá deíłjiid doo .
23:30:007:0	Háálá Ííjip dine'é t'áadoo biniyéhígóó ch'ééh áká iijeeh doo ; éí bąą yéego díí bee hadeeshghaazh , Dabidziil t'óó áhodéeszée' doo .
23:30:008:0	K'ad nílááh , binááł bikáá' ak'e'elchíhígíí bikáa'gi bik'e'íłchí , áádóó naaltsoos biyi' bik'e'íłchí , áko náás hoolzhishgóó hool'áágóó ahóyéel'áágóó bee bééhózin dooleeł .
23:30:009:0	Díí nidaalteehii dine'é danilį́ ; áłchíní dabiyooch'íidii , Bóhólníihii yee has'áanii doo dayíists'ą́ą'ii danilį́ .
23:30:010:0	Éí áhodoonííł bił béédahózinii ádeiłní , T'áadoo ił áhát'į́ hádadóh'į́'í , áádóó áhodooníiłii yaa dahalne'ii ádeiłní , T'áá ákogi át'éii t'áadoo bee nihił dahołne'é , nidi saad daalzhólígíí bee yádaałti' índa na'adlo' baa dahołne' .
23:30:011:0	Nahjį' hahohkááh , atiin bits'áhóhkááh , Ízrel dine'é biDiyin nilíinii nihidááhdóó t'áadoo baa ch'ídahoyoh'aahí .
23:30:012:0	Éí bąą Ízrel dine'é biDiyin nilíinii ání , Díí saad dasoo'įįdgo áádóó ade ádahwíínóhsinígíí índa na'adlo' bada'íínóhłíigo éí bik'ehgo ádanoht'éhígíí biniinaa ,
23:30:013:0	díí doo ákwii át'éii éí wódahgo astł'ingo nídíníizhoozhgo k'adę́ę naałdaasígíí nahalin t'áadoo hooyání nááłdázígi át'ée doo .
23:30:014:0	Áádóó hashtł'ish łeets'aa' jists'ilgo díízéígíí nahalingo yidoołts'ił ; doo ła' áidoosįįł da , áko díízéígíí doo ła' kǫ' bii'dę́ę́' tsííd bii'dóó nídidoot'áał da , doodaii' tó hahadleehdóó tó bee nídidoodziłgo doo bik'ídí'nóotáał da .
23:30:015:0	Jó , Bóhólníihii Diyin God , éí Ízrel biDiyin ání , Shich'į' t'ą́ą́' kónídaahdzaago áádóó háádadoołyįhgo yisdádoohkah nít'éé' ; dadínółhélígíí áádóó doo nitsahadáhígíí bee nihidziil doo nít'éé' , nidi doo danoozį́į' da .
23:30:016:0	Áko , Dooda , łį́į́' nihił dah didoojah , dadohní ; éí bąą adadínóohchééł áádóó , Łį́į́' dadilwo'ii nihił nídidoojah ; éí bąą danihinéełchéłígíí doo nidadilna' da doo .
23:30:002:1	Diyin God bibee ajooba' bidine'é yee yik'izhdoodliił
23:30:017:0	T'áá łah dilt'éhí hashké niidzį́'ígíí biniinaa t'ááłáhídi míilgo dadínóochééł ; ashdlalt'é hashké daniidzį́'ígíí biniinaa dadínóochééł , áko kónihi'diilyaajį' éí dziłghą́ą'gi nídíshchíí' bits'áoz'a' bąąh ásdįįdgo íí'áhígíí nidahonohłin doo índa dah na'at'a'í dah yisk'id bighą́ą'gi dah na'at'a'í nidahonohłin doo .
23:30:018:0	Ákondi Bóhólníihii nihaa jiidoobaał yiniyé nihiba' át'ée doo áádóó nihaa a'ááh niizį́į'jį' ayóó át'é ábi'didoolnííł , háálá Bóhólníihii éí Diyin God doo haada yit'éégóó ááníiłii nilį́ ; yiba' ádaat'éii ts'ídá bik'idahojidlí .
23:30:019:0	Dził Záíyandi , Jerúsalem kin haal'áagi kéédahat'į́ danohłíinii , doo atínínáádadinohdleeh da doo ; nicha yidiizts'ą́ą'go t'áá íiyisí nihaa jiidoobaał ; t'áá yidiizts'ą'í nihich'į' ééhodoosįįł .
23:30:020:0	Áádóó ach'į' nahwii'ná biyi' bááh t'įįhdígo niha'doołtsoł índa nihich'į' nahwii'náa nidi , tó t'įįhdígo nihaidookááł , áádóó nahinitiní doo nídidoot'į́įł da , nidi nanihinitiní danół'į́į doo ,
23:30:021:0	áádóó nish'náajigo , doodaii' nishtł'ajigo nídasooyizgo nihine'jigo saad dadidoohts'į́į́ł kóníigo , Díí honít'i'ii át'é , ákǫ́ǫ́ deínóhkáah doo .
23:30:022:0	Eda'alyaii béésh łigaii áádóó óola bik'í daasti'ii dadoołchxǫǫłgo yóó'adahidoołkał ; ąądii biniyé anílí choo'íinii yóó'ahiltł'iidígi át'éego yóó'adahidoołtł'iłgo ádadidoohniił , Nówehjį' nileeh !
23:30:023:0	Áko nihi'álástsii' biniyé níłtsą́ nihich'į' kwíidoolííł , áádóó k'idadi'doohłééł , índa ni' bikáá' nídadí'nóot'į́įłgo éí aneest'ą' yá'át'éehii bee áda'azįįd doo ; éí yoołkáałdi nihilį́į́' kéyah bikáá' hóteelgo nanise' ałtaas'éí deiyą́ą doo .
23:30:024:0	Béégashii bee na'anishígíí áádóó télii ániid nidaakaígíí bee nidahwiildlaadii éí łeezh bee hahalkaadí áádóó tł'oh bee naaljoołí bee bich'iyą' ałtaa násdziidgo naaldlooshii bidą́ą́' łikanii deiyą́ą doo .
23:30:025:0	Áádóó éí yoołkáałdi diné lą'í nabi'diztseedgo , kin yadaa'áii na'aheesdáazgo dził aghádaaz'áii t'áá ałtso áádóó agháago deílk'idii t'áá ałtso bighą́ą'gi tooh áádóó tó danílį́į doo .
23:30:003:1	Bóhólníihii éí Asíriya dine'é atíidoolííł
23:30:026:0	Éí yoołkáłígíí biyi' bidine'é tídadiilyaii yik'i da'deezdizgo áádóó adadeeznehígíí náyííłdzíi'go tł'éhonaa'éí éí jį́honaa'éí nahalingo adiníłdíin doo , áádóó jį́honaa'éí bee adinídínígíí éí tsosts'id jį́ adinídíín bíighahdi ahą́ą́h nániiláago adiníłdíin doo .
23:30:027:0	Shoo , Bóhólníihii báhóóchįįdígíí yee diltłi'go áádóó bilid diłhił nahalingo nízaadę́ę́' honíle' ; báháchį'go yáłti' áádóó bitsoo' kǫ' ó'oołdįįłii nahalin ,
