23:24:001:1	Nihokáá'góó Bóhólníihii atí'doolííł
23:24:001:0	Shoo , Bóhólníihii nahasdzáán bikáá'góó doo siláhígóó áádóó t'áadoo biniyéhí da danilį́įgo ádeile' áádóó nahasdzáán bikáá' áhoot'éii ałtso yiyííłchǫ' índa yikáá' kéédahat'íinii tainooskaad .
23:24:002:0	Áko díí kót'ée doo : diné ádabidi'doolníłígi át'éego nááda'iiłniihii ałdó' ákódabidi'doolnííł . Naalte' áádóó yá nidaal'a'ígíí ałdó' ákót'ée doo ; ch'ikéí áádóó yá nidaal'a'ígíí ałdó' ákót'ée doo ; na'iiłniihí áádóó yaa nida'iiłniihígíí ałdó' ákót'ée doo ; béeso a'iiníiłii áádóó ba'ii'níiłii ałdó' ákót'ée doo ; ínáóltą'í neiyiiléhígíí áádóó baa hindéhígíí ałdó' ákót'ée doo .
23:24:003:0	Nihokáá'góó t'áá át'é doo siláhí da doo áádóó ałtso hodoochǫǫł , háálá Bóhólníihii ákót'éego yee haadzíí' .
23:24:004:0	Nahasdzáán yínííł si'ą́ áádóó áádįįł ; nihokáá' dine'é doo dabidziil da yileeł áádóó áádįįł ; nihokáá' dine'é ayóó ádaat'éii doo dabidziil da yileeł .
23:24:005:0	Nahasdzáán yíchǫ' , háálá yikáá' kéédahat'ínígíí bee nahaz'áanii doo yik'eh dahóół'įįd da , áádóó bik'ehgo hoogáałii łahgo át'éego ádayiilaa índa hool'áágóó bee aha'deet'áanii k'ídeizti' .
23:24:006:0	Éí bąą nahasdzáán hóyée'go bá ha'oodzí'ígíí bee ałtso ásdįįd , áádóó yikáá' kéédahat'ínígíí ádidahodiilt'i'go bik'ihodiit'ą́ ; éí bąą nihokáá' dine'é adabi'diisk'ą́ą́' , áádóó t'áá díkwíí yidzíí' .
23:24:007:0	Wáin ániidíii ásdįįd ; ch'il na'atł'o'ii daniiłna' ; bił dahózhóonii t'áá ałtso ádił hadahadzooł .
23:24:008:0	Ásaa' yilghaałígíí bee nida'a'néego bee ił hózhóonii dahidiiłheeł ; diné bił dahózhǫ́ǫgo hahóół'áhígíí dahidiiłheeł ; tsin tł'óół bąąh daneelzhee'go bee na'a'néego bee ił hózhóonii dahidiiłheeł .
23:24:009:0	Wáin deidlą́ągo doo dahataał da ; tó tsi'na'iiłáii deidlą́ągo bił dadích'íí' .
23:24:010:0	Éí kin haal'áhígi diné t'óó bił dahazkéego t'óó haadago haz'ą́ ; kin t'áá ałtso dáda'deeskaalgo doo ła'da yah azhdoogáał da .
23:24:011:0	Kintah da'nítiingi wáin yíká daacha ; ił hózhóonii t'áá ałtso ásdįįd ; kéyah bikáá'góó dloh hasinii bił ahóóyá .
23:24:012:0	Éí kin haal'áhígi ił chohoo'į́ ádin áádóó yah ada'iiztiinígíí ałtso dááchxǫ' .
23:24:013:0	Éí kéyah biyi' dine'é bitahgi kóhoot'éhígíí bąą áliv tsin yigádígíí nahalin doo áádóó ch'il na'atł'o'ii bíí'ohígíí náhaasdláá' nahalin doo .
23:24:014:0	Dabiinéé' yéego didoots'į́į́ł ; tónteeldę́ę́' ayóó íits'a'go hadadidoolwosh ; Bóhólníihii yee ayóó át'éii yaa dahaniihgo dahataał doo .
23:24:015:0	Éí bąą ha'a'aahdi kéédahoht'íinii áádóó tónteel bibąąhgóó kédaayahgi kéédahoht'íinii , Ízrel dine'é biDiyin God Bóhólníihii bízhi' bee deínóhshíigo baa dahohniih .
23:24:016:0	Nahasdzáán nidahonees'ą́ą́dę́ę́' t'áá ákogi át'éii nilíinii baa ha'niihgo sin dasidiits'ą́ą́' . Nidi ádííniid , Doo shitah hwiina' da , doo shitah hwiina' da , shich'į' yíiyá łáane' ! Diné nináda'dii'aahii binda'adlo' ; t'áá aaníí , diné nináda'dii'aahii t'áá íiyisí binda'adlo' .
23:24:017:0	Nihokáá'góó kéédahoht'íinii , yéé' áádóó a'áán índa łoh nihik'i náhoodleeł .
23:24:018:0	Áádóó ákódzaago t'áá háiida bił yéé' hazlį́į'go dínéezhchą́ą'ii éí a'ą́dootłish , áádóó t'áá háiida a'áándę́ę́' haayáhígíí éí łoh bąąh nidoot'ááł , háálá wót'ááhdę́ę́' tsésǫ' ąą ádaat'é , áko nahasdzáán bee niłdzilii daditłid .
23:24:019:0	Nahasdzáán éí ałtso sits'il ; nahasdzáán éí ałtso diitaa' ; nahasdzáán éí t'áá íiyisí ditłid .
23:24:020:0	Nahasdzáán éí adláanii nahalingo na'nit'i áádóó kin bił ni'diyołígíí nahalin , háálá bikáa'gi bee haz'áanii k'éti'ii bee ayóó áníłdáasgo bidadoolts'iłgo doo ninádoolts'ił da .
23:24:021:0	Áko índa éí yoołkáałdi wót'áahdi ayóo bídahólníihgo dah deínéehii áádóó nihokáa' gi aláahgo naat'áanii danilíinii éí Bóhólníihii atíbidoolííł .
23:24:022:0	T'áá awáalyaaí a'áanjį' ahą' ályaaígi át'éego ahą' ábidi'doolníiłgo awáalyaa góne' bidádi'doolkał ; łą'í yiską́ą́dóó bik'ijį' índa atídabidi'doolnííł .
23:24:023:0	Ooljéé' t'óó bił ahodooyóí áádóó jį́honaa'éí yádínóozįįł , háálá Dził Záíyan hoolyéhígi áádóó Jerúsalem kin haal'áagi áádóó bidine'é t'áá náshiinídą́'ídi hastóí yidááhdóó t'áá ałtsoní bee Bóhólníihii ayóó ánoolningo nant'áa doo .
