56:3:001:1	Da'oodlání kót'éego ádaaníił doo
56:3:001:0	Oodlání danilíinii díí béédabiyíłnííh: naat'áanii danilínígíí índa bídahólníhígíí bídahojółníih doo, bik'eh dahojíł'į́į doo, t'áá ałtsojį' yá'át'ééh ó'oo'níiłii bee hasht'e'ádazhdólzin doo, 
56:3:002:0	áádóó t'áadoo diné ła' nichxǫ́'ógo baa yádajiłti'í doo, t'áadoo saad ahídajit'áhí doo, nidi ha'át'e' ádaadin doo, índa t'áá ałtsojį' diné t'áá ałtso joosánígo bił dajílį́į doo. 
56:3:003:0	Háálá nihí ałdó' łah doo dahoniidzą́ą da nít'éé', doo ak'eh dahoniil'į́į da nít'éé', yóó'adanihidi'niit'ááh nít'éé'. Adáhonooníinii índa honeeni ał'ąą ádaat'éii binaalte' daniidlį́į́ nít'éé'. Áká nideiit'áago índa da'iilch'į́įdgo, nihik'eda'diniihgo índa ak'edadinii'niihgo nihídayéełkaah nít'éé'. 
56:3:004:0	Nidi Diyin God Yisdánihiiníiłii diné bich'į' yee jooba'ii índa yee ayóó'ó'ó'níinii yit'íní silį́į'go 
56:3:005:0	yisdánihíínil. T'áá nihí ts'ídá t'áá ákogi át'éego ádeiidzaii binahjį' éí dooda, nidi t'áá bí nihaa a'ááh niizį́į'go yisdánihíínil, náádanihi'dizhchį́įgo táádanihizgiz, índa Níłch'i Diyinii bee iiná ániidíii nihiih náyoodlá. 
56:3:006:0	Éí Jesus Christ Yisdánihiiníiłii bee łą́ągo nihiih yiyííł'a', 
56:3:007:0	áko yee jooba'ii bee ts'ídá t'áá ákogi ádaniit'éego nihá haadzíi'go iiná doo ninít'i'ii bíká nihił chohoo'ínígíí nihíí' dooleeł. 
56:3:008:0	Ákóhodoo'niidii éí t'áá aaníí, áádóó Diyin God dayoosdląądii ts'ídá yá'át'ééh góne' ádaaníił doo biniyé díí bee hahásdzí'ígíí bich'į' íł'áago yéego bee na'nítin doo nósh'ní. Díidí t'áá íiyisí diné bá yá'ádaat'ééh áádóó chodao'íinii ádaat'é. 
56:3:009:0	Nidi doo áháyą́ą́góó na'ahíyá'áti', áádóó da'ahílchíihii baa dahane'ii, áádóó ahiní'diiltłáád, índa bee haz'áanii Mózes baa deet'áanii biniinaa ałgha'dit'ááh t'áadoo atah baa nanináhí. Éí doo chodao'į́į da índa t'áadoo nídanidlíní da. 
56:3:010:0	Diné ła' ałts'á'áldahgo ída'ale'ii, t'ááłáhídi éí doodaii' naakidida, T'áadoo ánít'íní, nábididíí'niiłgo índa t'áadoo baa nánít'íní doo. 
56:3:002:1	Táítas bee nabidi'neestą́ą'ii bee naaltsoos niilt'i'ii
56:3:011:0	Háálá nił bééhózingo diné ákót'éii honít'i'ii yits'áníyáago ádił ni'iisííh índa t'áá bí bibąąhági át'éii yee ádá nihoot'ą́. 
56:3:012:0	Ártemas éí doodaléi' Tíkikas nich'į' ííł'a'go, t'áá ha'át'éhígoda Nikápolisdi shaa díínááł, háálá ákwe'é shidoohah nisin. 
56:3:013:0	Zíínas, bee haz'áanii yína'niłtinii, índa Apálas, t'áá ha'át'íhída doo yídin nilį́į́góó ádíílíiłgo dah náádidoot'ash. 
56:3:014:0	Índa bíni'dii da'oodlání aadi kéédahat'ínígíí yá'át'ééh góne' ádaaníił dooleełígíí yídahwiidooł'ááł, áko t'áá íiyisí anídahazt'i'gi chodao'į́į doo, áko doo t'áadoo biniyéhígóó dahináa da dooleeł. 
56:3:015:0	Bił naháshtánígíí t'áá ałtso k'é daniłní. Oodlą' bee ayóó'ádanihó'níinii nihá k'é dabijiniih.T'áá ánółtso ajooba' nihił hólǫ́ǫ doo. T'áá ákót'ée doo.
