43:8:001:1	Tr'injaa Vakai' T'inchy'aa Kwaa Giiky'aanjik
43:8:001:0	Gaa Jesus ąįį Taih Vakat Olives Nahshii ts'ą' haazhii. 
43:8:002:0	Gęhdaa vanh dąį' hee Kharigidiinjii Zhee Gwachoh gwits'eehoozhii. Lęįį nąįį yeelin niinjil ts'ą' dhidii ts'ą' geegoovąąhtan. 
43:8:003:0	Law eech'ǫąąhtan nąįį chan ts'ą' Pharisee nąįį haa dinjii va'at ch'izhii dinjii haa dhichįį ik'igaanjik ąįį nihdeegąąhchįį ts'ą' juu nąįį datthak ts'ą' nigiiyąąhchįį. 
43:8:004:0	“Geech'ǫąąhtan,” Jesus agahnyąą, “Jii tr'injaa dinjii va'at ch'izhii dinjii haa dhichįį vik'igwaanjik. 
43:8:005:0	Moses dii-law zhit tr'injaa jyaa dii'in t'ee kii haa tr'ahaahkhwaa goo'aii nyąą. Akwat, geenjit deehiinjyaa?” 
43:8:006:0	Goodhaii nideegiihaatthal eenjit jyaa giiyahnyąą t'iginyąą, gwik'it t'iizhik giiyahaanjyaa eenjit.Gaa Jesus ąįį khatroogwiintthaii ts'ą' nankat danleetth'ak haa ch'adąąntł'oo. 
43:8:007:0	Zhat nigiilzhii ts'ą' gwintł'oo giiyųąhkat, ndak ninehjin ts'ą' jyaa goovahnyąą, “Nakhwatee juu vatr'agwaanduu gwakwaa, ąįį jii tr'injaa adan tr'ookit kii haa yatthat.” 
43:8:008:0	Chan hee khatroogwiintthaii ts'ą' nankat ch'adąąntł'oo. 
43:8:009:0	Nijin jii gwigwiitth'ak dąį', gootee googwąąnchy'aa ts'ą' gihłeegihii'oo, juu vaghaii lęįį nąįį tr'ookit. Jesus zhrįh zhat dhidii, ąįį tr'injaa chan zhat nadhat. 
43:8:010:0	Ndak ninehjin ts'ą' jyaa nyąą, “Tr'injaa nijin neegahoojil? Nik'ee gwintł'ee nahahchyaa ch'ihłak dząą dhidii?” 
43:8:002:1	Jesus Nankat Gwach'ahdrii Nilii
43:8:011:0	“Shik'eegwaadhat datthak gihłeegahoojil,” ąįį tr'injaa nyąą.“Akwat, shįį chan duuyeh narahaahkhwaa geenjit gwintł'ee nahałchįį t'oonchy'aa, oo'an neehiindii ts'ą' chan natr'agwaanduu neegooli' shrǫ'.” Jesus yahnyąą. 
43:8:012:0	Nijin chan hee Jesus goots'ą' neegeedi', “Jii nankat gwach'aadrii ihłii. Juu shaa ahaa t'ee gwandaii aadrii hee'yaa ts'ą' chan duuyeh tǫǫ gwizhit ahaa.” 
43:8:013:0	Ąįį Pharisee khaihkwaii nąįį jyaa giiyahnyąą, “Et'ee nahzhrįį ideenjit ginkhii akwat deiinyąą datthak zhyaa t'iinyąą.” 
43:8:014:0	“Nakwaa!” Jesus gavahnyąą, “Shahzhrįh ideenjit giihkhii ji' gaa deihnyąą datthak łi'didlii nilii t'inchy'aa, nijin gwats'an ihshyaa akwat nijin gwits'eehihdyaa gaashandaii geh'an. Nakhwan ąįį nijin gwats'an tr'iizhii akwat nijin neehihdyaa gaakhwandaii kwaa. 
43:8:015:0	Dinjii vidrii zhit t'oonchy'aa gaakhwandaii kwaa gwiizhit jyaanchy'aa dohnyąą, shįį ąįį duuyeh dinjii agwarahahshįį eenjit gwantł'ałchįį. 
43:8:016:0	Gaa jyaa dihiinjyaa ji', łi'didlii haa t'ihihjyaa, shįį zhrįh jyąhts'ą' sheegoo'aii kwaa, Gwiti' shihił'e' chan shaa t'inchy'aa. 
43:8:017:0	Nakhwa-law zhit gwadanakhwatł'oo, nijin vandah t'igwiizhik neekwaii nąįį łi'didlii t'igwinyąą ginyąą dąį' gwizhrįh łi'didlii nilii. 
43:8:018:0	Ideenjit giihkhii ąįįts'ą' Shiti' shihił'e' chan sheenjit ginkhii.” 
43:8:019:0	“Niti' adaajii?” giiyahnyąą.“Shaakhwandaii kwaa ts'ą' Shiti' chan vaakhwandaii kwaa, shaakhwandaii ji' Shiti' chan vaakhwahandaii goo'aii t'oonchy'aa.” Jesus gavahnyąą. 
43:8:003:1	Nijin Gwats'an Hihshyaa Duuyeh Gwats'ą' Hohjyaa
43:8:020:0	Kharigidiinjii Zhee Gwachoh gwizhit jii kwaii jyaa nyąą, ąįį nijin gwizhit gwintł'eegaandak goo'aii gwizhit. Ąįįts'ą' t'ee ch'ihłak gaa zheegwaazhrąįį niyąąhchįį kwaa, tth'aii zhat veegoo'aii kwaa geh'an. 
43:8:021:0	Jesus chan hee jyaa dagoovahnyąą, “Hihshyaa t'oonchy'aa; shikeegohǫǫh'yaa gaa nakhwatr'agwaanduu zhit nahohthaa nijuk hihshyaa izhit duuyeh gwats'ą' hohjyaa.” 
43:8:022:0	Ąįįts'ą' t'ee Israel gwakhaihkwaii nąįį jyaa ginyąą, “Nijin gwats'ą' hihshyaa ąįį duuyeh gwats'ą' hohjyaa nyąą akwat adahaaghwaa lee t'inyąą?” 
43:8:023:0	Jesus jyaa gavahnyąą, “Yeezhak gwats'an ohdaa gaa shįį ąįį yeedak gwats'an ihshyaa. Dzaa nankat gwats'an tr'oojil gaa shįį ąįį nankat gwats'an ihshyaa kwaa. 
43:8:024:0	Ąįį geh'an t'ee nakhwatr'agwaanduu zhit nahohthaa nakhwaihnyąą. ‘Juu Ihłii Ąįį Ihłii.’ Gwik'injuhkhit kwaa ji' t'ee ąįį geh'an nakhwatr'agwaanduu zhit nahohthaa.” 
43:8:025:0	“Juu inlii?” giiyahnyąą?Jesus jyaa gavahnyąą, “Juu ihłii tr'ookit dąį' gwats'an nakhwaihnyąą ąįį ihłii t'oonchy'aa. 
43:8:026:0	Deekhwa'ya' eenjit gwintł'ee nakhwahałchyaa, gaa juu shihił'e' ąįį Łi'didlii nilii, ąįįts'ą' jidii vats'an gwiihtth'ak ąįį zhrįh jii nankat eegwahaaldak t'ihnyąą.” 
43:8:027:0	Gwiti' eeginkhii t'inyąą giiyaandaii kwaa. 
43:8:028:0	Ts'ą' t'ee Jesus jyaa gavahnyąą, “Nijin Gwidinji' ndak gahoohchįį t'ee ‘Juu Ihłii Ąįį Ihłii!’ gaakhwahandaii, izhit t'ee shakhai' t'ihnyąą kwaa ts'ą' Gwiti' jidii geeshoołtin ąįį gwaałtan t'ihnyąą gaakhwahandaii. 
43:8:029:0	Juu shihił'e' ąįį shaa nilii, akhashoonyąą kwaa, doo'ya' shoonyąą gwik'it t'ishi'in geh'an.” 
43:8:004:1	Deenaadąį' Gwats'an Dinjii Abraham Ts'an Deedhaa
43:8:030:0	Lęįį nąįį Jesus deiinyą' giik'injiighit. 
43:8:031:0	Ąįįts'ą' t'ee juu gootee giik'iinjiighit nąįį jyaa ahnyąą, “Jii geenakhwaałtan kwaii gwik'eegǫhthat ji', łyaa shitsyaa ǫhłįį, 
43:8:032:0	łi'didlii haakhwahandaii, ts'ą' gadanakhwahahchyaa.” 
43:8:033:0	“Abraham vats'an direedhaa, ąįįts'ą' ch'ihłak gaa ts'an tr'iinli' kwaa. Deiinyąą t'iinyąą, ‘Gadanakhwahałchyaa.’ diinyąą dąį'?” giiyahnyąą. 
43:8:034:0	Jesus jyaa gavahnyąą, “Łi'didlii eenakhwaagwahaldak: juu datr'agwaanduu gwahtsii t'ee tr'aanduu goots'ą' k'eegwaadhat k'it t'oonchy'aa. 
43:8:035:0	Ąįį juu slave nilii nąįį digizheh k'ąą gwizhit dagalak nąįį tee gwats'an giheelyaa kwaa gaa Gwidinji' ąįį khit zhat gwats'an heelyaa. 
43:8:036:0	Gwidinji' gadanakhwaahchįį ji', t'ee łyaa khit geenjit gadahohdaa. 
43:8:037:0	Abraham ts'an dohthaa gaashandaii, ąįį googaa shęhdaa tr'agahoh'aa geetr'agoh'in, jidii geenakhwaałtan gwik'iinjuhkhit kwaa geh'an. 
43:8:038:0	Jidii Shiti' shats'ą' gwigweełch'in ąįį geenakhwaagwaldak, gaa nakhwan ąįį nakhwati' deenakhwahnyąą ąįį gwizhrįh gwik'eegǫhthat.” 
43:8:039:0	“Diilak t'ee Abraham t'inchy'aa,” giiyahnyąą.“Abraham vats'an dohthaa ji', nakhwan chan vigwitr'it t'agahoh'yaa. 
43:8:040:0	Vit'eegwijyąhchy'aa vats'an łi'didlii diitth'ak ąįį geenakhwaagwaldak gwizhrįh t'ishi'ya'. Ąįį googaa shęhdaa tr'agahoh'aa geetr'agoh'in. Abraham jyaa dee'ya' kwaa t'oonchy'aa! 
43:8:041:0	Nakhwati' dee'ya' ąįį vik'it t'akhwa'in,” Jesus gavahnyąą.“Kwaiitak-gii tr'inlii kwaa, Vit'eegwijyąhchy'aa zhrįh diiti', diikhwan zhrįh vidinji' łi'didlii tr'iinlii,” ginyąą. 
43:8:042:0	Jesus jyaa gavahnyąą, “Vit'eegwijyąhchy'aa nakhwati' nilii ji', sheet'ahoohkhyaa, Vit'eegwijyąhchy'aa vats'an ihshyaa ts'ą' juk dząą dhidii geh'an. Shakhai' dząą gwats'ą' hoiizhii kwaa gaa dząą gwats'ą' shihił'e'. 
43:8:043:0	Jaghaii deiinyąą t'iihnyąą datthak gaakhwandaii kwaa? Deiinyąą t'ihnyąą ąįį goohtth'ak nohthan kwaa geh'an t'oonchy'aa. 
43:8:044:0	Nakhwati' Ch'anky'aa Tr'aanduu vigii ǫhłįį ts'ą' nakhwati' nilii ts'ą' doo'ya' nakhoonyaa gwik'it t'akhwa'in. Tr'ookit dąį' gwats'an dinjii aghan nilii. Ch'ihłok gaa łi'didlii nilii kwaa, łi'didlii vizhit kwaa geh'an. Oots'it zhrįh gwizhit nilii geh'an tr'oots'it gwiti' nilii. 
43:8:045:0	Łi'didlii eegiihkhii geh'an shik'injuhkhit kwaa. 
43:8:046:0	Nakhwatee ch'ihłak nik'ee vandah shatr'agwaanduu gwałtsii shąąh'ya'? Łi'didlii eegiihkhii t'ihnyąą ji' jaghaii shik'injuhkhit kwaa? 
43:8:005:1	Nats'ąą Jesus Ideeginkhii
43:8:047:0	Juu Vit'eegwijyąhchy'aa ts'an ahaa t'ee Vit'eegwijyąhchy'aa viginjik oołk'įį. Nakhwan ąįį Vit'eegwijyąhchy'aa vats'an ohdaa kwaa, ąįį geh'an ch'oodǫǫhk'įį kwaa t'oonchy'aa.” 
43:8:048:0	Israel nąįį Jesus jyaa gahnyąą, “Samaria gwich'in inlii ts'ą' nizhit ch'anky'aa iizųų dhidii ąįį łyaa lee t'igwinyąą?” 
