43:19:001:0	Ąįįtł'ęę Pilate ąįį Jesus oohjik ts'ą' tr'ąhtrii yeenjit gwiłtsąįį.  
43:19:002:0	Niveet'ah'in nąįį khoh haa giiyeenjit ts'eh iłtsąįį ąįį giiniin'ąįį, ik Purple ąįį chan giinaahtsųų, 
43:19:003:0	giits'ą' niinjil ts'ą' shroondaii jyaa giiyahnyąą, “Jews nąįį King niighyuk goondaii!” Ąįįts'ą' giits'ą' nineedal ts'ą' giiyant'an. 
43:19:004:0	Pilate chan hee chineezhii ts'ą' dinjii nąįį jyaa ahnyąą, “Gooh'in, jaghaii tr'ahaahkhwaa veegwaał'in kwaa ąįį gahǫǫh'yaa eenjit nakhwats'ą' chahałchyaa.” 
43:19:005:0	Ąįįts'ą' t'ee Jesus chiinzhii, khoh ts'eh naa'aii ts'ą' ik Purple chan naazhii. Pilate dinjii nąįį jyaa ahnyąą, “Gooh'in, jii dinjii nǫh'in!” 
43:19:006:0	Nijin zhit gwak'ąąhtii chan ts'ą' giinkhih kįh dilk'ii nąįį nigiiyiił'in dąį' gazhral ts'ą' jyaa ginyąą, “Gohtsak! Gohtsak!”Gaa Pilate ąįį jyaa gavahnyąą. “Nakhwan ąįį ǫhjii ts'ą' gohtsak, shįį ąįį jaghaii geenjit tr'ahaahkhwaa veegwaał'in kwaa!” 
43:19:007:0	Jews nąįį jyaa ginyąą, “Vit'eegwijyąhchy'aa Vidinji' ihłii nyąą geh'an dii-law zhit tr'ahaahkhwaa goo'aii gwinyąą.” 
43:19:008:0	Nijin Pilate jii gwiitth'ak dąį', gwandaa naajat dhidlit. 
43:19:009:0	Dizheh gwachoh nihdineezhii ts'ą' Jesus jyaa ahnyąą, “Nijin gwats'an inkhaa?”Gaa Jesus yidii ginkhii kwaa. 
43:19:010:0	Pilate jyaa yahnyąą, “Shats'ą' gihinkhyaa kwaa? Jii ganandaii, nineehįhdal ji' gaa geenjit t'aih shi'įį, ganarahahtsak ji' gaa geenjit t'aih shi'įį.” 
43:19:011:0	Jesus jyaa yahnyąą, “Vit'eegwijyąhchy'aa t'aih nintł'eiin'ąįį haa sheenjit t'aih nilii t'oonchy'aa. Ąįįts'ą' zhit juu nintł'eeshąhchįį ąįį gwandaa vatr'agwaanduu gweheelyaa.” 
43:19:012:0	Nijin Pilate jii gwiitth'ak dąį' vineeroonjii yuunyąą. Gaa Jews nąįį gazhral ts'ą' jyaa ginyąą, “Jii dinjii vineiinjik ji' t'ee, Rome nahkat gwats'ą' k'eegwaadhat Caesar duuyeh nijyaa nilii! Juu King ihłii nyąą t'ee Caesar vijyaa t'inchy'aa kwaa!” 
43:19:013:0	Nijin Pilate jii gwiitth'ak dąį', Jesus chyąąhchįį ts'ą' oo'at ch'aroahkat deek'it naadii. (Jii t'ee Hebrew ginjik zhit “Gabbatha” t'arahnyąą.) 
43:19:014:0	Izhit t'ee Passover gwats'ą' drintł'an khaiinjii nigwiindhat. Pilate ąįį Jews nąįį shroondaii jyaa ahnyąą, “Dząą nakhwa-King!” 
43:19:015:0	Gazhral ts'ą' jyaa giiyahnyąą, “Vęhdaa tr'agǫh'ąįį! Vęhdaa tr'agǫh'ąįį! Cross kat gohtsak!”Pilate gavoahkat, “Nakhwaa-King gwałtsak shoohnyąą?”Giinkhih kįh dilk'ii nąįį jyaa ginyąą, “Caesar zhrįh dii-King nilii t'oonchy'aa!” 
43:19:001:1	Jesus Gigiłtsak
43:19:016:0	Ąįįts'ą' t'ee Pilate ąįį Jesus gagahahtsak eenjit gavantł'ahchįį.Ąįįts'ą' t'ee niveet'ah'in nąįį Jesus goonjik. 
43:19:017:0	Da-cross ichyaa giiyiłtsąįį ts'ą' oodee taih “Dinjii kiitth'an k'itiltsį',” googwahnyąą gwats'ą' ahaa. (Hebrew ginjik zhit Golgotha goozhii) 
43:19:018:0	Izhit t'ee cross kat gigiiyiłtsak veeghaih nihts'įį chan dinjii neekwaii gigiłtsak.  
43:19:019:0	Pilate dęhtły'aa kat gwadąąntł'oo ts'ą' ya-cross kat giłtsak “Jesus Nazareth gwats'an ahaa, Jews nąįį datthak eenjit King Nilii,” vakat gwinyąą.  
43:19:020:0	Jews lęįį nąįį giikat aakin gwaa'įį, ąįį nijin Jesus giltsak ąįį kwaiik'it gwachoo gwats'ą' nahgǫǫ geh'an. Lęįį nąįį vakat deegwinyąą gaageheendaii eenjit Hebrew, Latin, chan ts'ą' Greek ginjik zhit danohootł'oo. 
43:19:021:0	Giinkhih kįh dilk'ii nąįį Pilate jyaa agahnyąą, “‘Jews nąįį datthak eenjit King nilii.’ ąįį doiintł'oo shrǫ' gaa jii ąįį diintł'oo, ‘Jii dinjii jyaa nyąą, Jews nąįį datthak eenjit King ihłii.’” 
43:19:022:0	Pilate jyaa gavahnyąą, “Jidii danoihtł'oo ąįį jyaa deheechy'aa t'oonchy'aa.” 
43:19:023:0	Niveet'ah'in nąįį Jesus cross kat gigiłtsak ąįįtł'ęę giigwach'aa niveet'ah'in dǫǫ nąįį nihteegiyilzhii. Zhak khii ik chan oonjik, gwach'aa k'eelkai' nilii kwaa ts'ą' ch'ihłak zhrį' nilii. 
43:19:024:0	Niveet'ah'in nąįį jyaa nihłagaanyąą, “Gwahkwaa łeerahch'aa; juu yuuheendal ji' eenjit, veenjit tseeroo'ya'.” Dęhtły'aa Choh kat deegwinyąą ąįį łi'didlii heelyaa eenjit jyąhts'ą' teegoodhat t'igwinyąą:“Shagwach'aa nihteegilzhii, shi'ik eenjit tseegee'ya'.”Niveet'ah'in nąįį izhit gwik'it t'igiizhik t'agwarahnyąą. 
43:19:025:0	Va-cross gwats'ą' niighit kwaa vahan nadhat, vahan vijuu, Clopas va'at Mary chan, Mary Magdalene chan. 
43:19:026:0	Jesus dahan chan ts'ą' ditsyaa eet'iindhan ąįį zhat nigiilzhii nagooviił'in; ąįįts'ą' dahan łyaa jyaa ahnyąą, “Ni'ęę, dząą t'ee nigii.” 
43:19:002:1	Jesus Niindhat
43:19:027:0	Ąįįtł'ęę ditsyaa jyaa ahnyąą, “Dząą nahan.” Izhit gwats'an ąįį vitsyaa dizheh yaagweheechy'aa eenjit gwits'eeyihiłchįį. 
43:19:028:0	Jesus et'ee jidii datthak gwik'it t'igwiizhik gaandaii ąįįts'ą' Dęhtły'aa Choh kat deegwinyąą ąįį łi'didlii eenjit jyaa nyąą, “Chųų doiihłii.” 
43:19:029:0	Hyssop gał ts'iivii k'it t'inchy'aa tsii gwach'aa nagahtsuu ąįį k'ik tyah ghoo zhit jak chų' daatł'oo kwaa dhakaii; ąįį giizhit teegąhtsuu ts'ą' oodak giits'ą' ootą'. 
43:19:030:0	Jesus juk chų' eenį' ąįįtł'ęę jyaa nyąą, “It'ee ndaagwąą'ąį'!”Ąįįtł'ęę zhak diki' niin'ąįį ts'ą' niindhat. 
43:19:031:0	Ąįįtł'ęę Jews kįh dilk'ii nąįį ąįį dinjii juu gagooriłtsak nąįį gootth'an łeegahahnaii ąįįtł'ęę cross ts'an nineegeheelyaa eenjit Pilate goahkat. Neegwaazhii Drin łyaa shroodiinyąą ts'ą' gwigwihił'ee drin nigwiighit geh'an zhat drin cross kat goochį' dhidlii gitr'igii'ee. Drin ts'ą' gwats'ą' drin gweedhaa geh'an jyaa digiizhik. 
43:19:032:0	Niveet'ah'in nąįį ąįį dinjii neekwaii Jesus haa gagoogiłtsak nąįį tth'an łeegiiłnaii. 
43:19:033:0	Gaa nijin Jesus inigwigwiin'ąįį dąį', ch'adąį' hee niindhat łee ts'ą' giitth'an łeelnaii kwaa. 
43:19:034:0	Niveet'ah'in ch'ihłak googaa kheeghan ch'ok haa Jesus tseech'iingit, Googwahkhan chųų, dah haa khaatil. 
43:19:035:0	(Shįį t'ee jyaa digwiizhik gwąął'ya' ts'ą' geegihkhe' łi'didlii t'ihnyąą gaashandaii ąįįts'ą' nan chan gwik'iinjihinghit ji' geenjit.) 
43:19:036:0	Dęhtły'aa Choh kat jyaa digwinyąą. Ąįį łi'didlii heelyaa eenjit, “Vatth'an ch'ihłak gaa łeehaahnaii kwaa.” 
43:19:003:1	Jesus Vanarąhjii
43:19:037:0	Dęhtły'aa Choh kat ch'adanh chan jyaa digwinyąą, “Dinjii giiyaahgwat aakin giiyaa'įį!” 
43:19:038:0	Jii ąįįtł'ęę Arimathea kwaiik'it gwachoo gwats'an dinjii Joseph oaazhii ąįį Jesus vichį' ooheendal ji' eenjit Pilate oahkat. (Joseph ąįį Jesus vitsyaa nilii gaa nagwąąh'įį, Jews khaihkwaii nąįį aanjat geh'an.) Pilate ąįį gwik'it t'ini'in yahnyąą ts'ą' t'ee yichi' oonjik ts'ą' oo'an neeyihiłchįį. 
43:19:039:0	Nicodemus tr'ookit dąį' khaa Jesus nah'ya' chy'aa ąįį Joseph haa haazhii, myrrh, ts'ą' aloes chan gwanzhįh chų' gwinzii vagwaatsan 100 lb. adahaa haadlii. 
43:19:040:0	Ąįį dinjii neekwaii nąįį Jesus vichį' neegąhchįį ts'ą' gwach'aa ts'ik jyah giinooandoo, ąįį gwanzhįh gwinzii vagwaatsan haa. Jyąhts'ą' t'ee Jews nąįį dinjii anagahąhdal dąį' t'igii'in. 
