43:9:001:1	Jesus, Dinjii Vandee Kwaa Haagweech'in Neegwiłtsąįį
43:9:001:0	Jesus ahaa gwiizhit dinjii vandee kwaa ts'ą' vagoodlit niił'in. 
43:9:002:0	Vitsyaa nąįį yuahkat, “Geech'ǫąąhtan, vandee kwaa ts'ą' vagoodlit ąįį juu vatr'agwaanduu t'oonchy'aa? Adan vats'an akwat viyehghan nąįį?” 
43:9:003:0	Jesus jyaa gavahnyąą, “Vandee kwaa ąįį adan vatr'agwaanduu akwat viiyehghan gootr'agwaanduu gwadrąįį t'oonchy'aa kwaa. Gaa jii dinjii vandee kwaa ąįį, Vit'eegwijyąhchy'aa vat'aii gwizhrįh eegweheechy'aa eenjit vaagweech'in neegahoodlit. 
43:9:004:0	Tth'aii drin gwanlii gwiizhit juu shihił'e' ąįį nihk'it vigwitr'it t'agwarahah'yaa gwizhrįh goo'aii. Et'ee tǫǫ gweheelyaa ts'ą' duuyeh tǫǫ gwitr'it t'agwarah'in. 
43:9:005:0	Dzaa nankat dhiidii gwiizhit, jii nankat eenjit aadrii ihłii.” 
43:9:006:0	Jii jyaa diinyą' ąįįtł'ęę, Jesus nankat haazhree ts'ą' łųh niłtraa ąįį dinjii vaagweech'in kwaa andee kat giinjik ts'ą' 
43:9:007:0	jyaa yahnyąą, “Oo'an Siloam teełtin gwats'ą' hinkhaii zhat chųų haa neech'aanjii.” Ąįįts'ą' ąįį dinjii zhat gwats'ą' haazhii ts'ą' neech'aanjik ts'ą' vaagweech'in ts'ą' k'inidik. 
43:9:008:0	Ąįį yeeghaii gwich'įį nąįį chan ts'ą' juu khit ch'oodiikwat yąąh'in nąįį ch'agoahkat, “Jii dinjii lee dhidii ts'ą' ch'oodiikwat chy'aa?” giiyahnyąą. 
43:9:009:0	Goolat nąįį jyaa ginyąą, “Adan t'inchy'aa,” goolat nąįį chan jyaa ginyąą “Adan t'inchy'aa kwaa, gaa yigwich'in.”Ąįį dinjii jyaa gavahnyąą “Ąįį dinjii t'ee shįį t'ihchy'aa.” 
43:9:010:0	“Nats'ąą naagweech'in needhindlit?” giiyahnyąą. 
43:9:011:0	“Dinjii Jesus oaazhii ąįį nankat haazhree ts'ą' łųh niłtraa ąįį shandee kat giinjik ts'ą' jyaa shahnyąą, ‘Oo'an Siloam teełtin gwats'ą' hinkhaii zhat chųų haa neech'aanjii.’ Zhat gwats'ą' hoiizhii neech'aaljik ts'ą' shaa gweech'in needhiidlit,” goovahnyąą. 
43:9:002:1	Pharisee Nąįį Nats'ąą Vaagweech'in Neegwahoodlit Li' Eenjit Gwankeegoogwah'in
43:9:012:0	“Adaajii?” giiyahnyąą.“Adaajii vaashandaii kwaa,” goovahnyąą. 
43:9:013:0	Ąįįtł'ęę t'ee ąįį dinjii vandee kwaa iinli' chy'aa Pharisee nąįį ts'ą' giihiłchįį. 
43:9:014:0	Nijin ąįį Jesus dinjii andee łųh t'iinlik dąį' vaagweech'in neeyiłtsąįį drin Neegwaazhii Drin gwanlii. 
43:9:015:0	Pharisee nąįį ąįį dinjii nats'ąą vaagweech'in neekhwadlit eenjit giiyųąhkat. Goovaagwaandak, “Shandee łųh t'inlik ąįįtł'ęę neech'aaljik ts'ą' juk shaagweech'in,” nyąą. 
43:9:016:0	Pharisee lat nąįį jyaa ginyąą, “Jii dinjii juu t'iizhik Vit'eegwijyąhchy'aa ts'an t'inchy'aa kwaa, Neegwaazhii Drin jyaa dihee'yaa kwaa goo'aii ąįį gwik'eegwahthat kwaa geh'an.”Goolat nąįį jyaa ginyąą, “Nats'ąą dinjii vatr'agwaanduu gwanlii ąįį gwitr'it geegwaroolii kwaa t'ihee'yaa?” ąįįts'ą' t'ee datthak geenjit nihzheedagąąn'ee. 
43:9:017:0	Ąįįts'ą' t'ee Pharisee nąįį chan hee giiyųąhkat, “Naagweech'in neegwiłtsąįį akwat veenjit deehiinjyaa?”“Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii t'inchy'aa,” jyaa nyąą. 
43:9:018-019:0	Israel kįh dilk'ii nąįį ąįį dinjii vandee kwaa iinli' ąįįtł'ęę vaagweech'in neekhwadlit ąįį gwik'iinjigiighit gitr'igii'ee, ąįįts'ą' t'ee giiyehghan nąįį jii oahkat, “Jii lee nigii tsyaa? Vandee kwaa ts'ą' vagoodlit vohnyąą gwiizhit jaghaii juk vaagweech'in gǫ'?” 
43:9:020:0	Ąįį viyehghan jyaa ginyąą, “Diigii t'inchy'aa ts'ą' vandee kwaa ts'ą' vagoodlit vaagwiindaii. 
43:9:021:0	Gaa jaghaii juk vaagweech'in neekhwadlit akwat juu vaagweech'in neeyiłtsąįį vaagwiindaii kwaa. Oohkat, vaghaii lęįį t'inchy'aa ts'ą' adakhai' nakhwaagwaandak!” 
