43:6:001:1	Jesus 5,000 Nąįį Ach'ah'al
43:6:001:0	Jii ąįįtł'ęę, Jesus Galilee van ndųhts'ąįį neiinzhii (Tiberias van chan oozhii) 
43:6:002:0	Gwitr'it geegwaroolii kwaa haa iłts'ik lęįį nąįį shrineiinlik giiyąąh'ya' geh'an lęįį nąįį giitąįį adaa. 
43:6:003:0	Jesus taih kat ditsyaa nąįį haa naadii. 
43:6:004:0	It'ee niighit kwaa Jews Passover ch'arehee'aa geenigwiighit. 
43:6:005:0	Jesus zhit gwa'an gwąąh'in akhai' lęįį nąįį yats'ą' adaa nigwiił'in ts'ą' Philip jyaa ahnyąą, “Jii dinjii lęįį nąįį nijin shih gavaanchy'aa tr'ooheekwat?” 
43:6:006:0	(Philip deeheenjyaa ji' niindhan eenjit t'inyąą; adan ch'adąį' hee deehee'yaa gaandaii.) 
43:6:007:0	Philip jyaa yahnyąą, “Jii dinjii nąįį nitsya' giin'al ji' gaa łųhchy'aa $200 gwandaa heelyaa.”  
43:6:008:0	Vitsyaa ch'ihłak ąįį Simon Peter vachaa Andrew oozhii ąįį t'iiyahnyąą, 
43:6:009:0	“Yaagha' gwitee gwa'an tsyaa tsal dhidii ąįį łųhchy'aa barley ch'ihłoanli' ts'ą' łuk neekwaii haa di'įį. Gaa jii kwaii duuyeh jii dinjii nąįį datthak eenjit tr'oonadhat!” 
43:6:010:0	Jesus t'iiyahnyąą, “Dinjii nąįį dook'įį gavahtsii,” (Zhat tł'oo kat goo'aii.) Ąįįts'ą' t'ee dinjii nąįį gaandii; dinjii 5000 andaa t'ąąnchy'aa zhat dilk'ii. 
43:6:011:0	Jesus łųhchy'aa oonjik, Vit'eegwijyąhchy'aa mahsį' ahnyąą ts'ą' zhat dinjii dilk'ii nąįį teeyiłtsit. Łuk chan gwik'it t'inlik. Daanchy'aa tr'oo'aa giindhan gwik'it ch'igin'al. 
43:6:012:0	Datthak gwintł'oo ch'igiin'al, ąįįtł'ęę ditsyaa nąįį jyaa ahnyąą, “Zhit jidii giiyeech'aa'al kwaii vit'ineegohjii, ch'ihłok gaa zhyaa an oolį' shrǫ'!” 
43:6:013:0	Ąįįts'ą' t'ee giitineegwįłjik ts'ą', tyah ch'ihłoaatin ants'ą' neekwaii zhit deedigiiyiinlii, ąįįt'ee zhit łųhchy'aa ch'ihłoanli' ts'an reh. 
43:6:014:0	Ąįį juu zhat dinjii dilk'ii ąįį Jesus gwitr'it gwintsii gwąąh'ya' nąįį jyaa ginyąą, “Vit'eegwijyąhchy'aa Eenjit Ginkhii nilii ts'ą' jii nankat gwats'ą' haazhii ąįį t'inchy'aa łee!” 
43:6:002:1	Jesus Chųų Kat Ahaa
43:6:015:0	Jesus et'ee gitr'ii'ee ji' gaa King giihahtsyaa eenjit giiyuuheendal ts'ą' gaandaii. Izhit geenjit neehoozhii ts'ą' adan zhrįh taih tee gwats'ą' haazhii.  
43:6:016:0	Khaa nigwiighit gwiizhit vitsyaa nąįį ootthan van ts'ą' gahaajil 
43:6:017:0	ts'ą' tr'ihchoo zhit giinjil ts'ą' van ndųhts'ąįį Capernaum kwaiik'it goo'aii gwats'ą' neegahoojil. Tǫǫ goodlit gaa tth'aii Jesus oo'ee nidii kwaa, 
43:6:018:0	gwiizhit t'ee gwint'aii hiłtr'aii ts'ą' tit nitsii. 
43:6:019:0	Vitsyaa nąįį tik akwat dǫǫ mile aanchy'aa niighit oondaa geekwaa gwiizhit Jesus chųų kat ahaa nigwigwiił'in, tr'ihchoo ts'ą' niighit kwaa niinzhii, łyaa datthak gihilghaa. 
43:6:020:0	“Noojat kwaa, shįį t'ihchy'aa!” Jesus gavahnyąą 
43:6:003:1	Dinjii Nąįį Jesus Keegogwah'in
43:6:021:0	Jyaa diinyą' geh'an it'ee tr'ihchoo zhit giihaahchįį gwiizhit nijin gwats'ą' geedaa chy'aa zhat teeghaih nagwaanąįį. 
43:6:022:0	Gęhdaa drin ąįį juu oonin Jesus vitsyaa nąįį haa haajil kwaa nąįį tr'ihchoo ch'ihłak tth'aii zhat dhitin łee gwik'igaanjik. Jesus ditsyaa nąįį haa haazhii kwaa gaagiindaii gaa ąįį tr'ihchoo zhat dhitin geh'an giiyehdan haajil łee gwik'igaanjik. 
43:6:023:0	Gwiizhit Tiberias kwaiik'it gwachoo gwats'an tr'ihchoo lat zhat teedhidlit, geeghaih gwa'an Jesus łųhchy'aa eenjit K'eegwaadhat mahsį' ąįįnyą' ąįįtł'ęę gach'ąh'al izhit. 
43:6:004:1	Jesus T'ee Łųhchy'aa Zhit Gwandaii Nilii
43:6:024:0	Nijin Jesus akwat vitsyaa nąįį haa zhat gwąąh'ya' kwaa dąį', tr'ihchoo zhit giinjil ts'ą' oonin Capernaum gwats'ą' giiyinkeegwahaah'yaa eenjit gwats'ą' gahaajil. 
43:6:025:0	Nijin ąįį dinjii nąįį van ndųhts'ąįį Jesus agogwąh'ąįį dąį' jyaa giiyahnyąą, “Geech'ǫąąhtan, nijin dąį' dząą k'eiindik?” 
43:6:026:0	Jesus t'agavahnyąą, “Łi'didlii haa nakhwaa gwahaldak: Deenohthan gwik'it łųhchy'aa oo'al ąįį geh'an shinkeegoh'in gaa t'aih haa gwitr'it t'agwał'ya' gǫǫh'ya' geh'an nakwaa. 
43:6:027:0	Shih khan iizųų ilii ąįį eenjit gwitr'it t'agoh'ya' shrǫ', shih khit vaa gwireheendaii ąįį gwandaa nizįį. Jii shih t'ee Gwidinji' nintł'eeyahahchaa. Gwiti' ąįį Gwidinji' deegwahtł'oo t'aih yintł'eiin'ąįį gwagwaakįį.” 
43:6:028:0	Ąįįtł'ęę jii giiyųąhkat, “Jidii k'it t'inchy'aa Vit'eegwijyąhchy'aa vigwitr'it t'igwehee'yaa t'agwaiinyąą?” 
43:6:029:0	“Jii gwitr'it t'ee Vit'eegwijyąhchy'aa t'akhwa'ya' nakhoonyaa, Juu hił'e' ąįį vik'injuhkhit.” Jesus jyaa gavahnyąą. 
43:6:030:0	Jyaa giiyahnyąą, “Gwarahąąh'yaa ts'ą' gik'iinjireheeghit eenjit jidii t'aih diinandah t'ini'yaa? Deehini'yaa? 
43:6:031:0	Yeenii diilak nąįį nangwinjir gwa'an łųhchy'aa giin'al, jii Dęhtły'aa Choh zhit geenjit jyaa digwinyąą: ‘Zheekat gwats'an ch'igihee'aa eenjit łųhchy'aa goots'ą' nahtsit.’” 
43:6:032:0	“Łi'didlii haa nakhwaa gwahaldak!” Jesus gavahnyąą. “Jidii Moses nakhwantł'in'ąįį t'ee zheekat gwats'an łųhchy'aa t'inchy'aa kwaa. Shiti' ąįįt'ee łųhchy'aa zheekat gwats'an nakhwantł'in'ąįį t'igwii'in. 
