43:15:001:1	Jesus, Gwanzhįh Vakat Gwąąhshii K'it T'inchy'aa
43:15:001:0	“Shįį t'ee łyaa gwanzhįh vakat gwąąhshii t'ihchy'aa, ąįįts'ą' Shiti' chan gwanzhįh nahshii nilii.  
43:15:002:0	Jidii shakat gwanzhįh dachan gwinzii nahshii kwaa t'ee gihłeehaht'aa, jidii shakat gwinzii vakat gwąąhshii t'ee gwinzii k'ąąhtii ts'ą' shriiyuunyąą ąįįt'ee vakat gwanzhįh lęįį neehaanzhii eenjit. 
43:15:003:0	Gwandak nizįį eenakhwaagwadhaldak ąįį haa ch'adąį' hee shroodiinyąą dhoodlit t'oonchy'aa. 
43:15:004:0	Khit shaa ǫhłįį ts'ą' shįį chan khit nakhwaa hihłyaa, gwanzhįh dachan ch'ihłak duuyeh adakhai' gwąąhshii. Vakat gwanzhįh nahshii, vadachan lęįį khaihłok nahshii ji' gwizhrįh. Izhit gwik'it shaa ǫhłįį ji' gwizhrįh nakhwats'an gwahąąhshįį k'it t'igwehee'yaa. 
43:15:005:0	“Jak vakat nahshii ihłii, nakhwan chan jak t'an ǫhłįį. Juu shaa nilii t'ee vaa ihłii ts'ą' vats'an gwąąhshii; shehdan ji' duuyeh. 
43:15:006:0	Juu shaa nilii kwaa t'ee charahahchyaa, jak dachan akharoonyąą ts'ą' dhagaii gwik'it; ąįį k'it t'inchy'aa jak dachan t'ee khaihłan nirilii ts'ą' kǫ' zhit tr'ahk'an t'inchy'aa. 
43:15:007:0	Shiginjik ohtą' ts'ą' shaa ǫhłįį ji', jidii ach'oohkat datthak nakhwats'an hałtsyaa. 
43:15:008:0	Jyąhts'ą' t'ee Shiti' vich'eegwahdrii gwigweech'in t'agwarahnyąą, gwintł'oo nakhwats'an gwąąhshii, jyąhts'ą' t'ee shitsyaa hohłyaa. 
43:15:009:0	Shiti' sheet'iindhan gwik'it shįį chan nakhweenjit ch'eet'igwiniindhan shi'įį. Shich'eet'igwiniindhan zhit gǫhdaii. 
43:15:010:0	Shiginjik k'eegohthat ji', shich'eet'igwiniindhan zhit t'ahohchy'aa. Shiti' viginjik k'eegwałthat ts'ą' vee ch'eet'igwiniindhan zhit t'ihchy'aa gwik'it. 
43:15:011:0	“Sheeshroonchy'aa nakhwazhit t'iheechy'aa ts'ą' nakhwazhit ch'eeshroonchy'aa deedahaan'ai' eenjit. 
43:15:012:0	Shiginjik zhit jyaa digwinyąą gwik'it t'ohchy'aa, nihłeet'oohthan, nakhweet'iindhan gwik'it. 
43:15:013:0	Dinjii dijyaa, nąįį haa eenjit oo'an dahaachyaa t'ee łyaa vee ch'eet'igwiniindhan nitsii t'arahnyąą. 
43:15:014:0	Shiginjik k'it ohdaa ji' shijyaa hohłyaa. 
43:15:015:0	Et'ee chan duuyeh dinjii vitsyaa yeetr'agwah'in neehanzhok k'it t'anakhwahał'yaa kwaa, ąįį ch'itsyaa dee'in t'ii'in yaaheendaii kwaa eh'an. Shijyaa ąįį nakhwahaihjyaa, jidii Shiti' vats'an gwiitth'ak datthak geenakhwaagwaldak geh'an. 
43:15:016:0	Shįį ąįį gwitee tr'ashǫǫhchįį kwaa gaa shįį ąįį gwitee tr'anakhwaałchįį ts'ą' nakhwats'an gwanzhįh haahshii. Ąįį gwanzhįh khit ts'ą' gweheendaii. Ąįįts'ą' shoozhri' zhit jidii ach'oohkat Gwiti' nats'an yahahtsyaa t'oonchy'aa. 
43:15:002:1	Jii Nankat Jesus Vitsyaa Giitr'ii'ee
43:15:017:0	Izhit geenjit jii jyaa danakhwahihjyaa, nihłeenjit ch'eet'igwiniindhan khwa'įį.” 
43:15:018:0	“Juu nan dha'aii ąįį nitr'ii'ee ji', shįį tr'ookit sheet'igiinghya' kwaa jyaa gineehandaii yuu. 
43:15:019:0	Jii nankat ts'an inlii ji', vats'an iinlii ts'ą' geh'an neet'iheenghyaa. Gaa shįį ąįį jii nankat gwats'an gwitee tr'anąąłchįį ts'ą' jii nankat gwats'an iinlii kwaa. Ąįį geh'an jii nankat nitr'ii'ee t'oonchy'aa. 
43:15:020:0	Jii deenakhwaiinyą' gineehoondaii yuu, ‘Dinjii vitsyaa yeetr'agwah'in ts'ą' neeyahanzhok ąįį yandaa ts'ą' veegoo'aii kwaa t'oonchy'aa.’ Khaiinjich'ishiriłthat ji', nakhwan chan gwik'it t'ahoh'yaa. Shiginjik k'eegwigwiłthat ji', nakhwaginjik chan k'eegogwahahthat t'oonchy'aa. 
43:15:021:0	Gaa shats'an ǫhłįį geh'an jyaa nakhwagahah'yaa; juu shihił'e' ąįį gaagiindaii kwaa geh'an. 
43:15:022:0	Dząą gwats'ą' hoiizhii ts'ą' goots'ą' giihkhe'. Akwaa ji' duuyeh datr'agogwaanduu gwizhrįh nagogwa'aii, ąįį geh'an datr'agogwaanduu eenjit deegiheenjyaa gaa gaagiindaii kwaa. 
43:15:023:0	Juu sheet'iindhan kwaa chan Shiti' eet'iindhan kwaa t'oonchy'aa. 
43:15:024:0	Gooteegwitr'it t'agwał'ya' kwaa ji' duuyeh datr'agogwaanduu oo'an gwigwihilii, izhit duuyeh gaa t'igwee'ya' kwaa t'oonchy'aa izhit geh'an deeshi'ya' googwąąh'ya' ts'ą' Shiti' shįį haa diitr'igii'ee. 
43:15:025:0	Gaa jii łyaa gwik'it t'igweheenjyaa goo'aii, goo-law zhit deegwinyąą gwik'it gweheelyaa eenjit, ‘geenjit gwakwaa shitr'ii'ee,’ 
