43:20:001:1	Jesus Vatth'ank'it Zhit Gwihiljii
43:20:001:0	Drin Zhit vanh dąį' tth'aii tǫǫ gwanlii gwiizhit Mary Magdalene ąįį kii zhit gweedii gwats'ą' haazhii akhai' gwadąįį kii gihłeerahaa'aii łee gwah'in. 
43:20:002:0	Gihłeehilgik ts'ą' Simon Peter chan ts'ą' ch'izhii vitsyaa Jesus gooveet'iinghya' nąįį ts'ą' niinzhii ts'ą' jyaa gavahnyąą, “Kiizhit gwats'an K'eegwaadhat goonjik ts'ą' nijin nigiiyąąhchįį kwaa gaagwiindaii kwaa!” 
43:20:003:0	Ąįįtł'ęę Peter chan ts'ą' ch'izhii Jesus vitsyaa haa ąįį kiizhit vatth'ank'it gwats'ą' gahaajil. 
43:20:004:0	Nihłaagaagal, gaa ch'ihłak ąįį Peter iłeehilgik ts'ą' adan tr'ookit tth'ank'it k'aagak. 
43:20:005:0	Nihdeekiintthaii ts'ą' gwach'aa ts'ik njyah kwaii nah'in, gaa nihdeiinzhii kwaa. 
43:20:006:0	Vatąįį Simon Peter k'idik ts'ą' zhazhat kiizhit tth'ank'it nihdeiinzhii. Ąįį gwach'aa ts'ik jyah,  
43:20:007:0	ąįįts'ą' Jesus viki' kat gwach'aa kwaii niił'in. Ch'izhii gwach'aa ts'ik jyah eeghaii dhidlii kwaa gaa thok tr'aandoo łee. 
43:20:008:0	Ąįį ch'izhii ch'itsyaa ąįį kiizhit tth'ank'it tr'ookit k'idik chy'aa, adan chan nihdeiinzhii; gwąąh'ya' ąįįtł'ęę gwik'it t'igwiizhik ts'ą' gaandaii. 
43:20:002:1	Jesus, Mary Yats'ą' Igwiilkįį
43:20:009:0	(Dęhtły'aa Choh kat niindhat ąįįtł'ęę nineeheenjyaa goo'aii varahnyąą ąįį deegwinyąą t'igwinyąą gaagiindaii kwaa.) 
43:20:010:0	Ąįįtł'ęę vitsyaa nąįį digizheh gwits'eegahoojil. 
43:20:011:0	Ąįį kii tth'ank'it gokwantee Mary itree ts'ą' nadhat. Tth'aii itree gwiizhit nihdeekiintthaii ts'ą' oozhak gwąąh'in, 
43:20:012:0	ts'ą' zheekat gwich'in neekwaii nah'in, daagąįį nagaatsuu ts'ą' Jesus nijuk iindi' izhit dagaadii, viki' eeghaii ch'ihłak dhidii, vakwai' ts'ąįį chan ch'ihłak dhidii. 
43:20:013:0	“Tr'injaa, jaghaii iintree?” giiyahnyąą.Jyaa gavahnyąą, “Shik'eegwaadhat gihłeegihiłchįį ts'ą' nijuk nigiiyąąhchįį gaashandaii kwaa!” 
43:20:014:0	Nijin jyaa nyąą dąį', neediil'ee akhai' Jesus zhat nadhat nigwiił'in; gaa Jesus t'inchy'aa ts'ą' yaandaii kwaa. 
43:20:015:0	“Tr'injaa, jaghaii intree? Juu vinkeegwąh'in t'ini'in?” Jesus yuahkat.Gwanzhįh eetr'agwah'in t'inchy'aa yuunyąą, ts'ą' Mary jyaa yahnyąą, “Oodhiinjik t'inchy'aa ji' nijuk nąąhchįį shaagwandak, vats'ą' hihshyaa ts'ą' noohihdal eenjit.” 
43:20:016:0	Jesus jyaa yahnyąą, “Mary!”Yats'ą' neediil'ee ts'ą' Hebrew ginjik zhit jyaa nyąą, “Rabboni!” (Jii t'ee “Geech'ǫąąhtan” ginyąą t'igwinyąą.) 
43:20:017:0	“Shakat noonjii shrǫ',” Jesus yahnyąą, “Tth'aii Shiti' vits'eehihdii kwaa geh'an. Gaa shachaa nąįį goots'eehindii' ts'ą' jii sheenjit gavaa gwandak, ‘Oodak Shiti' vats'ą' hihshyaa, nakhwan chan Nakhwati' Shivit'eegwijyąhchy'aa nilii, nakhwan chan nakhwa-Vit'eegwijyąhchy'aa nilii.’” 
43:20:003:1	Jesus, Vitsyaa Nąįį Giits'ą' Gwigwiilkįį
43:20:018:0	Ąįįts'ą' t'ee Mary Magdalene yitsyaa nąįį ts'ą' K'eegwaadhat nah'ya' ts'ą' jii jyaa diiyaiinyą' eenjit geevaagwaandak. 
43:20:019:0	Drinzhit khaiinjii tǫhtł'an gwa'an zheh gwizhit vitsyaa nąįį gindeiinvyaa gehdeech'igiintin, Jews kįh dilk'ii nąįį agąąnjat geh'an. Ąįįtł'ęę Jesus gootł'an nadhat nagwaanąįį. “Tsinehdan nakhwaa oolį', Shiti' shihił'ee gwik'it shįį chan nakhwahał'ee,” Jesus gavahnyąą. 
43:20:020:0	Jii jyaa diinyą' ąįįtł'ęę, danli', ditsęh k'ąą haa goots'ą' agwahch'in. K'eegwaadhat gąąh'in eenjit gwintł'oo shoo giinlii. 
43:20:021:0	Ąįįtł'ęę chan hee Jesus jyaa gavahnyąą, “Tsinehdan nakhwaa oolį', Shiti' shihił'e' gwik'it shįį chan nakhwayinjihooł'ee!” 
43:20:022:0	Jii jyaa diinyą', ąįįtł'ęę datthak gookat haazhee ts'ą' jyaa gavahnyąą, “Ch'anky'aa Shroodiinyąą ts'an oo'įį. 
43:20:004:1	Jesus, Thomas Haa
43:20:023:0	Dinjii nąįį atr'agwaanduu gooveenjit oo'an gahohłii ji', gooveenjit oo'an gweheedaa; gooveenjit oo'an gahohłii kwaa ji', duuyeh gooveenjit oo'an gwihijyaa.” 
43:20:024:0	Jesus goots'ą' nadhat naanaii dąį' vitsyaa ch'ihłak Thomas (Didymus chan oozhii) ąįį zhat dhidii kwaa. 
43:20:025:0	Ąįįts'ą' vitsyaa nąįį Thomas jyaa agahnyąą, “K'eegwaadhat tr'ąąh'ya'!”Thomas jyaa nyąą, “Vanli' kat gwatsak deek'it shat dha'aii akwat gwatsak deek'it naaljik akwat vitsęh k'ąą naaljik kwaa ji' duuyeh adan t'inchy'aa gwik'iinjihkhit.” 
43:20:026:0	Ąįįtł'ęę gęhdaa drin deetik vitsyaa nąįį zheh gwizhit khaihłan nineegiijil ts'ą' Thomas zhat goovaadhidii gindeiinvyaa ihdeech'agąąhtin gaa Jesus zhat gaveeghaii nadhat naanaii ts'ą' jyaa gavahnyąą, “Tsinehdan nakhwaa oolį'!” 
43:20:027:0	Ąįįtł'ęę Thomas jyaa ahnyąą, “Dząą nanleetth'ak niinchįį, ts'ą' shanli' nah'in; ąįįtł'ęę nanli' nihky'aa noiinjii ts'ą' dząą shitsęhk'aa naanjii. Gwik'iinjiighit ni'įį kwaa ąįį akhagoiinyąą ts'ą' gwik'iinjinghit!” 
43:20:028:0	Thomas jyaa yahnyąą, “Shik'eegwaadhat, Shivit'eegwijyąhchy'aa!” 
43:20:005:1	Jii Dęhtły'aa Jaghaii Danahootł'oo
43:20:029:0	Jesus jyaa yahnyąą, “Shąąh'ya' geh'an gwizhrįh shik'iinjinghit? Juu shąąh'in kwaa gaa shik'iinjiighit nąįį shoo nakhwaa oolį'!” 
43:20:030:0	Jesus ditsyaa nąįį andah gwinlęįį gwitr'it geegwaroolii kwaa t'iizhik gaa jii dęhtły'aa zhit valak zhrįh danahootł'oo. 
43:20:031:0	Jii t'ee gwadanakhwatł'oo Jesus t'ee Vit'eegwijyąhchy'aa Vidinji' nilii ts'ą' Christ chan nilii, gwik'iinjihinghit ji' ąįį nigwik'iinjigwiighit haa voozhri' zhit gwihiindaii geenjit.
