43:11:001:1	Lazarus Niindhat
43:11:001:0	Dinjii Lazarus oaazhii Bethany kwaiik'it gwizhit gwich'įį ąįį iłts'ik naanaii. Bethany gwizhit t'ee Mary chan ts'ą' veejii Elizabeth haa gwigwich'įį. 
43:11:002:0	(Jii Mary t'ee gwehkįį K'eegwaadhat vakwai' kat gwanzhįh chų' gwinzii vagwaatsan t'inlik ts'ą' dikiighai' haa yach'ąhjik ąįį voondee Lazarus ąįį iłts'ik.) 
43:11:003:0	Ąįį tr'injaa neekwaii t'ee Jesus ts'ą' nideech'igiin'ąįį, “K'eegwaadhat, nijyaa gwilęįį iłts'ik,” giiyahnyąą. 
43:11:004:0	Nijin Jesus jyaa ginyąą gaviitth'ak dąį' jyaa nyąą, “Jii ts'ik haa niheedhaa kwaa t'inchy'aa, gaa Vit'eegwijyąhchy'aa vich'eegwahdrii gwizhrįh nagwahaatth'aa ąįįts'ą' gwik'iighai' shįį Vit'eegwijyąhchy'aa Vidinji' shich'eegwahahdrii.” 
43:11:005:0	Jesus ąįį Martha chan ts'ą' vijuu Mary, Lazarus nąįį haa eet'iindhan. 
43:11:006:0	Nijin Jesus Lazarus iłts'ik gwinyąą gwiitth'ak dąį', drin neekwaii gwahaadhat gaa nihk'it zhat dhidii. 
43:11:007:0	Ąįįtł'ęę ditsyaa nąįį jyaa ahnyąą, “Judea gwits'eerahoojyaa.” 
43:11:008:0	“Geech'ǫąąhtan,” vitsyaa nąįį yahnyąą, “Niighit kwaa gwanaa dąį' Judea nąįį kii haa narookhwaa nagoonyąą; chan hee zhat gwits'eehindyaa lee t'iinyąą?” 
43:11:009:0	Jesus jyaa nyąą, “12 hr. gwizhrįh drin goo'aii, izhit gwizhrįh dinjii vaagweech'in ts'ą' duuyeh gat'aadhak. 
43:11:010:0	Gaa tǫǫ gwiizhit zhit gwa'an neehidik ji' git'eehaadhak, ąįį dinjii vizhit tǫǫ gwanlii geh'an.” 
43:11:011:0	Jesus jyaa nyąą, “Diijyaa Lazarus naachįį, gaa vats'ą' hihshyaa ts'ą' khakihih'aa.” 
43:11:012:0	Vitsyaa nąįį t'igiiyahnyąą, “K'eegwaadhat, dhichįį t'inchy'aa ji', veenjit gwinzii neegweheelyaa t'inchy'aa.” ginyąą. 
43:11:013:0	Gaa Jesus ąįį Lazarus niindhat nyąą t'inyąą, zhyaa dhichįį yahnyąą t'inyąą giiyuunyąą. 
43:11:014:0	Ąįįts'ą' łyaa gwinzii gavaa gwaandak, “Lazarus niindhat t'inchy'aa, 
43:11:015:0	gaa nakhweh'an vaa iidi' kwaa eenjit shoo ihłii shik'injahohkhit eenjit. It'ee vats'ą' tr'ahoojyaa.” 
43:11:002:1	Jesus, Niindhat Nąįį Khakinlii Tł'ęę Gwandaii Neegooviłtsąįį
43:11:016:0	Thomas (Twin chan oozhii) ąįį ch'izhii Jesus vitsyaa nąįį jyaa ahnyąą, “Geech'ǫąąhtan datthak vaa tr'ahoojyaa, nireheedhaa eenjit.” 
43:11:017:0	Nijin Jesus k'idik dąį', drin dǫǫ gwanaa dąį' hee giiyaahtsii łee. 
43:11:018:0	Bethany kwaiik'it t'ee Jerusalem gwats'ą' mile neekwaii goo'aii, 
43:11:019:0	ts'ą' Israel lęįį nąįį Mary, Martha, haa goochaa niindhat geenjit gavaatr'igwigwidii 
43:11:020:0	Nijin Martha ąįį Jesus ahaa gwiintth'ak dąį' dizheh gwats'an yats'ą' chiinzhii, gaa Mary ąįį zhat gwizhit dhidii. 
43:11:021:0	Martha ąįį Jesus jyaa dahnyąą, “Shik'eegwaadhat, dząą iindi' ji' duuyeh diichaa niighit! 
43:11:022:0	Juk zhat Vit'eegwijyąhchy'aa oahkat ji' nik'eegwahahthat gaashandaii.” 
43:11:023:0	“Nachaa neegweheendaii t'inchy'aa,” Jesus yahnyąą. 
43:11:024:0	“Drin ndaagwąą'ąį' ji' neegweheendaii ąįį gaashandaii,” Martha yahnyąą. 
43:11:025:0	Jesus jyaa yahnyąą, “Shįį t'ee niindhat nąįį khakihlii tł'ęę neegogwandaii neegoovałtsii. 
43:11:026:0	Juu shik'iinjiighit nąįį t'ee nigiindhat ji' gaa neegwigweheendaii giheelyaa. Shik'iinjiighit eenjit khit gweheendaii ts'ą' duuyeh niighit jii nik'ee gwik'iinjinghit?” 
43:11:003:1	Jesus Itree
43:11:027:0	“Aahą' K'eegwaadhat, Christ, Vit'eegwijyąhchy'aa Vidinji' inlii ts'ą' dząą nankat gwats'ą' hinkhaa naashandaii,” Martha yahnyąą. 
43:11:028:0	Ąįįtł'ęę t'ee Martha dizheh nihdineezhii ts'ą' gweentak dijuu Mary oozhrii, “Geech'ǫąąhtan dząą dhidii, ts'ą' nǫh'ya' noonyąą,” jyaa yahnyąą. 
43:11:029:0	Nijin Mary gwaak'įį dąį' khan yats'ą' haazhii. 
43:11:030:0	(Jesus ąįį kwaiik'it gwats'ą' niighit kwaa nijin Martha yąąh'ya' chy'aa tth'aii hee dhidii.) 
