16:6:001:1	Da'ana'í hodahodeez'ą́
16:6:001:0	Ákódzaadóó Sanbálat áádóó Tobáíyah índa Aréíbiya dine'é Gííshem wolyéii áádóó łahjį' nihi'ana'í danilíinii éí ałtso ahéé'nítł'ingo haaída doo łahgo bighá hool'áágóó íishłaaígíí dayíínii'go (áko íídą́ą́' dáń'daditį́į́hgóó dáádílkał t'ah doo dah nídaash'nil da;) 
16:6:002:0	Sanbálat áádóó Gííshem shich'į' i'ííł'a'go kóní, Hágo, Óno halgaidi łahgo kin shijaa'gi ahididiikah. Nidi, Haada dahodiilnííł, danízingo ádaaní. 
16:6:003:0	Hane' shá nidei'áhígíí ííł'a'go kódíshní, Naanish ayóó át'éii baa naasháhígíí bąą doo ákóyaa díyáa da. Ha'át'íísh biniyé naanish ni' kódoolníiłgo índa bits'ánísháahgo nich'į' yisháał doo? 
16:6:004:0	Kódzaadóó bik'ijį' t'áá ákódaaníigo dį́įdi shaa nída'as'a', áko t'áá bíighahdi t'áá ákót'éego hane' bich'į' ánáshdlaa. 
16:6:005:0	Ákohgo t'áá ákót'éego Sanbálat bá naal'a'í shaa néiníł'a'go ashdladi aleeh góne' naaltsoos t'áadoo bidá'deeljeehí yiníłtsooz; 
16:6:006:0	éí bikáá' ak'e'ashchį́, Ni áádóó Jew dine'é danilíinii aláahgo naat'áanii bich'į' nidaałteeh doogo nidahoh'á, daaníigo ał'ąą dine'é bitahgóó yee ahił dahalne'; Gííshem ałdó' t'áá ákóní; éí biniyé tsé ahénátł'ingo ánílééh lá, áko díí saad bik'ehgo, Aláahgo binanisht'áa doo, nínízin lá. 
16:6:007:0	Índa naa dahalne' doo biniyé Jerúsalem kin haal'áagi atsijį' dahalne'ii ałdó' níínínil; Júdah kéyahdi aláahgo naat'áanii dah sidá, ha'níi doo, áko k'ad díí saadígíí bik'ehgo aláahgo naat'áanii bee bił hodoonih. Éí bąą haa'íyee' k'ad ahíidiit'ashgo nabik'íyádiiltih. 
16:6:008:0	Áádóó kódíshníigo bich'į' aná'ííł'a', Éí ádínínígi át'éego ts'ídá doo ákót'éego nidahwiit'áa da, nidi eii ádínínígíí wooch'ííd bee nina'adlo'go nijéí biyi'dóó tsíhidíkeesígíí át'é. 
16:6:009:0	Jó, T' áá ałtso tsídahodidiilyis, danízingo kódaaní, Naanish bik'ee hąąh nidahodiilkał, áko doo ałtso ádazhdoolíił da. Éí bąą k'ad, Diyin God nílíinii, shidziilgo áshílééh. 
16:6:010:0	Éí bikéédę́ę́' Mehétabel biye' Diiléíyah éí biye' Shiiméíyah wolyéii bighangi doo ch'óoya' át'ée da lágo baa níyá, áko áshidííniid, Haa'íshą' Diyin God bikin góne' ahididiit'ash; hodiyingo haz'ą́ą́ góne' yah adiit'ashgo dá'didiilkał, háálá dandiyoołhééł biniyé naa dadookah; t'áá aaníí dandiyoołhééł biniyé tł'ée'go naa dadookah. 
16:6:011:0	Áádóó ádííniid, Da' diné shígi át'éiísh yóó'adínóochééł? Áko diné shígi át'éiísh yisdádínóochééł biniyé hodiyingo haz'ą́ą́ góne' yah adoogááł? Shí doo yah adeesháał da. 
16:6:012:0	Áko, jó, baa ákoniizį́į'go doo Diyin God bííł'aad da, nidi díí yaa ch'íhoní'ánígíí éí shik'ijį' yis'ą́ągo haadzíí', háálá Tobáíyah índa Sanbálat shik'é yich'į' na'níláago yiyííł'aad. 
16:6:013:0	Éí násdzidgo ádił azdoosih shó'ní áádóó doo yá'áshǫ́ǫ́góó shaa ch'íhodoot'áałgo shá nidahałt'i' doo biniyé bich'į' azláago shich'į' yiyííł'aad. 
16:6:014:0	ShiDiyin God nílíinii, díí bik'i tsídíłkees: éí Tobáíyah índa Sanbálat díí yaa naa'aashígíí bik'ehgo áádóó asdzání halne'ii Nowadáíyah wolyéii índa náádaała' náás áhodoonííł yaa dahalne'ii éí hoł yéé' hodooleeł dashó'ní. 
16:6:015:0	Áko tsé ahénátł'inígíí ałtso bina'azhnishígíí éí Elúl yizíłígíí naadiin ashdla'góó yoołkáałgo ashdladiindóó ba'aan naaki yiską́ąjį' ła'yidzaa. 
16:6:016:0	Ákódzaadóó bik'ijį' nihi'ana'í t'áá ałtso díí yaa dahodiizts'ą́ą'go áádóó ał'ąą dine'é nihinaagóó kéédahat'ínígíí díí dayiiłtsą́ągo bąąh nidahazkaadgo yik'ee nitsidaaskai, háálá nihiDiyin God éí ła'yiyiilaago yaa ákódaniizį́į́'. 
16:6:017:0	Náá'áłdó' éí yoołkááł yę́ędą́ą́' Júdah dine'é ałdó' aląąjį' naazíinii éí naaltsoos lą'í Tobáíyah yich'į' ádayiilaa índa binaaltsoos hach'į' ánáyiidlaa. 
16:6:018:0	Jó, Júdah kéyahdi diné lą'í hach'ijí danilį́į doogo ádee hadadeesdzíí', háálá Tobáíyah éí Éírah biye' Shekanáíyah baadaaní jílį́, áádóó haye' Johéínan éí Berakáíyah biye' Miishálam bitsi' yił ahaa yít'áázh. 
16:6:019:0	Áádóó ałdó' yá'át'éehgo ááníłígíí yee shił dahoolne' índa ádííniidígíí yee yił dahoolne'. Tobáíyah shił yéé' áhodoolííł yiniyé naaltsoos yi'iisnii'.
