16:11:001:1	Jerúsalem kin haal'áadi kéédahat'íinii
16:11:001:0	Diné binanit'a'í danilíinii Jerúsalem kin haal'áagi kéédahat'į́į́ nít'éé'; diné łahjį'ígíí yáá'iilt'e' yaa naaskaigo diné neeznált'éhígíí t'ááłá'í bits'ádooltéełgo éí dílzingo kin haal'áagi Jerúsalemgi kééhat'į́į doo áádóó diné náhást'élt'éhígíí éí náádaałahgóó kin hadaas'áágóó kéédahojit'į́į doo. 
16:11:002:0	Ízrel dine'é éí diné t'áá bí ádeinízingo Jerúsalemgi kéédahat'į́į dooígíí t'áá ałtso yaa dahaznih. 
16:11:003:0	Kéyah nahós'a'dóó díí diné aláahgo bídahólníhígíí Jerúsalemgi kéédahat'į́, nidi Júdah kéyahdi kin hadaas'áágóó t'ááłá'í jinítínígo t'áá hó hakin hadaas'áagi hwee dahólóonii bii' kéédahojit'į́į́ nít'éé'; éí Ízrel dine'é danilíinii áádóó nááda'iiłniihii áádóó Líívai dine'é áádóó Néthinim wolyéii índa Sálaman bá nidaal'a'í yę́ę bits'ą́ą́dóó da'ahílchíihii ałdó' ákǫ́ǫ́ kéédahat'į́į́ nít'éé'. 
16:11:004:0	Áko Jerúsalemgi Júdah áádóó Bénjamin ba'áłchíní ahoolchíiłii ła' kéédahat'į́. Júdah ba'áłchíní ahoolchíiłii éí díí: Píírez ba'áłchíní ahoolchíiłii ła', Mahéílalíyel biye' Shefatáíyah, éí biye' Amaráíyah, éí biye' Zekaráíyah, éí biye' Azáíyah, éí biye' Atháíyah wolyéii ákwii kééhat'į́, 
16:11:005:0	índa Shilónai biye' Zekaráíyah, éí biye' Jóíyarib, éí biye' Adéíyah, éí biye' Hazéíyah, éí biye' Kolhózeh, éí biye' Bérak, éí biye' Méíyasíyah wolyéii ákwii kééhat'į́. 
16:11:006:0	Píírez ba'áłchíní ahoolchíiłii Jerúsalemgi kéédahat'į́į́ nít'é'ígíí éí dį́įdi neeznádiindóó ba'aan hastą́diindóó ba'aan tseebíí diné ánéelą́ą'go doo nídanilyéesii danilį́į́ nít'éé'. 
16:11:007:0	Náá'ákóne' Bénjamin ba'áłchíní ahoolchíiłii éí Jiiséíyah biye' Íthiyel, éí biye' Méíyasíyah, éí biye' Koléíyah, éí biye' Piidéíyah, éí biye' Jówed, éí biye' Miishálam, éí biye' Séílu wolyéii ákwii kééhat'į́; 
16:11:008:0	éí bikéédę́ę́' Gábeiyai índa Sáleiyai éí náhást'éidi neeznádiindóó ba'aan naadiin tseebíí ánéelą́ą́'. 
16:11:009:0	Zíkrai biye' Jówel éí honanit'a'í nilį́į́ nít'éé'; Siinúwah biye' Júdah éí akéé' góne' kin haal'áhígi dine'é yinant'áá nít'éé'. 
16:11:010:0	Nááda'iiłniihii ła': Jóíyarib biye' Jedéíyah áádóó Jéíkin. 
