16:3:001:1	Ní'dootł'į́į́ł ałtaazdeezt'ą́
16:3:001:0	Ákohgo aláahgo náá'iiłniihii Iiláíyashib bik'isóó náá'iiłniihii danilíinii yił dadeeshnishgo dibé bá dáń'dítį́hígíí ádayiilaago dílzingo nideideez'ą́ áádóó dáádílkał yąąh dah deiznilgo Míyah ya'iitł'iníjį' áádóó Hanániyel ya'iitł'iníjį' ałtso tsé deiztł'ingo dílzingo ádayiilaa. 
16:3:002:0	Áádóó Jériko kin haal'áádóó dine'é haghą́ąhjį' tsé nídeiztł'in índa éí náábíghą́ąhjį' Ímrai biye' Záker tsé néíztł'in. 
16:3:003:0	Nidi Hasiinéíyah biye'ké éí łóó' nidahaniihgi dáń'dítį́hí ádayiilaa; t'áá éí ałdó' áah sitáán yá nideiztsih áádóó dáádílkał ałdó' yąąh dah néísnil; bee dáń'dadilkałígíí ałdó' áádóó dáádílkał bich'ą́ą́h dah nídaatį́hígíí ninádeiztsih. 
16:3:004:0	Áádóó náábíghą́ąhjį' Yuráíjah biye' Mériimath éí Kaz binálí jílį́įgo tsé nídzíztł'in. Áádóó nááhághą́ąhjį' Miishézabiil binálí éí Berakáíyah biye' Miishálam wolyéii tsé néíztł'in. Áádóó nááhághą́ąhjį' Béíyana biye' Zéídak tsé néíztł'in. 
16:3:005:0	Áádóó nááhághą́ąhjį' Tekówadóó dine'é tsé nídeiztł'in, nidi aghá dahideezínígíí binanit'a'í binaanish doo ádídeidéélt'i' da. 
16:3:006:0	Náá'ákóne' Pasíyah biye' Jiihóíyada áádóó Besodíyah biye' Miishálam ałk'idą́ą́' dáń'dítį́hí hasht'éyiidlaa; áah sitáán yándeiztsih áádóó dáádílkał ałdó' yąąh dah nidéís'nil; bee dáń'dadilkałígíí ałdó' áádóó dáádílkał bich'ą́ą́h dah nídaatį́hígíí ninádeiztsih. 
16:3:007:0	Áádóó nááhághą́ąhjį' Gíbiyan kin haal'áádóó dine'é Melatáíyah áádóó Miiróna nahós'a'dóó dine'é Jéídan, Gíbiyandóó diné danilíinii áádóó Mízpah kin haal'áádóó diné danilíinii tooh nílínígíí wóshch'ishjí naat'áanii bibik'i dah asdáhí si'áníjį' tsé nídeiztł'in. 
16:3:008:0	Nááhághą́ąhjį' Harhéíjah biye' Azáíyel éí óola yitsidii nilį́įgo tsé néíztł'in. Nááhághą́ąhjį' éí łikání dahalchinii ííł'íní ła' biye' Hananáíyah wolyéego tsé néíztł'in; hóteelgo ítł'iníjį' bohoníłdzilgo Jerúsalem binídadziztł'ingo áá dahodzoost'įįd. 
16:3:009:0	Áádóó nááhághą́ąhjį' Her biye' Riifáíyah, Jerúsalem ałníí'dóó dinéhígíí yinanit'a'í nilíinii tsé néíztł'in. 
16:3:010:0	Náá'ákóne' Harúmaf biye' Jedéíyah éí bighan bíighahjį' tsé néíztł'in. Náá'ákóne' Hashabnáíyah biye' Hátash tsé néíztł'in. 
16:3:011:0	Héírim biye' Malkáíjah áádóó Péíhath-mó'ab biye' Háshab éí łahjiígíí áádóó bii' déédadiljahgo bá ch'íláyi' yaa'áhígíí hasht'éyiidlaa. 
16:3:012:0	Áádóó nááhághą́ąhjį' Halóhesh biye' Shálam, éí Jerúsalem ałníí'dóó łahjį' dinéhígíí yinanit'a'í nilíinii bitsi'ké yił tsé nídeiztł'in. 
16:3:013:0	Héínan áádóó Zanówah kin shijaa'gi kéédahat'íinii honíts'aa' bich'į'go dáń'dítį́hígíí áńdayiidlaago dáádílkał ałdó' yąąh dah néísnil; bee dáń'dadilkałígíí ałdó' áádóó dáádílkał bich'ą́ą́h dah nídaatį́hígíí ninádeiztsih, índa ts'iilzéí ch'éhégeeh bá ch'é'étiinígíí bich'į'go t'ááłáhídi mííldóó ba'aan ashdladi neeznádiin ké silá bíighahjį' tsé nídeiztł'in. 
16:3:014:0	Nidi Rííkab biye' Malkáíyah Beth-hákarem kin haal'á łahdóó yinanit'a'í nilíinii éí ts'iilzéí ch'éhégeeh bá ch'é'étiinígíí ánáyiidlaago dáádílkał ałdó' yąąh dah néísnil; bee dáń'dadilkałígíí ałdó' áádóó dáádílkał bich'ą́ą́h dah nídaatį́hígíí ninádeiztsih. 
16:3:015:0	Nidi Kolhózeh biye' Shálan éí Mízpah kin haal'á łahdóó yinanit'a'í nilíinii tó háálį́įgi dáń'dítį́hígíí hasht'éyiidlaa, áko tsé néíztł'in áádóó yikáá' tsé'naa na'nízhoozh índa dáádílkał yąąh dah néísnil; bee dáń'dadilkałígíí ałdó' índa dáádílkał bich'ą́ą́h dah nídaatį́hígíí ninádeiztsih, áádóó aláahgo naat'áanii bidá'ák'eh bíighahgóó Sailówah tó siyínígíí bíighahgóó tsé ahénátł'in nít'é'ígíí néíztł'in, índa David bikin haal'áádóó ałk'i hoo'nilíjį' tsé néíztł'in. 
16:3:016:0	Náá'ákóne' Ázbak biye' Niihemáíyah Béth-zer kin haal'á ałníí'dóó yinanit'a'í nilíinii, éí David bitsénída'astsélíjį' áádóó tó siyį́įgo áhoolyaajį' índa diné ayóó ádaat'éii bikiníjį' tsé néíztł'in. 
16:3:017:0	Náá'ákóne' Líívai dine'é Béínai biye' Rííham tsé néíztł'in. Éí nááhághą́ąhjį' Hashabáíyah, éí Kii'áílah kin haal'á ałníí'dóó yinanit'a'í nilį́įgo, yininádaolnishígi tsé néíztł'in. 
16:3:018:0	Náá'ákóne' hak'isóó nilíinii Hénadad biye' Báveiyai, éí Kii'áílah kin haal'á ałníí'dóó dinéhígíí yinanit'a'í nilíinii tsé néíztł'in. 
16:3:019:0	Áádóó nááhághą́ąhjį' Jéshuwa biye' Íízer, éí Mízpah kin haal'á yinanit'a'í nilíinii, éí bee na'abaahii bá hooghan bich'į'go ha'atiin bíighahgi tsé naanástł'inígi tsé néíztł'in. 
16:3:020:0	Náá'ákóne' Zábeiyai biye' Bérak éí naaná'ástł'inídóó aláahgo náá'iiłniihii Iiláíyashib bighan ch'é'étiiníjį' haleebee tsé néíztł'in. 
16:3:021:0	Náá'ákóne' Yuráíjah biye' Mériimath, éí Kaz biye' jílį́įgo náánáłahgo Iiláíyashib bikin bich'é'étiindóó kin niní'áhíjį' tsé nídzíztł'in. 
16:3:022:0	Náá'ákóne' halgaidę́ę́' nááda'iiłniihii tsé nídeiztł'in. 
16:3:023:0	Náá'ákóne' Bénjamin áádóó Háshab t'áá bí bighan bíighahgóó tsé néíztł'in, áádóó nááhághą́ąhjį' Ananáíyah binálí éí Méíyasíyah biye' Azaráíyah t'áá bí bighan bíighahgóó tsé néíztł' in. 
16:3:024:0	Náá'ákóne' Hénadad biye' Bínuwai éí Azaráíyah bikinídóó tsé yítł'inígíí t'áá naaná'ástł'injį' tsé néíztł'in. 
