1:16:001:1	Héígar áádóó Íshmeiyel
1:16:001:0	Áko Éíbram hwe'asdzą́ą́ Sérai doo ałchíi da; éí Ííjip kéyahdę́ę́' asdzání ła' Héígar wolyéego há naal'a'í nilį́. 
1:16:002:0	Áko Sérai éí Éíbram áyidííniid, Shoo, Bóhólníihii doo ashchį́į́góó áshósin; t'áá shǫǫdí asdzání shá naal'a'ígíí bił ałt'ani'aash, áko daats'í sha'áłchíní hodooleeł. Áko Éíbram éí Sérai bizaad k'eh ádziidzaa. 
1:16:003:0	Áádóó Éíbram éí Kéínan kéyah biyi' kééhojit'į́įgo neeznáá nááhaidóó bik'ijį' Éíbram be'asdzą́ą́ Sérai éí Ííjip kéyahdę́ę́' asdzání há naal'a'í Héígar éí hahastiin baazhníłtį́, be'asdzą́ą́ nilį́į doo biniyé. 
1:16:004:0	Áko Héígar baazhníyá, áádóó Héígar i'niiltsąąd, áko izh'niiltsąądgo hazhdeel'į́į'go bá nijil'a'í doo hoł yílįįd da. 
1:16:005:0	Áko Sérai éí Éíbram áyidííniid, Shich'į' nahwii'nánígíí bá ninádíítłish. Shinaal'a'í naa níłtį́, áko i'niiltsąądgo ha'ádeel'į́į'go doo bił nishłį́į da sélį́į́'. Bóhólníihii nihaa nídóot'įįł. 
1:16:006:0	Nidi Éíbram éí Sérai áyidííniid, Ninaal'a'í bee nóhólnííh, jó'akon; t'áá ni nínízinígi áhodíílííł. Áko Sérai atíháł'į́įgo bits'ą́ą́' yóó'ajoolwod. 
1:16:007:0	Áko Bóhólníihii bidiyingo naal'a'í halgaidi tó háálínídi nijigháahgo hak'íníyá; Shur hoolyéégóó atiin bíighahgi áhoolyé. 
1:16:008:0	Áko áhodííniid, Héígar nílíinii, Sérai bá naal'a'í, háádę́ę'shą' naniná? Háágóoshą' díníyá? Áko ázhdííniid, Sérai shinanit'a'í bits'ą́ą́' yóó'eeshwod. 
1:16:009:0	Áko Bóhólníihii bidiyingo naal'a'í áhodííniid, Ninanit'a'í bich'į' nídídááh; bá ninááníl'a' doo. 
1:16:010:0	Áádóó Bóhólníihii bidiyingo naal'a'í ánááhodoo'niid, Na'áłchíní náás da'ahílchíihii t'óó ahayóí ádeeshłíiłgo doo jóołta' ánéelą́ą́' dooleeł. 
1:16:011:0	Náá'áłdó' Bóhólníihii bidiyingo naal'a'í ánááhodoo'niid, Yíníltsą́, jó'akon, áko ashkii dííłchííł, Íshmeiyel bee yídíízhiił, háálá nich'į' nahwii'nánígíí Bóhólníihii ná yidiizts'ą́ą́'. 
1:16:012:0	Áádóó diné bitahgóó télii ałchinii nahojílin doo; diné t'áá ałtso hwe'ana'í doo, áádóó diné t'áá ałtso bi'ana'í jílį́į doo, áko hak'isóó kéédahat'į́į́dóó binaashiijí kééhojit'į́į doo. 
1:16:013:0	Áko Bóhólníihii hach'į' haadzí'ígíí, Diyin God shiníł'íinii nílį́, bizhdííniid, háálá ázhdííniid, Da' shiníł'ínígíísh yiiłtsą́? 
1:16:014:0	Éí bąą tó háálínígíí éí Bíyer-laháí-roi hoosye'; éí Kéídesh áádóó Bííred bita'gi áhoolyé. 
1:16:015:0	Áádóó Éíbram éí Héígar há haye' yishchį́, áko Éíbram haye' Héígar há yishchínígíí Íshmeiyel bee jíízhi'. 
1:16:016:0	Áko Éíbram éí tseebídiindóó ba'aan hastą́ą́h honááhaigo Héígar éí Íshmeiyel yishchį́.
