1:41:001:1	Jóseph éí Féro nayiizyeelígíí ááhyiłníinii yee yił hoolne'
1:41:001:0	Ákódzaadóó ts'ídá naaki nááhaigo Féro nidziizyeel: jó, tooh nílínígíí bąąhgóó dzizį́, dzinízin. 
1:41:002:0	Áádóó, shoo, tooh nílínídę́ę́' béégashii yá'ádaat'éehii índa daneesk'ahii tsosts'id haaskaigo hootsojį' eekaigo ákwii da'ałchozh. 
1:41:003:0	Náá'áłdó' tooh nílínídę́ę́' béégashii danichxǫ́ǫ́'ígo índa dabits'iinígo tsosts'idgo hanáánáskai, áko tooh nílínígíí bibąąhgóó béégashii ła'ígíí yíighahgóó naazį́. 
1:41:004:0	Áko danichxǫ́ǫ́'ígo dabits'iinígíí éí yá'ádaat'éehgo daneesk'ah yę́ę dayooldéél. Áko Féro ch'éédzídzid. 
1:41:005:0	Áádóó náá'jiiłhaazhgo łahgo nináádziizyeel: nít'éé' shoo, tł'oh naadą́ą́' t'ááłá'í sikaadígíí bineest'ą' yá'át'éehgo daneest'áanii tsosts'idgo bąąh dahazlį́į́'. 
1:41:006:0	Nít'éé' shoo, náábíkéédę́ę'go tł'oh naadą́ą́' bineest'ą' tsosts'idgo bąąh nááhásdlį́į'go ha'a'aahdę́ę́' níyol bíízeezgo daniiłna'. 
1:41:007:0	Áko tsosts'idgo daniiłna'ígíí éí tsosts'idgo yá'ádaat'ééh yę́ę adayiisna'. Áko Féro ch'éédzídzidgo nidziizyeel lá. 
1:41:008:0	Áádóó hoos'įįdgo yínííł dzizlį́į́', áko Ííjip kéyahgi déest'į́į́' ádeił'íinii índa hastóí dahóyáanii bíká i'jiis'a', áádóó Féro nidziizyeelígíí bee hastóí bił nahodzisne', nidi ááhyiłníinii doo bił béédahózingóó t'áadoo ła' yee Féro yił náhoolne'í da. 
1:41:009:0	Áko nida'iikaahí binanit'a'í Féro bich'į' hadzoodzíi'go ábijiní, Doo ákǫ́ǫ́ íít'įįdígíí díí jį́ bénááshnii'. 
1:41:010:0	Féro bá nidaal'a'í yich'į' báhóóchįįd yę́ędą́ą́' shí áádóó bááh ííł'íinii binanit'a'í biłgo siláo bighangi awáalyaa góne' yah anihíínínil. 
1:41:011:0	Áko t'áá ła'óo tł'éé' t'áá áníidlah neisiigeel. Áko nihí t'áá ał'ąą át'éego neisiigeel; éí neisiigeelígíí bik'ehgo t'áá ał'ąą át'éego yaa halne'. 
1:41:012:0	Íídą́ą́' dinééh léi' Hííbrew dine'é nilį́įgo éí siláo binanit'a'í yá naal'a'í nilį́įgo bił naháatą́ą́ nít'éé', áko neisiigeelígíí bee bił hwiilne'go ááhyiłníinii yee nihił hoolne'; t'áá áníidlah neisiigeelígíí ááhyiłníinii bik'ehgo yee nihił hoolne'. 
1:41:013:0	Áádóó yee nihił hoolne' yę́ę bohoolyaa: shí shinaanish shaa nídííní'ą́; hó t'éí dah hodinilo'. 
1:41:014:0	T'áá áko Féro éí Jóseph bíká i'jííł'a', áko ná'áyaaí góyaa adahast'e' yę́ędę́ę́' t'ahaa'go hoł chídaaskai, áko hadághaa' jííshée'go éé' ła' bee hanáázdiidzaago Féro bił yah ajííyá. 
1:41:015:0	Áádóó Féro éí Jóseph áyidííniid, Neisíyeelgo baa neisíyeelígíí ááhyiłníinii t'áadoo shił hólne'í da, áko ni t'éiyá baa na'iisgeelii bik'idi'yiitįįhgo baa náhodíílnihgo diséts'ą́ą́'. 
1:41:016:0	Áko Jóseph kóníigo Féro yich'į' haadzíí', Shí doo shá bohónéedzą́ą da, nidi Diyin God t'éiyá Féro bił hodooshǫǫłii yił ch'íidoo'ááł. 
1:41:017:0	Áádóó Féro éí Jóseph áyidííniid, Neiseełgo, shoo, tooh nílínígíí bibąąhgóó sézį́, nisin. 
1:41:018:0	Áádóó shoo, tooh nílínídę́ę́' béégashii yá'ádaat'éehgo daneesk'ahii tsosts'id haaskaigo hootsojį' eekaigo ákwii da'ałchozh. 
1:41:019:0	Nít'éé' shoo, béégashii t'óó badahojoobá'ígo áádóó danichxǫ́ǫ́'ígo índa dabits'iinígo hanáánáskai; Ííjip kéyahgi t'áá át'éé nít'éé' t'ah doo ła' ákót'éego nichxǫ́'íii yiistséeh da. 
1:41:020:0	Nít'éé' béégashii dabits'iiní áádóó danichxǫ́'ígíí béégashii daneesk'ahgo tsosts'idgo áłtsé haaskai yę́ę dayooldéél. 
1:41:021:0	Áko dayooldéél nidi t'áadoo dayooldéel da nidahalin. Nidi t'áá átséedi ádaat'é yę́ęgi ádaat'éego t'ahdii danichxǫ́ǫ́'í. Áko ch'éénísdzid. 
1:41:022:0	Áádóó néidíshgeelgo, shoo, tł'oh naadą́ą́' t'ááłá'í sikaadígíí bineest'ą' yá'át'éehgo daneest'áanii tsosts'idgo bąąh dahazlį́į́'. 
1:41:023:0	Áádóó náábikéédę́ę'go shoo, tł'oh naadą́ą́' bineest'ą' tsosts'id daniiłna'go áádóó áłts'óózí daazlį́į'go índa ha'a'aahdę́ę́' níyol dabíízeezgo diigaigo bąąh náádahasdlį́į́'. 
1:41:024:0	Áádóó ádaałts'óózígíí éí tsosts'idgo yá'ádaat'ééh yę́ę adayiisna', áko déest'į́į́' ádeił'íinii bee bił hweeshne' nidi doo bił béédahózingóó t'áadoo ła' yee shił náhoolne'í da. 
1:41:025:0	Áko Jóseph éí Féro áyidííniid, Féro nayiizyeelígíí éí t'ááłá'ígíí ááhyiłní, áko Diyin God k'adę́ę yaa nídiidáhígíí éí Féro yich'į' ííshjání áyiilaa. 
1:41:026:0	Béégashii tsosts'idgo yá'ádaat'éhígíí éí tsosts'id nídoohah, áádóó tł'oh naadą́ą́' bineest'ą' yá'ádaat'éhígíí tsosts'idgo ałdó' tsosts'id nídoohah, níigo ání; neisíníyeelígíí éí t'ááłá'ígíí ááhyiłní. 
1:41:027:0	Áádóó béégashii tsosts'idgo dabits'iinígíí índa danichxǫ́ǫ́'ígíí náábíkéédę́ę́' hanáánáskai yę́ę tsosts'id nídoohah lá, áádóó ałdó' tł'oh naadą́ą́' bineest'ą' tsosts'id daniiłna'go ha'a'aahdę́ę́' níyol bíízeezígíí éí hodichingo tsosts'id nídoohah, níigo ání. 
1:41:028:0	Díidí Féro bee bił hweeshne'ígíí éí Diyin God k'adę́ę yaa nídiidáhígíí Féro yich'į' ííshją́ą́ áyiilaa. 
1:41:029:0	Shoo, Ííjip kéyahgi t'áá át'éé nít'éé' tsosts'id nááhaijį' t'áá íiyisí nida'nt'ą' doo, 
1:41:030:0	áádóó bik'ijį' tsosts'id nínáánááhaijį' éí dahodidoochįįł, áádóó Ííjip kéyahgi nida'nt'ą' yę́ę baa hodiyoo'nah, áko kéyahgi dichin ooghą́ął doo. 
1:41:031:0	Áko kéyahgi ayóó át'éego nida'nt'ą' yę́ę hodííchįįdígíí biniinaa doo béédahaniih da doo, háálá t'áá íiyisí bik'e'íyé'ígi át'éego hodidoochįįł. 
1:41:032:0	Áko díí biniinaa Féro naakidi nidziizyeel, háálá éí Diyin God t'áá bí yee nihoní'ą́, áádóó Diyin God éí t'áá hąhí yi'doolííł. 
1:41:033:0	Éí bąą k'ad Féro éí diné t'áadoo le'é nayik'ísíłkeesii áádóó hóyáanii néididoołtééł, áko éí Ííjip kéyahgi bee bóhólníihgo íidoolííł. 
