1:50:001:0	Áko Jóseph hazhé'é binii' bik'ijį' jineeshjoolgo jíícha, áádóó dzizts'ǫs. 
1:50:002:0	Áko Jóseph há nidaal'a'í azee' ádeił'ínígíí, Shizhé'é bik'ídadi'doohdis, bizhdííniid. Áko azee' ádeił'ínígíí Ízrel yik'ídadeezdizgo deisgan; 
1:50:003:0	éí dízdiin yiską́ąjį' há bihoolyaa, diné daneeznánígíí ákónéelą́ą́' neiłka'jį' dajiłgan. Áko Ííjip dine'é haa daachago tsosts'idiin yiską́. 
1:50:004:0	Áádóó haa dajichago yoołkááł yę́ędą́ą́' bighá hooshzhiizhgo Jóseph kóníigo Féro bighandóó nidaakaígíí yich'į' haadzíi'go áyidííniid, K'ad ajooba' bee shich'oha'néego shaa nitsídaahkeesdą́ą́', t'áá shǫǫdí, kódadohníigo Féro bich'į' hadadoohdzih, 
1:50:005:0	Shizhé'é kóníigo Diyin God binááł hashiyííłdzíí', Shoo, dadeestsaał; Kéínan kéyahdi t'áá shí ádá tséní'íígeedgi yóó'áshidíílííł. Éí bąą k'ad, t'áá shǫǫdí, sha'di'ní'aahgo ákǫ́ǫ́ deesháałgo áadi shizhé'é yóó'ádeeshłííł, áádóó índa áádę́ę́' nínáádeeshdááł. 
1:50:006:0	Áko Féro ádííniid, Nílááh, ákǫ́ǫ́ dínáahgo nizhé'é yóó'ánílééh; Diyin God binááł haniyííłdzí'ígíí bik'ehgo ánílééh. 
1:50:007:0	Áko Jóseph bizhé'é yóó'íidoolííłgóó dah adii'eezh; Féro bá nidaal'a'í t'áá ałtso, índa bighandóó hastóí danilíinii, índa Ííjip kéyahdóó hastóí danilíinii t'áá ałtso bił ákǫ́ǫ́ jíkai. 
1:50:008:0	Áádóó Jóseph bighandóó nidaakaígíí t'áá ałtso, índa bik'isóó índa bizhé'é yę́ę bighandóó danilíinii bił jiníná; t'áá hazhó'ó ba'áłchíní ádaałts'ísígíí áádóó dabidibé índa dabibéégashii éí t'áá Góshendi baa ádahayą́. 
1:50:009:0	Tsindaabąąs bijáád naakiígíí índa łį́į́' bee nida'abaahii bił jiníná, áko t'áá íiyisí t'óó ahojíyóí. 
1:50:010:0	Áádóó Jórdan tooh nílínígíí biláahdi Átad hoolyéego ha'é'él'ésígi jinínáago ákwe'é t'áá íiyisí yínííł dajílį́įgo yínííł bił t'áá íiyisí dajíícha; Jóseph bizaad k'ehgo tsosts'id yiską́ąjį' dajicha nít'éé'. 
1:50:011:0	Áko éí kéyahgi kéédahat'íinii, Kéínan dine'é éí Átadgi ha'é'él'ésígi dajichago dahoołtsą́ągo ádadííniid, Díí Ííjip dine'é t'áá íiyisí yínííł danilį́į́ lá; éí bąą Jórdan tooh biláahdi Éíbel-mízreiyim hoosye'. 
1:50:012:0	Áko haye'ké t'áá ádabizhdííniidígi ádahoolaa, 
1:50:013:0	háálá haye'ké Kéínan kéyahgóó dahoníłtį́įgo Makpíílah kéyahdi tséníhoodzánígi yóó'ádahoolaa; éí Mámre bich'į'go daahóó'go ákwii yóó'adaho'dilne' doo biniyé Éíbraham éí Het dine'é Íífran tséníhoodzánígíí kéyah t'áá yił yaa nayiisnii'. 
1:50:001:1	Jóseph bínaaíké yaa jooba'go yich'į' yáłti'
1:50:014:0	Nít'éé' hazhé'é yóó'ádajiilaadóó bik'ijį' Jóseph áádóó hak'isóó índa t'áá ałtso hazhé'é yóó'ádajilééhgóó hoł yíkaígíí Ííjip kéyahgóó bił níjíkai. 
1:50:015:0	Áko Jóseph bik'isóó dabizhé'é daaztsą́ągo dayiiłtsą́ągo ádadííniid, Jóseph bich'į' bąąhági ádeiidzaa yę́ę t'áá ałtso biniinaa daats'í nihik'ee didoonihgo k'éénihididoodlííł. 
1:50:016:0	Áko kódajiníigo Jóseph bich'į' hane' bił ada'jis'a', Nizhé'é t'ah doo daatsaah yę́ędą́ą́' kóníigo haadzíí', dajiníigo 
1:50:017:0	Jóseph kódabididoohniił, T'áá shǫǫdí, nik'isóó doo ákǫ́ǫ́ ádáát'įįdígíí índa bąąhági ádaadzaaígíí bá yóó'adí'aah, háálá nich'į' bąąhági ádaadzaa, áko nihí k'ad nídaniikąąh, nizhé'é biDiyin God bá nidaal'a'í bąąhági ádáát'įįdígíí bá yóó'adí'aah. Áko Jóseph bich'į' yádajiłti'go Jóseph yícha. 
1:50:018:0	Áko hak'isóó haa yíkaigo hach'į' daneeshjoolgo ádadííniid, Jó'akon, ná nidaalte' daniidlį́. 
1:50:019:0	Nidi Jóseph áhodííniid, T'áadoo bik'ee nihił daayé'í. Da' shíísh Diyin God hólónígi sézį́? 
1:50:020:0	Áko nihí t'éiyá bąąhági át'éego shich'į' tsídasidookééz nít'éé', nidi Diyin God éí yá'át'éehii biniyé yinahaz'ą́; diné lą'í doodzihgo biniyé díí jį́ áhoot'éhígi át'éego áyiilaa. 
1:50:002:1	Jóseph daaztsą́
1:50:021:0	Éí bąą k'ad t'áadoo bik'ee nihił daayé'í. Nihí áádóó niha'áłchíní bił niha'astso' doo. Áko bik'íhojiłta'go áádóó baa jijooba'go bich'į' yájíłti'. 
1:50:022:0	Áádóó Jóseph índa hazhé'é ba'áłchíní bił Ííjip kéyahgi kéédahojit'į́į́ nít'éé', ákohgo Jóseph t'ááłáhídi neeznádiindóó ba'aan neeznáá honááhai. 
1:50:023:0	Áko Jóseph éí Íífreiyim ba'áłchíní áádóó naakidi nánálígíí jiiłtsą́; Manáseh biye' Méíkir wolyéii ba'áłchíní éí Jóseph náhodiyiiłjéé'. 
1:50:024:0	Áko Jóseph bik'isóó áyidííniid, Dadeestsaał, nidi Diyin God t'áá aaníí nihaa hodooleełgo díí kéyah bii'dóó Diyin God t'áá bí ádee hadoodzíi'go Éíbraham áádóó Áízak índa Jéíkab kéyah yeidiní'ánígíí yiih nánihidoo'ish. 
1:50:025:0	Áko Jóseph éí Ízrel dine'é hach'į' hadadidoodzihgo hadadidoo'ááł biniyé ájíní, Diyin God t'áá aaníí nihaa hodooleeł, áádóó kodóó shits'in nídeínóhjáah doo. 
