1:46:001:1	Jéíkab áádóó ba'áłchíní Ííjipgóó eekai
1:46:001:0	Ákohgo Ízrel bee hólónígíí t'áá ałtso yił dah diináago Bíyer-shííbagi niníná; ákwe'é hazhé'é yę́ę Áízak biDiyin God bich'į' náá'jiisnii'. 
1:46:002:0	Áko tł'ée'go Diyin God éí Ízrel bił yee yich'į' haadzíi'go ání, Jéíkab, Jéíkab. Áko ázhdííniid, Kǫ́ǫ́ sétį́. 
1:46:003:0	Áko áháłní, Shí Diyin God ásht'į́; nizhé'é yę́ę biDiyin God; Ííjip kéyahjį' yínéłígíí t'áadoo bik'ee nił yé'í, háálá ákwii dine'é ayóó át'éii ándeeshłíí ł. 
1:46:004:0	Ííjip kéyahgóó nił deeshnééł, áko áádę́ę́' t'áá aaníí háánihideesh'ish, áádóó dasínítsą́ągo Jóseph nináá' ałch'į' kwíidoolííł. 
1:46:005:0	Ákohgo Jéíkab éí Bíyer-shííbadóó dashdiináago Ízrel biye'ké dabizhé'é Jéíkab áádóó bada'áłchíní índa bida'asdzą́ą́ yił Féro tsinaabąąs beezhdoonééł biniyé hach'į' áyiilaaígíí bee jiníná. 
1:46:006:0	Dabilį́į́' índa deit'ínígíí éí Kéínan kéyahdi hwee dahazlį́'ígíí yił dah diiná; Jéíkab índa ba'áłchíní t'áá ałtso bił Ííjip kéyahdi jiníná. 
1:46:007:0	Biye'ké áádóó bitsi'ké áádóó binálíkéda índa ba'áłchíní t'áá ałtso Ííjip kéyahdi yił níná. 
1:46:008:0	Díí Ízrel ba'áłchíní Ííjip kéyahdi nínánígíí dabízhi'; Jéíkab áádóó biye'ké: Jéíkab há alą́ąjį' yizhchínígíí Rúben wolyé, 
1:46:009:0	áádóó Rúben biye'ké éí Héínak áádóó Pálu áádóó Hézran índa Kármii daolyé. 
1:46:010:0	Símiyan biye'ké éí Jíímyuwel áádóó Jéímin áádóó Óhad áádóó Jéíkin índa Zóhar daolyé. Áádóó Shéíyal éí Kéínan asdzání biyáázh ałdó'. 
1:46:011:0	Líívai biye'ké éí Gérshan áádóó Kóhath índa Miirárai daolyé. 
1:46:012:0	Júdah biye'ké éí Er áádóó Ónan áádóó Shíílah áádóó Píírez índa Zíírah daolyé, nidi Er áádóó Ónan éí Kéínan kéyahdi jineezná; Píírez biye'ké éí Hézran índa Héímal wolyé. 
1:46:013:0	Ísakar biye'ké éí Tóla áádóó Púwa áádóó Job índa Shímran daolyé. 
1:46:014:0	Zébyulan biye'ké éí Sííred áádóó Íílan índa Jáliyel daolyé. 
