1:12:001:1	Diyin God éí Éíbram yíká ádííniid
1:12:001:0	Áko Bóhólníihii éí Éíbram áyidííniid, Nikéyahdóó nik'éí bits'ą́ąjį' índa nizhé'é bik'éí t'áá ałtso bits'ą́ą́' dah diinééh, áádóó kéyah nił ííshją́ą́ ádeeshłíłíjį' díínééł. 
1:12:002:0	Áko dine'é ayóó át'éii ándeeshłííł, áádóó nik'ijishdlíi doo, índa nízhi' ayóó át'éego ádeeshłíi łgo ninahjį' ak'ihojidlíii nílį́į doo. 
1:12:003:0	Nik'idajidlíii éí bik'ijiinishdlíi doo; hóyée'go ná hadahadziihígíí hóyée'go bá hahasdziih doo, áádóó nahasdzáán bikáa'gi ał'ąą dine'é t'áá ałtso ninahjį' bik'ihojidlíi doo.  
1:12:004:0	Áko Bóhólníihii hach'į' haadzíi'ii bik'ehgo Éíbram dashdiináago Lat bił dashdiiná. Éíbram éí tsosts'idiindóó ba'aan ashdla' honááhaigo Héíran kin haal'áádóó dashdiiná. 
1:12:005:0	Éíbram áádóó hwe'asdzą́ą́ Sérai áádóó hatsilí biye' Lat áádóó dajist'įįdígíí índa Héíran kin haal'áagi hanaa'nil daazlį́'ígíí éí Kéínan kéyahgóó t'áá ałtso bił dashdiiná, áko Kéínan kéyahdi jinínáago 
1:12:006:0	Éíbram éí kéyah bii'góó Shííkem hoolyéego chéch'il sikaadgo Móreh hoolyéegi nizh'níná. Íídą́ą́' éí kéyahgi Kéínan dine'é kéédahat'į́. 
1:12:007:0	Áko Bóhólníihii éí Éíbram yich'į' yit'íní í'diilyaago ádííniid, Na'áłchíní náás noot'į́į́łgóó díí kéyah baa dideesh'ááł. Ákwii Bóhólníihii bich'į' náázhdi'yoołnih biniyé bikáá' náá'iiniihí ájiilaa; éí hach'į' yit'íní í'diilyaa. 
1:12:008:0	Áádóó dashdiináago Béthel hoolyéhídóó ha'a'aah bich'į'go dził ní'áhígi nizh'níná; ákwii haníbaal nizh'nínil; e'e'aahjígo kin sinilígíí éí Béthel hoolyé; ha'a'aahjígo kin sinilígíí éí Éí'ai hoolyé; ákwii Bóhólníihii bich'į' náázhdi'yoołnih biniyé bikáá' náá'iiniihí ánáájiidlaago Bóhólníihii bízhi' józhíigo bich'į' sozdoolzin. 
1:12:002:1	Éíbram éí Ííjip kéyahgi naagháá nít'éé'
1:12:009:0	Áádóó Éíbram joonééł; shádi'ááh bich'į'go t'áá náás joonééł. 
1:12:010:0	Nít'éé' kéyahgi dahodííchįįd, áko Éíbram haa nízahjį'da kééhojit'į́į dooleełgo biniyé Ííjip kéyahgóó jiníná, háálá hakéyahgi t'áá íiyisí hodííchįįd. 
1:12:011:0	Ííjip kéyahgi k'adę́ę jínéehgo hwe'asdzą́ą́ Sérai ábizhdííniid, Shoo, nidi'níl'į́įgo asdzání baa dzólníinii nílį́įgo shił bééhózin; 
1:12:012:0	éí bąą Ííjip dine'é daniiłtsą́ągo, Díí hwe'asdzą́ą́ lá, dadidooniiłgo shí dashidiyoołhééł sha'shin; ni t'éí áádandoosįįł. 
1:12:013:0	Áko nánooshkąąh, Hadeezhí nishłį́, shidiníigo niniiłt'aa shaa dajooba'go deesdzih. 
1:12:014:0	Áko Éíbram éí Ííjip kéyahgi jinínáago Ííjip dine'é hwe'asdzą́ą́ dayiiłtsą́ągo t'áá íiyisí bił danizhóní. 
1:12:015:0	Áko Féro yił naat'áanii danilíinii dahoołtsą́ągo, Dooládó' asdzání da léi', daaníigo Féro yił dahoolne', áko asdzání éí Féro bikin góne' yił yah adaaskai. 
1:12:016:0	Áko Sérai honiiłt'aa Féro éí dibé áádóó béégashii áádóó diné há nidaalte' índa asdzání há nidaalte' áádóó télii biką'ii índa bi'áadii índa ghą́ą́'ask'idii yee Éíbram yik'ijisdli'. 
1:12:017:0	Áko Sérai éí Éíbram be'asdzą́ągo biniinaa Bóhólníihii éí Féro áádóó bighandóó danilíinii naałniih bidziilii yee atíyiilaa. 
1:12:018:0	Áko Féro éí Éíbram hágo yidííniidgo ání, Díishą' haa shiinilaa lá? Ha'át'éegoshą' díí ne'asdzą́ą́ nilį́įgo t'áadoo bee shił hwíínílne' da? 
1:12:019:0	Ha'át'éegoshą', Shideezhí át'é, diníigo she'asdzą́ą́ dooleeł biniyé nídiiłtį́į́ nít'éé'? K'ad kǫ́ǫ́ ne'asdzą́ą́; akǫ́ǫ́ nílááh bił náát'ash. 
1:12:020:0	Áko Féro hodine'é bich'į' hadzoodzíi'go Éíbram áádóó hwe'asdzą́ą́ índa jit'ínígíí yił hwééda'asnii'.
