1:27:001:1	Áízak éí Íísa yee yik'izhdoodliił nít'éé' yę́ę Jéíkab néídiilá
1:27:001:0	Ákódzaago Áízak hadzistihgo doo ajoo'į́į da dzizlį́į́', áko haye' alą́ąjį' nilínígíí Íísa hágo bizhdííniidgo ábijiní, Shiye'! Áko áhodííniid, Jó, kǫ́ǫ́ naashá. 
1:27:002:0	Áko ájíní, Shoo, k'ad hasistih. Hahgoshį́į́ dadeestsaał éí doo shił bééhózin da. 
1:27:003:0	Éí bąą t'áá shǫǫdí, k'ad nibee na'azheehí éí nik'aayééł índa ne'ełtį́į́' bił dah diijáahgo halgaigóó dínááh; áádę́ę́' bįįh bitsį' shá niníyeeh, 
1:27:004:0	áádóó atsį' shił yá'át'éhígi át'éego shá hasht'edíílíiłgo shaa dííkááł, áko adeeshghał, índa t'ah doo daastsaahdą́ą́' nik'ijiideeshdliił. 
1:27:005:0	Áko Áízak haye' Íísa bich'į' yájíłti'go Rebékah hodiizts'ą́ą́'. Áádóó Íísa halgaidę́ę́' bįįh nizhdooyééł biniyé ákǫ́ǫ́ ajoolzhee'. 
1:27:006:0	Rebékah hayáázh Jéíkab bich'į' hadzoodzíi'go ábijiní, Shoo, nizhé'é éí nínaaí yich'į' yáłti'go diséts'ą́ą'go ání, 
1:27:007:0	Bįįh bitsį' shá nidííyéełgo yá'át'éehgo shá hasht'edíílííł, áko adeeshghał, áádóó t'ah doo daastsaahdą́ą́' Bóhólníihii binááł nik'ijiideeshdliił. 
1:27:008:0	Éí bąą shiyáázh k'ad bee nich'į' haasdzí'ígíí bik'eh honíł'įįh. 
1:27:009:0	Dibé naakaigóó dínáahgo áádę́ę́' tł'ízí yázhí yá'át'éhígíí naakigo náníjááh, áko nizhé'é éí atsį' t'áá bił łikanígi át'éego bá hasht'edeeshłííł. 
1:27:010:0	Índa nizhé'é baa dííkáałgo adoolghał, áádóó t'ah doo daatsaahdą́ą́' nik'ijiidoodliił. 
1:27:011:0	Áko Jéíkab éí bimá Rebékah áyidííniid, Shoo, Íísa shínaaí éí diné ditł'oii nilį́; shí éí diné dilkǫǫhii nishłį́. 
1:27:012:0	Shizhé'é shídidoolnih, áko shizhdileeh lá nízingo hóyée'go shá hadoodzih; éí t'áá shí ásht'į́įgo doo shik'ihozhdoodliił da. 
1:27:013:0	Áko hamá áháłní, Shiyáázh, hóyée'go ha'doodzihígíí shígo shik'ijį' dooleeł; ándííniidígíí bik'eh honíł'įįhgo níláhdę́ę́' shá náníjááh. 
1:27:014:0	Áádóó dashdiiyáago áádę́ę́' hamá bá názhníjaa', áko hamá éí hazhé'é atsį' bił łikanígi át'éego hasht'eyiilaa. 
1:27:015:0	Áádóó Rebékah hayáázh alą́ąjį' nilínígíí Íísa bi'éé' yá'át'éhígíí wóne'dę́ę́' nízhdiinilgo hayáázh akéédę́ę́' nilínígíí Jéíkab bee hazhdiilaa. 
1:27:016:0	Tł'ízí yázhí bikágí Jéíkab bíla' áádóó bizénágháán gónaa ałdó' bik'ídzísti'. 
1:27:017:0	Áádóó atsį' ayóó áhálniihgo hasht'ejiilaii índa łees'áán biłgo hayáázh Jéíkab bílák'ejííką́. 
1:27:018:0	Áko hazhé'é baazhníyáago ázhdííniid, Shizhé'é! Áko áhodííniid, Kǫ́ǫ́ sétį́; háishą' ánít'į́, shiye'? 
1:27:019:0	Áko Jéíkab bizhé'é áyidííniid, Íísa ásht'į́, alą́ąjį' ná yizhchínígíí; áshidííníniidígíí bi'iishłaa; t'áá shǫǫdí nídii'néehgo nídaah; shibįįh bitsį' nilghał, áko shik'ijídliih. 
1:27:020:0	Áko Áízak haye' ábizhdííniid, Haaléit'éego t'áadoo hodina'í bik'ííníyá, shiye'? Áko ájíní, Bóhólníihii niDiyin God shíká aalwodgo bik'íníyá. 
1:27:021:0	Áko Áízak éí Jéíkab áyidííniid, Wóshdę́ę́', shíighahgi ninínááh, áko nídideeshnih; t'áá daats'í aaníí shiye' Íísa ánít'į́, dooda daats'í. 
1:27:022:0	Áko Jéíkab hazhé'é Áízak bíighah nizhníyáago hódeesnii'go ání, Bizhí la' éí Jéíkab bizhí; bíla' éí Íísa bíla'. 
1:27:023:0	Áko hánaaí Íísa bíla' nahalingo hála' ditł'ogo biniinaa t'áadoo hwéédi'nítą́ą da, áko t'óó hak'idzisdli'. 
1:27:024:0	Áádóó ázhdííniid, Da' t'áásh aaníí shiye' Íísa ánít'į́? Áko ání, Shí lá éí ásht'į́ ni. 
1:27:025:0	Áádóó ájíní, Shíighah niníkaahgo shiye' bibįįh bitsį' deeshghał, áko nik'iijiideeshdliił. Áko hwíighah niiníką́ągo ajoolghal, índa wáin ałdó' hainíką́ągo joodlą́ą́'. 
1:27:026:0	Áádóó hazhé'é Áízak áhodííniid, Hágo shiye', shíighah ninínáahgo shiits'ǫs. 
