1:42:001:1	Jóseph bínaaíké Ííjipjį' ch'iyáán yíká yíkai
1:42:001:0	Ákohgo Jéíkab éí Ííjip kéyahdi ch'iyáán hólǫ́ǫgo yiyíínii'go biye'ké áyidííniid, Ha'át'íishą' biniyé t'óó nída'ahinół'įįh. 
1:42:002:0	Shoo, Ííjip kéyahdi ch'iyáán hólǫ́ǫgo yínii'; dahinii'náa dooleełígíí áádóó doo dadíníi'néłígíí biniyé ákóyaa dohkáahgo áádę́ę́' ch'iyáán ła' nihá nidahidoołnih. 
1:42:003:0	Áko Jóseph bínaaíké neeznált'éego Ííjip kéyahdę́ę́' doodį́įłii nideidiyoołnih yiniyé ákóyaa eekai. 
1:42:004:0	Nidi Jéíkab éí Jóseph bitsilí Bénjamin haada náádoo'nííł sha'shin jiníigo biniinaa bínaaíké t'áadoo bitah ajííł'a' da. 
1:42:005:0	Áko Kéínan kéyahdi dahodííchįįdígíí biniinaa áádę́ę́' Ízrel biye'ké éí tł'oh naadą́ą́' nideidiyoołnih biniyé diné nidahaaskaígíí yił yíkai. 
1:42:006:0	Áko Jóseph éí kéyah binanit'a' í jílį́; hó diné t'áá ałtso haa nida'iiłniih, áko Jóseph hánaaíké yíkaigo t'áá íiyisí hach'į' yaa ádaadzaa. 
1:42:007:0	Jóseph hánaaíké dziiłtsą́ągo t'áá ałtso béédahodzísin, nidi bich'į' doo ádééhodzílzin da, áádóó t'áá na'níle'dii bich'į' hadziisdzíi'go ájíní, Háádę́ę'shą' naahkai? bizhdííniid. Áko ádadííniid, Kéínan kéyahdę́ę́' ádeit'į́. Ch'iyáán ła' nidahidiilnih biniyé niikai. 
1:42:008:0	Áko Jóseph hánaaíké bééhodzísin nidi bí t'éí doo hwéédahósin da. 
1:42:009:0	Áádóó Jóseph baa nidziizyeel yę́ę bééjoolnii'go ábizhdííniid, Kéyah doo bich'ą́ą́h hólóní da, danohsingo naalchi'í danohłį́įgo ádaaht'į́. 
1:42:010:0	Áko ádahodííniid, Dooda, nihinanit'a'í, ná nidaalte' yee' ch'iyáán nideidiyoołnih yiniyé yíkai. 
1:42:011:0	Nihí diné t'ááłá'í biye'ké daniidlį́, áádóó t'áá aaníígóó halne'ii daniidlį́; ná nidaal'a'í doo naalchi'í danilį́į da. 
1:42:012:0	Áko ánáábizhdoo'niid, Kéyah doo bich'ą́ą́h hólóní da, danohsingo yee' noohkai. 
1:42:013:0	Áádóó ánáádadoo'niid, Nihí ná naal'a'í daniidlíinii naakits'áadah niilt'éego t'áá ła' haijé'ígíí Kéínan kéyahdi diné t'ááłá'ígíí biye'ké daniidlį́, áádóó, shoo, akéédę́'ígíí éí díí jį́ nihizhé'é yił naa'aash, áádóó t'ááłá'í éí ádin. 
1:42:014:0	Áádóó Jóseph ánááhodoo'niid, Ánihidishnínígíí éí t'áá aaníí; naalchi'íga' danohłį́. 
1:42:015:0	Díí bee nihééhodoozįįł; t'áá Féro hinánígi át'éego kodóó doo nihéédoohkah da; nihitsilí akéédę́'ígíí t'áá biłgo t'éiyá nihéédoohkah. 
1:42:016:0	T'áá nohłá'ígo ákǫ́ǫ́ náhodooł'aałgo áádę́ę́' nihitsilí bił nídooht'ash; nihizaad nihééhodoozįįłígíí biniyé nihí t'áá kǫ́ǫ́ awáalyaa shoojée' doo. T'áá aaníinii daats'í nihii' dahólǫ́; éí doodaii' t'áá Féro hinánígi át'éego t'áá aaníí naalchi'í yee' danohłį́. 
1:42:017:0	Áádóó táá' yiską́ąjį' t'áá ádzíłtso yah aho'doo'nil. 
1:42:018:0	Áádóó tágí jį́į́ góne' Jóseph áhodííniid, Díí ádaahłaago t'éiyá dahinohnáa doo, háálá shí Diyin God díínísin. 
1:42:019:0	Diné t'áá aaníígóó halne'ii danohłį́įgo bíni'dii nihik'is ła' t'áá kǫ́ǫ́ awáalyaa sidáa doo. Nidi nihí t'éiyá niha'áłchíní dichin danilíinii bich'į' tł'oh naadą́ą́' nihidadoohééł. 
1:42:020:0	Nihitsilí akéédę́'ígíí áádę́ę́' bił shaa noohkaigo índa t'áá aaníígóó dahoołne' doo, áko doo dínóohnéeł da. Áko ákódadziidzaa. 
1:42:021:0	Áko áda'ahizhdoo'niid, Nihitsilí biniinaa t'áá íiyisí ádidahodiilt'i' lá; ti'hooníihgo daníil'į́įgo ch'ééh nánihookąąhgo doo deísíilts'ą́ą' da nít'éé'. Éí bąą kót'éego nihich'į' nidahwii'ná. 
1:42:022:0	Áádóó Rúben áhodííniid, T'áadoósh kódíshníigo nihich'į' haasdzíi' da? Ashkii t'ááká haada daohłe' yíila'; bąąhági ádaohłe' lágo, nihidííniid, nidi t'áadoo dashisidoots'ą́ą' da. Éí bąą bidiłígíí biniinaa bá naniideeh. 
1:42:023:0	Áko Jóseph hazaad yik'idi' yiitįįhgo doo hoł béédahózin da, háálá ata' halne'í há ata' halne'. 
1:42:002:1	Jóseph bínaaíké Kéínan kéyahgóó anáákai
1:42:024:0	Áko bits'ą́ąjigo dashdiiyáago jíícha, áádóó baa nínáádzídzáago bich'į' hanáádzoodzíí', áko Símiyan néidiiłtį́įgo t'áá dahanááł be'estł'ǫ́. 
1:42:025:0	Ákohgo Jóseph ádííniid, Bida'azis bii' tł'oh naadą́ą́' hadadołbin, áádóó dabibéeso t'óó biih nídahidoohnił, áádóó yist'éí yikiin náákah dooleełígíí bá ádadoohłííł. Áko ákódajiilaa. 
1:42:026:0	Áko tł'oh naadą́ą́' éí télii yił yik'i nida'aztł'ǫ́ǫgo dah nídiikai. 
1:42:027:0	Nít'éé' ł a' nída'njahgi hatélii ba'jíjááh biniyé hwe'azis dázhdíí'ah; t'ah nít'éé' hwe'azis bii' habéeso sinilgo dziiłtsą́. 
1:42:028:0	Áko hak'isóó ábizhdííniid, Shibéeso shaa ná'nilgo she'azis bii' sinil lá. Áko bik'ee bił daayée'go bitah dahoditłidgo áda'ahidoo'niid, Haa lá hóót'įįdgo Diyin God kónihiilaa lá? 
1:42:029:0	Áko Kéínan kéyahdi hazhé'é baa níjíkaigo áho'dool'įįdígíí bee bił dahojoolne'go ádajiní, 
1:42:030:0	Kéyah binanit'a'í léi' t'áá na'níle'dii nihich'į' hahaasdzíi'go ánihidííniid, Kéyah hadaahsíidgo biniyé hádaaht'į́į́ lá. 
1:42:031:0	Áko ádabidii'niid, T'áá aaníígóó halne'ii daniidlį́; doo naalchi'í daniidlį́į da. 
1:42:032:0	Nihí t'ááłá'í nihizhé'é biye'ké naakits'áadah niilt'éé nít'éé'; t'ááłá'í éí ádin, áko ts'ídá akéédę́'ígíí éí díí jį́ Kéínan kéyahdi bizhé'é yił naa'aash. 
1:42:033:0	Áko éí kéyah binanit'a'í ánihidííniid, Diné t'áá aaníígóó halne'ii danohłį́įgo díí bee shił bééhodoozįįł: k'ad nihik'is ła' sha'ałk'ee sidáa doo; nihílááh niha'áłchíní dichin danilínígíí bich'į' tł'oh naadą́ą́' nihidahidoohééł. 
1:42:034:0	Áko nihitsilí akéédę́'ígíí áádę́ę́' bił shaa doohkah. Áko doo naalchi'í danohłį́į́góó nidi t'áá aaníígóó halne'ii danohłį́įgo shił bééhodoozįįł. Áko índa nihik'is nihaa nídeeshtééł áádóó kéyah biyi'dóó nida'ayołniih doo, nihidííniid. 
1:42:035:0	Ákohgo hwe'azis dadzizghadgo diné t'ááłá'í jinítínígo habéeso bik'ída'deesdizígíí hweda'azis biyi' naastsooz lá. Áko hó áádóó hazhé'é éí habéeso bik'ída'deesdizígíí dadziiłtsą́ągo t'óó nídadzisdzííd. 
1:42:036:0	Hazhé'é Jéíkab áhodííniid, Sha'áłchíní shighadahisooh'nil. Jóseph éí ádin; Símiyan ałdó' ádin. Áádóó k'ad Bénjamin bił dah náádoohkááh. Díidí t'áá ałtso shik'ijį' daazlį́į́'. 
1:42:037:0	Áko Rúben bizhé'é áyidííniid, Doo nił baa nánísht'áázhgóó shiye' t'áá áłah dííghą́ą́ł; shílák'ee hodííní'ą́ągo lá nił baa nídeesht'ash ni. 
1:42:038:0	Áko ádííniid, Shiye' doo ákóyaa bił doohkah da, háálá bínaaí yę́ę ádin, áko t'áá bí t'éí yidziih. Áádóó wohkahgóó haada yidzaago, áko lá índa shitsii' t'áá íiyisí yiigaigo áádóó yíní biih néítłizhgo łeeh dashidoołtéeł ni.
