1:25:001:1	Ketúrah éí Éíbraham yá niyiishchínígíí
1:25:001:0	Éíbraham be'asdzą́ą́ nááhásdlį́į́'; éí Ketúrah wolyé. 
1:25:002:0	Zímran áádóó Jákshan áádóó Míídan áádóó Mídiyan áádóó Íshbak índa Shúwah; díí Éíbraham bá nijiishchį́. 
1:25:003:0	Jákshan bá yizhchíinii éí Shííba índa Díídan. Díídan biye'ké éí Áshurim áádóó Létushim índa Léyumim. 
1:25:004:0	Mídiyan biye'ké éí Íífah áádóó Íífer áádóó Héínak áádóó Abáída índa Eldéíyah; díí t'áá ałtso Ketúrah binálíké. 
1:25:005:0	Áko Éíbraham hwee hólónígíí t'áá ałtso Áízak baazhdiní'ą́. 
1:25:002:1	Éíbraham daaztsą́ áádóó łeeh bi'dooltį́
1:25:006:0	Nidi Éíbraham bida'asdzą́ą́ yíł'íní dabiyáázh ya'iiznil, áádóó t'ah jiináago haye' Áízak bits'ą́ąjį' ha'a'aah biyaajigo kéyahgóó adziis'a'. 
1:25:007:0	Áádóó Éíbraham bíídíiską́ą́dóó hináago neeznádiindóó ba'aan tsosts'idiindóó ba'aan ashdla' binááhai. 
1:25:008:0	Ákohgo Éíbraham hajííyol; yá'át'éehgo yéego hajistih áádóó lą'í honááhaigo dajiztsą́, áko índa hak'éí yę́ę ahikááhgóó dzizlį́į́'. 
1:25:009:0	Áko haye' Áízak índa Íshmeiyel éí Zóhar, Het dine'é nilíinii biye' Íífran bikéyahgi Mámre bíighahgi haz'ą́; éí Makpíílagi hatséníhoodzání góne' yóó'áhoolaa. 
1:25:010:0	Het dine'é bikéyahgi Éíbraham nayiisnii' yę́ęgi Éíbraham yę́ę yóó'ábi'diilyaa; hwe'asdzą́ą́ Sárah yę́ę ałdó' ákwii yóó'ábi'diilyaa. 
1:25:003:1	Íshmeiyel bits'ą́ą́dóó adideezhchínígíí
1:25:011:0	Áádóó Éíbraham daaztsą́ą́dóó bik'ijį' Diyin God éí haye' Áízak yik'idzisdli' áádóó yaa áhályą́, áko Áízak éí Laháíroigi tó hahadleeh bíighahgi kééhojit'į́. 
1:25:012:0	Áádóó díí Éíbraham biye' Íshmeiyel ba'áłchíní náás da'ahílchíihii ádaat'į́; éí Sárah binaalte' Héígar, Ííjip dine'é nilíinii, Éíbraham yá yishchį́. 
1:25:013:0	Íshmeiyel biye'ké náás da'ahílchíihii bik'ehgo kódaolyé: ts'ídá alą́ąjį' yizhchínígíí éí Niibéíyath áádóó Kíídar áádóó Ádbiil áádóó Míbsam 
1:25:014:0	áádóó Míshma áádóó Dúmah áádóó Mássa 
1:25:015:0	áádóó Héídad áádóó Tííma áádóó Jííter áádóó Néífish índa Kédiimah. 
1:25:016:0	Díí Íshmeiyel biye'ké áádóó díí dabízhi' kin naazhjaa'ígíí bik'ehgo, áádóó dah deínéhígíí naakits'áadahgo naat'áanii bidine'é bik'ehgo. 
1:25:017:0	Áko Íshmeiyel hináago neeznádiindóó ba'aan tádiindóó ba'aan tsosts'id binááhai, áko índa hajííyolgo dadziztsą́. Áádóó hak'éí yę́ę ahikááhgóó dzizlį́į́'. 
1:25:004:1	Íísa áádóó Jéíkab bi'dizhchį́
1:25:018:0	Hávilahdóó Shur bíighahjígo Ííjip kéyah binaashiijí Asíriya kéyah bich'į'go ha'áłchíní kéédahat'į́, áko hak'isóó t'áá ałtso binááł kééhojit'į́į́ nít'éé'.  
1:25:019:0	Díí t'éiyá Éíbraham biye' Áízak ba'áłchíní náás da'ahílchíihii ádaat'į́: Éíbraham há Áízak yizhchį́, 
1:25:020:0	áko Áízak dízdiin binááhaigo Rebékah wolyéii hwe'asdzą́ą́ silį́į́'. Éí Péídan-éíramdóó, Síriya dine'é nilį́įgo Biithúwel bitsi' áádóó Léíban éí Síriya dine'é nilį́įgo bideezhí jílį́. 
1:25:021:0	Áádóó Áízak hwe'asdzą́ą́ doo ałchíi dago biniinaa Bóhólníihii nídzooskan, áko Bóhólníihii hodiizts'ą́ą'go hwe'asdzą́ą́ Rebékah i'niiltsąąd. 
1:25:022:0	Áko ha'áłchíní hatsą́ądi na'ahégilgo ázhdííniid, Díí ha'át'íí biniyé kónísht'éé lá? Áko dashdiiyáago Bóhólníihii nayízhdééłkid. 
1:25:023:0	Áko Bóhólníihii áhodííniid,Naaki ał'ąą dine'é bííníltsą́,áádóó naaki dine'é ał'ąą át'éego nits'ą́ą́dóó hodooleeł,Áko ła' dine'é éí aláahgo bidziil doo,Índa alą́ąjį' nilínígíí t'éiyá akéédę́ę́' nilíinii yá naal'a' dooleeł.  
1:25:024:0	Áádóó azhdoołchííł beiníłką́ągo, jó'akon, naakiishchíín bídzooltsą́ą́ lá. 
1:25:025:0	Alą́ąjį' yizhchínígíí łichíi'go índa t'áá át'é ditł'ogo akágí éé' nahalin, áko éí Íísa bee dahojíízhi'. 
1:25:005:1	Íísa éí alą́ąjį' yizhchíinii bee bóhólníihii baa nahaaznii'
1:25:026:0	Áádóó akéédę́ę́' hatsilí hanáánáátłizh, éí Íísa yikétal yótą'go háátłizh, áko éí Jéíkab dzoosye'. Áízak hastą́diin binááhaigo Rebékah díí há yishchį́. 
1:25:027:0	Áádóó ashiiké dínéesą́. Íísa ayóó át'éego naalzheehí dzizlį́į́'; halgaigóó naagháii jílį́; Jéíkab éí hastiin doo hahałtaahí jílį́įgo hooghangi t'éí nijighá. 
1:25:028:0	Áízak éí Íísa ayóó'áyó'ní; bibįįh bitsį' jiyą́ągo éí bąą, nidi Rebékah éí Jéíkab ayóó'áyó'ní. 
1:25:029:0	Łah Jéíkab éí atoo' jiłbéezhgo Íísa t'áá íiyisí dichin bi'niiłhį́įgo halgaidę́ę́' haa nádzá. 
1:25:030:0	Áko Íísa éí Jéíkab áyidííniid, T'áá shǫǫdí, atoo' łichíi'go niłbézhígíí ła' shá hanikaah; t'áá íiyisí dichin shi'niiłhį́; éí biniinaa Íídam dzoosye'. 
1:25:031:0	Áko Jéíkab ání, Alą́ąjį' yizhchíinii bee bóhólníihii átsé naa nahashniih. 
1:25:032:0	Áko Íísa ání, Jó, shi'niitsą́ą́ lá; alą́ąjį' yizhchíinii bee bóhólníihii éíshą' ha'át'íí bits'ą́ą́dóó shaa doodił? 
1:25:033:0	Áko Jéíkab ání, K'ad áłtsé shich'į' ádee hadídziih, áko bich'į' ádee hazdoodzíi'go alą́ąjį' yizhchíinii bee bóhólníihii Jéíkab bich'į' nidziisnii'. 
1:25:034:0	Ákohgo Jéíkab éí łees'áán áádóó naa'ołí bitoo' bił Íísa baazhníką́, áko ííyą́ą'go dah diiyá. Kót'éego Íísa alą́ąjį' yizhchíinii bee bóhólníihii doo bił yílįįdgóó yóó'iidíí'ą́.
