1:19:001:1	Sádam áádóó Gomárah atílyaa
1:19:001:0	Áádóó i'íí'ą́ągo diyingo naal'a'í Sádam kin haal'áagi ní'áázh, áko Sádam kin haal'áii binaa ahéé'ítł'inii bich'é'étiingi Lat dzizdáá nít'éé'. Áko Lat hoołtsą́ągo hadááh níyá, áko tsé'yaa neeshjoolgo 
1:19:002:0	ání, Shinanit'a'í, nihinaal'a'í bighan góne' yah ooh'aashgo nihikee' tánáhgis, áádóó t'áá ákwe'é nihiidoołkááł, áko yiską́ągo t'áá íiyisí abínídą́ą́' nídidooht'ashgo dah náádidooht'ash. Áko t'áá áłah ání, Dooda, t'áá tł'óó'góó nihiidoołkááł. 
1:19:003:0	Nidi t'áá íiyisí nídzooskango índa haghan góne' hoł yah íí'áázh, áko bá áda'jíísįįd índa díík'ǫsh t'áágééd bááh ályaaígíí bá ájiilaago yiyííyą́ą́'. 
1:19:004:0	Nidi t'ah doo jinijeehgóó Sádam kintahdę́ę́' diné hadaastihígíí índa ániid nidaakaígíí ałdó' t'áadoo ła' doodaí ts'ídá t'áá ałtso da'níłch'ishídę́ę́' kin binaagi áłah silį́į́'. 
1:19:005:0	Áko Lat hágo deidííniidgo ádahałní, Háadishą' hiłiijį́į́dą́ą́' diné naa ní'áázhígíí? Béédahodiilzįįł biniyé nihich'į' ch'íní'éésh. 
1:19:006:0	Áko tł'óo'jį' Lat ch'íníyáago áne'dę́ę́' dádi'níłkaal. 
1:19:007:0	Áko ázhdííniid, Shik'isóó, nánihooshkąąh, t'áadoo kót'éego bąąhági ádaahníłí. 
1:19:008:0	Jó, naaki shitsi' t'ah doo diné bee haleeh da; t'áá shǫǫdí, shíni'dii éí nihich'į' ch'ídeesh'ish; t'áá nihí danohsinígi ádadoohłííł, áko díí diné doo ádadoohłíłí da, háálá shighan góne' yah íí'áázh. 
1:19:009:0	Nidi ádadííniid, Nahjį' t'ą́'ájį' yiizįįh! T'óó kónígháníjį' kééhat'į́ yiniyé níyáhígíí ánihwii'aahii í'diilyaa lá! Ádahodiilníłígíí biláahgo ádandiilnííł. Áádóó diné éí Lat yich'į' dah diijée'go dáádílkał yik'ijį' dahashjizhgo k'asdą́ą́' dáádílkał k'ídeizti'. 
1:19:010:0	Ákohgo diné t'áá áłah Lat yisiłgo kin góne' yah ayíídzį́įzgo dá'di'níłkaal. 
1:19:011:0	Áko diné nidilt'éhígíí éí kin bich'é'étiingi diné yíl'áhígíí ayáhígo ádaat'éii índa ayóó ádaat'éii ałdó' doo da'oo'į́į́góó dáádílkał ch'ééh hadahodziziid. 
1:19:012:0	Áko diné éí Lat áyidííniid, Da' nik'éísh ła' kwe'é kénáádahat'į́? Naadaaní índa niye'kéda áádóó nitsi'kéda índa díí kin haal'áhígi nik'éída díí haz'ánídóó ałtso nahgóó hani'éésh, 
1:19:013:0	háálá díí haz'ánígíí ádiildįįł, Bóhólníihii binááł ayóó át'éego chaał hahóół'á, áko ádiildįįł biniyé Bóhólníihii nihiníł'a'. 
1:19:014:0	Áko Lat hatsi' bee haadaaní dooleełígíí ábijiní, Nídooht'aash, háálá Bóhólníihii díí kin haal'áii áyi'niiłdįįd. Nidi haadaaní dooleełígíí t'óó ájíní hó'ní. 
1:19:015:0	Hayííłką́ągo diyingo naal'a'í éí Lat ííłní, Tsį́įłgo nídiidááh, ne'asdzą́ą́ áádóó nitsi' nidilt'éego bił nahínítánígíí dah dii'éésh, doodago éí doo ákwii ádaat'éii bitah ánihidi'dooldįįł. 
1:19:016:0	Nidi na'áhozdilziidgo diné hála' yiyiiłtsood, hwe'asdzą́ą́ ałdó' hatsi' nidilt'éego ałdó', háálá Bóhólníihii haa a'ááh nízingo kin haal'áhídóó ch'íhoní'eezh. 
1:19:017:0	Áádóó ch'íhoní'eezhgo áhodííniid, Nílááh, yisdádoohkahígíí biniyé tsį́įłgo dah doohjeeh; t'áadoo nát'ą́ą́' nídadóht'į́'í; halgaigi nidi t'áadoo nida'áhodołziidí; dził bóohjeeh; t'áadoo ádaohdzaagóó éí ádadoohdįįł. 
1:19:018:0	Áko Lat áhodííniid, Dooda, shinanit'a'í, 
1:19:019:0	jó, ná naal'a'í baa jiiníbaah; nee aa a'ááh hasinii ayóó át'éego shich'į' íinilaago yisdáshííníłtį́, nidi dził bíideeshwołgi doo bíneesh'ą́ą da, ákóshnéehgo éí bąąhági áshidi'doolníiłgo dadeestsaał. 
1:19:020:0	Shoo, nahjí kin haal'áii bich'į' nízhdoolyeedígi át'é, éí áhání índa kin áłch'į́dí sinil. Éísh doo kin áłch'į́dí da? Háni'dii áajį' yisdáshyeed. 
1:19:021:0	Áko áhodííniid, Jó, díí ałdó' bee naa jiideeshbaał, éí kin sinilígíí baa nááshiisíníkanii doo ádeeshdįįł da. 
1:19:022:0	Doo hodíína' ákǫ́ǫ́ dohjeeh, áadi nihishoojée'go índa doo nantł'agóó ádeeshłííł. Éí bąą éí kin haal'áii Zó'er hoosye'. 
1:19:023:0	T'įįhdígo dah adii' ą́ągo Lat éí Zó'erdi jílwod. 
1:19:024:0	Ákohgo Bóhólníihii éí Sádam kin haal'áii áádóó Gomárah kin haal'áii bik'ijį' tsékǫ' łitsoii índa kǫ' nihiníłtánígíí Bóhólníihii bits'ą́ą́dóó yádiłhiłdę́ę́' nayííłtą́. 
1:19:025:0	Áko kin haal'áhígíí áádóó halgaigóó áádóó éí kin haal'áagi kéédahojit'ínígíí índa ákwii nanise' danéeséhígíí t'áá át'é íísdįįd. 
1:19:026:0	Nidi Lat hakéédę́ę́' hwe'asdzą́ą́ nát'ą́ą́' nídéét'į́į'go t'áá ákǫ́ǫ́ tsé áshįįh nídzísdlį́į́'. 
1:19:027:0	Áko Éíbraham éí t'áá íiyisí t'ah abínígo nízhdii'na'go Bóhólníihii binááł dzizį́į́ nít'éé' yę́ęgi jiníyá, 
1:19:028:0	áko Sádam áádóó Gomárah índa halgai kéyahjį' jidéé'į́į́' nít'éé', jó'akon, éí kéyah t'áá át'é bits'ą́ą́dóó łid t'óó ahayóí hahíítį́ nahalingo dziiłtsą́. 
1:19:002:1	Mó'ab dine'é áádóó Áman dine'é hodideezlį́į́'
1:19:029:0	Ákódzaago Diyin God halgaigi kin haal'áii íísdįįdgo Diyin God éí Éíbraham yénáálnii', áádóó éí Lat kééhat'į́į́ nít'éé' yę́ęgi kin haal'áii íísdįįd yę́ędą́ą́' kintahdóó Lat ch'íiníł'a'. 
1:19:030:0	Áko Lat hatsi'ké nidilt'éego bił Zó'erdóó hajíínáago dziłdi kéédahojit'į́, háálá Zó'ergi kééhojit'į́į dooleełgo béédzíldzid, áko tsé'áán góne' hatsi'ké nidilt'éego bił kééhojit'į́. 
1:19:031:0	Áko alą́ąjį' yizhchínígíí bideezhí áyidííniid, Nihizhé'é haastih; diné ádaat'ínígi át'éego nihá dooyehígíí nahasdzáán bikáa'gi t'ááłá'í nidi doo ła' naagháa da. 
1:19:032:0	Áko nihizhé'é wáin bidiyiildlį́įłgo bił díníitish, áko nihizhé'é bits'ą́ą́dóó ahoolchíiłii doo ádoodįįł da. 
1:19:033:0	Áko t'áá éí bitł'éé' bizhé'é wáin yiyííłdlą́ą'go alą́ąjį' yizhchínígíí bizhé'é yił yah ííyáago yił neezhtéézh; hwíighah neeztínígíí índa náádii'na'gi nidi t'áadoo hoł bééhoozin da. 
